     data set   exec time     spread        Eff. bw       DRAM read      DRAM write         L2 read       L2 store
         4 kB       251ms       0.4%   38833.4 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
         8 kB       248ms       0.1%   39252.5 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
        16 kB       249ms       0.4%   39178.1 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
        24 kB       247ms       0.5%   39462.3 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
        32 kB       248ms       0.2%   39264.7 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
        48 kB       250ms       0.4%   39013.4 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
        64 kB       297ms       9.0%   35043.8 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
        80 kB       319ms      12.4%   34207.3 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
        96 kB       359ms       8.9%   29296.4 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       112 kB       374ms       8.2%   27940.0 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       128 kB       373ms       9.7%   28487.8 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       144 kB       378ms      11.8%   28612.6 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       160 kB       378ms       9.9%   28013.5 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       176 kB       372ms      12.4%   29391.8 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       192 kB       371ms      11.6%   29166.9 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       208 kB       369ms      10.7%   29022.0 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       224 kB       370ms      11.9%   29303.1 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       240 kB       367ms      11.2%   29319.2 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       256 kB       368ms      12.5%   29507.8 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
