Timestamp,GPU
1743742277,1027150615
1743742278,1027150615
1743742279,1027150615
1743742280,1027150615
1743742281,1027150615
1743742282,1027150615
1743742283,1027150615
1743742284,1027150615
1743742285,1027150615
1743742287,1027150615
1743742288,1027150615
1743742289,1027150681
1743742290,1027150683
1743742291,1027150685
1743742292,1027150693
1743742293,1027150696
1743742294,1027150701
1743742295,1027150710
1743742296,1027150713
1743742297,1027150723
1743742299,1027150731
1743742300,1027150735
1743742301,1027150752
1743742302,1027150756
1743742303,1027150762
1743742304,1027150781
1743742305,1027150786
1743742306,1027150796
1743742307,1027152394
1743742308,1027153622
1743742309,1027156312
1743742311,1027159378
1743742312,1027161699
1743742313,1027166401
1743742314,1027167468
1743742315,1027168946
1743742316,1027172037
1743742317,1027174088
1743742318,1027176955
1743742319,1027180433
1743742320,1027182619
1743742322,1027184155
1743742323,1027187725
1743742324,1027191471
1743742325,1027197456
1743742326,1027203808
1743742327,1027207654
1743742328,1027215080
1743742329,1027221767
1743742330,1027226807
1743742331,1027233019
1743742332,1027240392
1743742334,1027245769
1743742335,1027253130
1743742336,1027261205
1743742337,1027266450
1743742338,1027269011
1743742339,1027277682
1743742340,1027281570
1743742341,1027288417
1743742342,1027299589
1743742343,1027302270
1743742344,1027308286
1743742346,1027318032
1743742347,1027322085
1743742348,1027326102
1743742349,1027331948
1743742350,1027337179
1743742351,1027342807
1743742352,1027355434
1743742353,1027360299
1743742354,1027366129
1743742355,1027375900
1743742356,1027384294
1743742358,1027390956
1743742359,1027401130
1743742360,1027414423
1743742361,1027420137
1743742362,1027425725
1743742363,1027435285
1743742364,1027440857
1743742365,1027446518
1743742366,1027451664
1743742367,1027459179
1743742369,1027466144
1743742370,1027471936
1743742371,1027480550
1743742372,1027488076
1743742373,1027496645
1743742374,1027511422
1743742375,1027521768
1743742376,1027529778
1743742377,1027540575
1743742378,1027553746
1743742379,1027560979
1743742381,1027569631
1743742382,1027585579
1743742383,1027595763
1743742384,1027601849
1743742385,1027612851
1743742386,1027625782
1743742387,1027631855
1743742388,1027638633
1743742389,1027650127
1743742390,1027654485
1743742391,1027660877
1743742393,1027669034
1743742394,1027678896
1743742395,1027685901
1743742396,1027696369
1743742397,1027715360
1743742398,1027721464
1743742399,1027728864
1743742400,1027741290
1743742401,1027753362
1743742402,1027761039
1743742404,1027771079
1743742405,1027786138
1743742406,1027799396
1743742407,1027805690
1743742408,1027815142
1743742409,1027829896
1743742410,1027837224
1743742411,1027846011
1743742412,1027859366
1743742413,1027877640
1743742414,1027884925
1743742416,1027894242
1743742417,1027909181
1743742418,1027925681
1743742419,1027932166
1743742420,1027941478
1743742421,1027957471
1743742422,1027970130
1743742423,1027977299
1743742424,1027989388
1743742425,1028007705
1743742427,1028016302
1743742428,1028024566
1743742429,1028037380
1743742430,1028056598
1743742431,1028062068
1743742432,1028069825
1743742433,1028081330
1743742434,1028093187
1743742435,1028100675
1743742436,1028112416
1743742437,1028130521
1743742439,1028141468
1743742440,1028148380
1743742441,1028159938
1743742442,1028181244
1743742443,1028189557
1743742444,1028198081
1743742445,1028211560
1743742446,1028232967
1743742447,1028239279
1743742448,1028248136
1743742449,1028262597
1743742451,1028281313
1743742452,1028288788
1743742453,1028297168
1743742454,1028313057
1743742455,1028329432
1743742456,1028336757
1743742457,1028346345
1743742458,1028363643
1743742459,1028376939
1743742460,1028384571
1743742462,1028395497
1743742463,1028414072
1743742464,1028428270
1743742465,1028435698
1743742466,1028445725
1743742467,1028463335
1743742468,1028476522
1743742469,1028484060
1743742470,1028495724
1743742471,1028514758
1743742472,1028527554
1743742474,1028535150
1743742475,1028546905
1743742476,1028566794
1743742477,1028579806
1743742478,1028586340
1743742479,1028597991
1743742480,1028617191
1743742481,1028629330
1743742482,1028636690
1743742483,1028647822
1743742484,1028666524
1743742486,1028678788
1743742487,1028686430
1743742488,1028698260
1743742489,1028718242
1743742490,1028731362
1743742491,1028738879
1743742492,1028750465
1743742493,1028769583
1743742494,1028783214
1743742495,1028790854
1743742497,1028801512
1743742498,1028819825
1743742499,1028835730
1743742500,1028843681
1743742501,1028853472
1743742502,1028871425
1743742503,1028887953
1743742504,1028895395
1743742505,1028904902
1743742506,1028921081
1743742507,1028938895
1743742509,1028946360
1743742510,1028955017
1743742511,1028970628
1743742512,1028991140
1743742513,1028998066
1743742514,1029007049
1743742515,1029022738
1743742516,1029042854
1743742517,1029049504
1743742518,1029058210
1743742520,1029074170
1743742521,1029095934
1743742522,1029102214
1743742523,1029111642
1743742524,1029126003
1743742525,1029147735
1743742526,1029156058
1743742527,1029164304
1743742528,1029178075
1743742529,1029199651
1743742530,1029211009
1743742532,1029218210
1743742533,1029230810
1743742534,1029251845
1743742535,1029264546
1743742536,1029271900
1743742537,1029283183
1743742538,1029302950
1743742539,1029318975
1743742540,1029327171
1743742541,1029337115
1743742542,1029355776
1743742544,1029373614
1743742545,1029381043
1743742546,1029390720
1743742547,1029408360
1743742548,1029428711
1743742549,1029435816
1743742550,1029444790
1743742551,1029460660
1743742552,1029483633
1743742553,1029490570
1743742555,1029499363
1743742556,1029513734
1743742557,1029535555
1743742558,1029546495
1743742559,1029553780
1743742560,1029566310
1743742561,1029588033
1743742562,1029600901
1743742563,1029608461
1743742564,1029620087
1743742565,1029640429
1743742567,1029655926
1743742568,1029663877
1743742569,1029673868
1743742570,1029693033
