Timestamp,gpu0_sclk_avg,gpu0_sclk_max,gpu0_sclk_min,all_gpu_sclk_avg,all_gpu_sclk_min,all_gpu_sclk_max,gpu0_mclk,all_gpu_mclk_avg,all_gpu_mclk_min,all_gpu_mclk_max,gpu0_power,all_gpu_power_avg,all_gpu_power_min,all_gpu_power_max,all_gpu_power_total,gpu0_temp
1743626341,132.25,137,131,132.25,131,137,900,900.0,900,900,134,134.0,134,134,134,37
1743626342,131.625,132,131,131.625,131,132,900,900.0,900,900,134,134.0,134,134,134,37
1743626343,132.125,134,131,132.125,131,134,900,900.0,900,900,134,134.0,134,134,134,36
1743626345,131.625,132,131,131.625,131,132,900,900.0,900,900,134,134.0,134,134,134,36
1743626346,131.625,132,131,131.625,131,132,900,900.0,900,900,133,133.0,133,133,133,36
1743626347,131.625,132,131,131.625,131,132,900,900.0,900,900,134,134.0,134,134,134,36
1743626348,131.875,134,131,131.875,131,134,900,900.0,900,900,133,133.0,133,133,133,36
1743626350,131.75,133,131,131.75,131,133,900,900.0,900,900,133,133.0,133,133,133,36
1743626351,131.625,132,131,131.625,131,132,900,900.0,900,900,134,134.0,134,134,134,36
1743626352,131.625,132,131,131.625,131,132,900,900.0,900,900,134,134.0,134,134,134,36
1743626353,131.625,132,131,131.625,131,132,900,900.0,900,900,134,134.0,134,134,134,36
1743626355,131.625,132,131,131.625,131,132,900,900.0,900,900,134,134.0,134,134,134,36
1743626356,131.625,132,131,131.625,131,132,900,900.0,900,900,134,134.0,134,134,134,36
1743626357,135.125,160,131,135.125,131,160,900,900.0,900,900,134,134.0,134,134,134,36
1743626358,132.375,138,131,132.375,131,138,900,900.0,900,900,134,134.0,134,134,134,36
1743626360,131.75,133,131,131.75,131,133,900,900.0,900,900,133,133.0,133,133,133,36
1743626361,2052.625,2060,2046,2052.625,2046,2060,900,900.0,900,900,163,163.0,163,163,163,36
1743626362,175.375,187,173,175.375,173,187,927,927.0,927,927,143,143.0,143,143,143,38
1743626363,132.25,134,131,132.25,131,134,900,900.0,900,900,134,134.0,134,134,134,37
1743626365,131.625,132,131,131.625,131,132,900,900.0,900,900,133,133.0,133,133,133,37
1743626366,131.625,132,131,131.625,131,132,900,900.0,900,900,134,134.0,134,134,134,37
1743626367,131.875,134,131,131.875,131,134,900,900.0,900,900,134,134.0,134,134,134,37
1743626369,131.75,133,131,131.75,131,133,900,900.0,900,900,134,134.0,134,134,134,36
1743626370,131.625,132,131,131.625,131,132,900,900.0,900,900,134,134.0,134,134,134,36
1743626371,131.625,132,131,131.625,131,132,900,900.0,900,900,134,134.0,134,134,134,36
