Timestamp,gpu0_sclk_avg,gpu0_sclk_max,gpu0_sclk_min,all_gpu_sclk_avg,all_gpu_sclk_min,all_gpu_sclk_max,gpu0_mclk,all_gpu_mclk_avg,all_gpu_mclk_min,all_gpu_mclk_max,gpu0_power,all_gpu_power_avg,all_gpu_power_min,all_gpu_power_max,all_gpu_power_total,gpu0_temp
1743626615,133.75,149,131,133.75,131,149,900,900.0,900,900,134,134.0,134,134,134,36
1743626616,131.625,132,131,131.625,131,132,900,900.0,900,900,133,133.0,133,133,133,36
1743626617,131.625,132,131,131.625,131,132,900,900.0,900,900,133,133.0,133,133,133,36
1743626619,131.625,132,131,131.625,131,132,900,900.0,900,900,133,133.0,133,133,133,36
1743626620,131.625,132,131,131.625,131,132,900,900.0,900,900,133,133.0,133,133,133,36
1743626621,131.625,132,131,131.625,131,132,900,900.0,900,900,133,133.0,133,133,133,36
1743626622,131.875,134,131,131.875,131,134,900,900.0,900,900,133,133.0,133,133,133,36
1743626624,131.75,133,131,131.75,131,133,900,900.0,900,900,133,133.0,133,133,133,36
1743626625,131.625,132,131,131.625,131,132,900,900.0,900,900,133,133.0,133,133,133,36
1743626626,131.625,132,131,131.625,131,132,900,900.0,900,900,133,133.0,133,133,133,36
1743626628,131.625,132,131,131.625,131,132,900,900.0,900,900,134,134.0,134,134,134,36
1743626629,131.625,132,131,131.625,131,132,900,900.0,900,900,133,133.0,133,133,133,36
1743626630,131.625,132,131,131.625,131,132,900,900.0,900,900,133,133.0,133,133,133,36
1743626631,135.0,159,131,135.0,131,159,900,900.0,900,900,134,134.0,134,134,134,36
1743626633,132.25,137,131,132.25,131,137,900,900.0,900,900,133,133.0,133,133,133,36
1743626634,131.75,133,131,131.75,131,133,900,900.0,900,900,133,133.0,133,133,133,36
1743626635,2020.625,2027,2014,2020.625,2014,2027,900,900.0,900,900,162,162.0,162,162,162,36
1743626636,131.625,132,131,131.625,131,132,900,900.0,900,900,134,134.0,134,134,134,36
1743626638,131.625,132,131,131.625,131,132,900,900.0,900,900,134,134.0,134,134,134,36
1743626639,131.625,132,131,131.625,131,132,900,900.0,900,900,134,134.0,134,134,134,36
1743626640,131.625,132,131,131.625,131,132,900,900.0,900,900,133,133.0,133,133,133,36
1743626641,131.875,134,131,131.875,131,134,900,900.0,900,900,134,134.0,134,134,134,36
1743626643,131.75,133,131,131.75,131,133,900,900.0,900,900,134,134.0,134,134,134,36
1743626644,131.625,132,131,131.625,131,132,900,900.0,900,900,134,134.0,134,134,134,36
1743626645,131.625,132,131,131.625,131,132,900,900.0,900,900,134,134.0,134,134,134,36
