Timestamp,gpu0_sclk_avg,gpu0_sclk_max,gpu0_sclk_min,all_gpu_sclk_avg,all_gpu_sclk_min,all_gpu_sclk_max,gpu0_mclk,all_gpu_mclk_avg,all_gpu_mclk_min,all_gpu_mclk_max,gpu0_power,all_gpu_power_avg,all_gpu_power_min,all_gpu_power_max,all_gpu_power_total,gpu0_temp
1743618800,132.75,140,131,132.75,131,140,900,900.0,900,900,125,125.0,125,125,125,49
1743618801,131.875,133,131,131.875,131,133,900,900.0,900,900,125,125.0,125,125,125,49
1743618802,131.875,133,131,131.875,131,133,900,900.0,900,900,125,125.0,125,125,125,48
1743618804,131.75,132,131,131.75,131,132,900,900.0,900,900,123,123.0,123,123,123,48
1743618805,131.75,132,131,131.75,131,132,900,900.0,900,900,125,125.0,125,125,125,48
1743618806,131.75,132,131,131.75,131,132,900,900.0,900,900,123,123.0,123,123,123,48
1743618807,131.75,132,131,131.75,131,132,900,900.0,900,900,125,125.0,125,125,125,48
1743618808,131.75,132,131,131.75,131,132,900,900.0,900,900,124,124.0,124,124,124,48
1743618809,131.75,132,131,131.75,131,132,900,900.0,900,900,125,125.0,125,125,125,48
1743618811,131.75,132,131,131.75,131,132,900,900.0,900,900,124,124.0,124,124,124,48
1743618812,2069.125,2076,2060,2069.125,2060,2076,1491,1491.0,1491,1491,846,846.0,846,846,846,50
1743618813,2082.5,2090,2073,2082.5,2073,2090,1500,1500.0,1500,1500,842,842.0,842,842,842,57
1743618814,2082.5,2090,2073,2082.5,2073,2090,1500,1500.0,1500,1500,844,844.0,844,844,844,60
1743618815,2082.25,2089,2073,2082.25,2073,2089,1500,1500.0,1500,1500,843,843.0,843,843,843,61
1743618816,2082.75,2089,2074,2082.75,2074,2089,1500,1500.0,1500,1500,845,845.0,845,845,845,62
1743618818,2082.5,2090,2073,2082.5,2073,2090,1500,1500.0,1500,1500,847,847.0,847,847,847,63
1743618819,2082.375,2089,2073,2082.375,2073,2089,1500,1500.0,1500,1500,847,847.0,847,847,847,63
1743618820,2082.5,2089,2073,2082.5,2073,2089,1500,1500.0,1500,1500,849,849.0,849,849,849,64
1743618821,2082.25,2089,2073,2082.25,2073,2089,1500,1500.0,1500,1500,852,852.0,852,852,852,64
1743618822,2082.125,2088,2073,2082.125,2073,2088,1500,1500.0,1500,1500,851,851.0,851,851,851,65
1743618824,2082.375,2089,2073,2082.375,2073,2089,1500,1500.0,1500,1500,852,852.0,852,852,852,65
1743618825,2082.125,2088,2072,2082.125,2072,2088,1500,1500.0,1500,1500,854,854.0,854,854,854,66
1743618826,2082.375,2089,2073,2082.375,2073,2089,1500,1500.0,1500,1500,853,853.0,853,853,853,66
1743618827,2077.625,2084,2068,2077.625,2068,2084,1500,1500.0,1500,1500,851,851.0,851,851,851,67
1743618828,2082.125,2088,2072,2082.125,2072,2088,1500,1500.0,1500,1500,855,855.0,855,855,855,67
1743618830,2082.0,2088,2072,2082.0,2072,2088,1500,1500.0,1500,1500,877,877.0,877,877,877,67
