Timestamp,gpu0_sclk_avg,gpu0_sclk_max,gpu0_sclk_min,all_gpu_sclk_avg,all_gpu_sclk_min,all_gpu_sclk_max,gpu0_mclk,all_gpu_mclk_avg,all_gpu_mclk_min,all_gpu_mclk_max,gpu0_power,all_gpu_power_avg,all_gpu_power_min,all_gpu_power_max,all_gpu_power_total,gpu0_temp
1743623140,135.375,161,131,135.375,131,161,900,900.0,900,900,119,119.0,119,119,119,42
1743623141,132.0,134,131,132.0,131,134,900,900.0,900,900,120,120.0,120,120,120,42
1743623142,131.875,133,131,131.875,131,133,900,900.0,900,900,120,120.0,120,120,120,42
1743623144,131.875,133,131,131.875,131,133,900,900.0,900,900,120,120.0,120,120,120,42
1743623145,131.875,133,131,131.875,131,133,900,900.0,900,900,119,119.0,119,119,119,42
1743623146,131.75,132,131,131.75,131,132,900,900.0,900,900,119,119.0,119,119,119,42
1743623147,131.75,132,131,131.75,131,132,900,900.0,900,900,119,119.0,119,119,119,42
1743623148,131.75,132,131,131.75,131,132,900,900.0,900,900,120,120.0,120,120,120,42
1743623149,131.75,132,131,131.75,131,132,900,900.0,900,900,118,118.0,118,118,118,42
1743623151,131.625,132,131,131.625,131,132,900,900.0,900,900,119,119.0,119,119,119,42
1743623152,1526.375,1536,1512,1526.375,1512,1536,1387,1387.0,1387,1387,369,369.0,369,369,369,43
1743623153,132.125,135,131,132.125,131,135,900,900.0,900,900,120,120.0,120,120,120,43
1743623154,131.875,133,131,131.875,131,133,900,900.0,900,900,120,120.0,120,120,120,42
1743623155,131.875,133,131,131.875,131,133,900,900.0,900,900,120,120.0,120,120,120,42
1743623157,131.875,133,131,131.875,131,133,900,900.0,900,900,119,119.0,119,119,119,42
1743623158,131.75,132,131,131.75,131,132,900,900.0,900,900,119,119.0,119,119,119,42
1743623159,131.75,132,131,131.75,131,132,900,900.0,900,900,119,119.0,119,119,119,42
1743623160,131.875,133,131,131.875,131,133,900,900.0,900,900,119,119.0,119,119,119,42
1743623161,131.75,132,131,131.75,131,132,900,900.0,900,900,120,120.0,120,120,120,42
