Timestamp,gpu0_sclk_avg,gpu0_sclk_max,gpu0_sclk_min,all_gpu_sclk_avg,all_gpu_sclk_min,all_gpu_sclk_max,gpu0_mclk,all_gpu_mclk_avg,all_gpu_mclk_min,all_gpu_mclk_max,gpu0_power,all_gpu_power_avg,all_gpu_power_min,all_gpu_power_max,all_gpu_power_total,gpu0_temp
1743793953,134.375,153,131,134.375,131,153,900,900.0,900,900,120,120.0,120,120,120,42
1743793954,131.875,134,131,131.875,131,134,900,900.0,900,900,119,119.0,119,119,119,42
1743793955,132.0,134,131,132.0,131,134,900,900.0,900,900,119,119.0,119,119,119,42
1743793956,131.75,132,131,131.75,131,132,900,900.0,900,900,119,119.0,119,119,119,42
1743793957,131.625,132,131,131.625,131,132,900,900.0,900,900,120,120.0,120,120,120,42
1743793959,131.75,132,131,131.75,131,132,900,900.0,900,900,120,120.0,120,120,120,42
1743793960,132.0,133,131,132.0,131,133,900,900.0,900,900,119,119.0,119,119,119,42
1743793961,131.75,132,131,131.75,131,132,900,900.0,900,900,119,119.0,119,119,119,42
1743793962,131.625,132,131,131.625,131,132,900,900.0,900,900,119,119.0,119,119,119,42
1743793963,132.5,138,131,132.5,131,138,900,900.0,900,900,119,119.0,119,119,119,42
1743793965,2070.25,2077,2061,2070.25,2061,2077,1493,1493.0,1493,1493,597,597.0,597,597,597,45
1743793966,2080.0,2088,2071,2080.0,2071,2088,1500,1500.0,1500,1500,630,630.0,630,630,630,51
1743793967,2080.25,2087,2073,2080.25,2073,2087,1500,1500.0,1500,1500,615,615.0,615,615,615,54
1743793968,2081.125,2088,2073,2081.125,2073,2088,1500,1500.0,1500,1500,632,632.0,632,632,632,55
1743793969,2080.125,2087,2072,2080.125,2072,2087,1500,1500.0,1500,1500,624,624.0,624,624,624,56
1743793970,2080.125,2087,2072,2080.125,2072,2087,1500,1500.0,1500,1500,634,634.0,634,634,634,57
1743793972,2077.0,2084,2067,2077.0,2067,2084,1500,1500.0,1500,1500,607,607.0,607,607,607,57
1743793973,2080.125,2088,2071,2080.125,2071,2088,1500,1500.0,1500,1500,633,633.0,633,633,633,58
1743793974,2078.375,2085,2069,2078.375,2069,2085,1500,1500.0,1500,1500,614,614.0,614,614,614,58
1743793975,2080.5,2088,2073,2080.5,2073,2088,1500,1500.0,1500,1500,631,631.0,631,631,631,58
1743793976,2075.5,2083,2066,2075.5,2066,2083,1500,1500.0,1500,1500,597,597.0,597,597,597,59
1743793978,2080.0,2087,2072,2080.0,2072,2087,1500,1500.0,1500,1500,632,632.0,632,632,632,59
1743793979,2077.75,2085,2070,2077.75,2070,2085,1500,1500.0,1500,1500,601,601.0,601,601,601,59
1743793980,2081.0,2089,2072,2081.0,2072,2089,1500,1500.0,1500,1500,638,638.0,638,638,638,60
1743793981,2080.0,2087,2072,2080.0,2072,2087,1500,1500.0,1500,1500,610,610.0,610,610,610,60
1743793982,2080.375,2087,2071,2080.375,2071,2087,1500,1500.0,1500,1500,632,632.0,632,632,632,60
1743793983,2077.125,2084,2068,2077.125,2068,2084,1500,1500.0,1500,1500,614,614.0,614,614,614,61
1743793985,2081.0,2088,2072,2081.0,2072,2088,1500,1500.0,1500,1500,637,637.0,637,637,637,61
1743793986,1790.875,1804,1774,1790.875,1774,1804,1500,1500.0,1500,1500,389,389.0,389,389,389,61
1743793987,131.75,132,131,131.75,131,132,900,900.0,900,900,126,126.0,126,126,126,53
1743793988,131.75,132,131,131.75,131,132,900,900.0,900,900,125,125.0,125,125,125,50
1743793989,131.75,132,131,131.75,131,132,900,900.0,900,900,125,125.0,125,125,125,49
1743793990,131.75,132,131,131.75,131,132,900,900.0,900,900,124,124.0,124,124,124,48
1743793992,131.75,132,131,131.75,131,132,900,900.0,900,900,124,124.0,124,124,124,48
1743793993,131.75,132,131,131.75,131,132,900,900.0,900,900,123,123.0,123,123,123,47
1743793994,132.125,135,131,132.125,131,135,900,900.0,900,900,123,123.0,123,123,123,47
1743793995,131.75,133,131,131.75,131,133,900,900.0,900,900,123,123.0,123,123,123,47
