Timestamp,gpu0_sclk_avg,gpu0_sclk_max,gpu0_sclk_min,all_gpu_sclk_avg,all_gpu_sclk_min,all_gpu_sclk_max,gpu0_mclk,all_gpu_mclk_avg,all_gpu_mclk_min,all_gpu_mclk_max,gpu0_power,all_gpu_power_avg,all_gpu_power_min,all_gpu_power_max,all_gpu_power_total,gpu0_temp
1743884513,88.875,95,88,88.875,88,95,900,900.0,900,900,109,109.0,109,109,109,42
1743884515,88.125,89,88,88.125,88,89,900,900.0,900,900,109,109.0,109,109,109,42
1743884516,88.125,89,88,88.125,88,89,900,900.0,900,900,110,110.0,110,110,110,42
1743884517,88.125,89,88,88.125,88,89,900,900.0,900,900,109,109.0,109,109,109,42
1743884518,88.125,89,88,88.125,88,89,900,900.0,900,900,109,109.0,109,109,109,42
1743884519,88.125,89,88,88.125,88,89,900,900.0,900,900,109,109.0,109,109,109,42
1743884520,88.0,88,88,88.0,88,88,900,900.0,900,900,109,109.0,109,109,109,42
1743884522,88.125,89,88,88.125,88,89,900,900.0,900,900,110,110.0,110,110,110,42
1743884523,88.0,88,88,88.0,88,88,900,900.0,900,900,109,109.0,109,109,109,42
1743884524,88.0,88,88,88.0,88,88,900,900.0,900,900,110,110.0,110,110,110,42
1743884525,1373.0,1381,1364,1373.0,1364,1381,1477,1477.0,1477,1477,459,459.0,459,459,459,43
1743884526,1389.0,1400,1377,1389.0,1377,1400,1500,1500.0,1500,1500,479,479.0,479,479,479,49
1743884528,1390.125,1401,1378,1390.125,1378,1401,1500,1500.0,1500,1500,475,475.0,475,475,475,51
1743884529,1390.0,1400,1380,1390.0,1380,1400,1500,1500.0,1500,1500,475,475.0,475,475,475,52
1743884530,1390.125,1400,1380,1390.125,1380,1400,1500,1500.0,1500,1500,477,477.0,477,477,477,53
1743884531,1392.75,1402,1381,1392.75,1381,1402,1500,1500.0,1500,1500,445,445.0,445,445,445,53
1743884532,1388.25,1399,1374,1388.25,1374,1399,1500,1500.0,1500,1500,484,484.0,484,484,484,53
1743884534,1388.875,1399,1378,1388.875,1378,1399,1500,1500.0,1500,1500,480,480.0,480,480,480,54
1743884535,1389.625,1400,1378,1389.625,1378,1400,1500,1500.0,1500,1500,483,483.0,483,483,483,54
1743884536,1388.625,1399,1376,1388.625,1376,1399,1500,1500.0,1500,1500,482,482.0,482,482,482,54
1743884537,1387.75,1395,1377,1387.75,1377,1395,1500,1500.0,1500,1500,481,481.0,481,481,481,54
1743884538,1388.5,1396,1377,1388.5,1377,1396,1500,1500.0,1500,1500,474,474.0,474,474,474,55
1743884539,1388.75,1394,1380,1388.75,1380,1394,1500,1500.0,1500,1500,475,475.0,475,475,475,55
1743884541,181.0,190,179,181.0,179,190,1029,1029.0,1029,1029,136,136.0,136,136,136,53
1743884542,88.5,92,88,88.5,88,92,900,900.0,900,900,112,112.0,112,112,112,48
1743884543,88.25,90,88,88.25,88,90,900,900.0,900,900,112,112.0,112,112,112,46
1743884544,88.125,89,88,88.125,88,89,900,900.0,900,900,111,111.0,111,111,111,45
1743884545,88.125,89,88,88.125,88,89,900,900.0,900,900,111,111.0,111,111,111,45
1743884547,88.125,89,88,88.125,88,89,900,900.0,900,900,111,111.0,111,111,111,45
1743884548,88.0,88,88,88.0,88,88,900,900.0,900,900,112,112.0,112,112,112,45
1743884549,88.0,88,88,88.0,88,88,900,900.0,900,900,112,112.0,112,112,112,44
1743884550,88.0,88,88,88.0,88,88,900,900.0,900,900,111,111.0,111,111,111,44
