Timestamp,gpu0_sclk_avg,gpu0_sclk_max,gpu0_sclk_min,all_gpu_sclk_avg,all_gpu_sclk_min,all_gpu_sclk_max,gpu0_mclk,all_gpu_mclk_avg,all_gpu_mclk_min,all_gpu_mclk_max,gpu0_power,all_gpu_power_avg,all_gpu_power_min,all_gpu_power_max,all_gpu_power_total,gpu0_temp
1743886142,89.0,96,88,89.0,88,96,900,900.0,900,900,109,109.0,109,109,109,40
1743886144,88.125,89,88,88.125,88,89,900,900.0,900,900,109,109.0,109,109,109,40
1743886145,88.125,89,88,88.125,88,89,900,900.0,900,900,108,108.0,108,108,108,40
1743886146,88.125,89,88,88.125,88,89,900,900.0,900,900,109,109.0,109,109,109,40
1743886147,88.0,88,88,88.0,88,88,900,900.0,900,900,109,109.0,109,109,109,40
1743886148,88.125,89,88,88.125,88,89,900,900.0,900,900,109,109.0,109,109,109,40
1743886149,88.0,88,88,88.0,88,88,900,900.0,900,900,109,109.0,109,109,109,40
1743886151,88.125,89,88,88.125,88,89,900,900.0,900,900,109,109.0,109,109,109,40
1743886152,88.0,88,88,88.0,88,88,900,900.0,900,900,109,109.0,109,109,109,40
1743886153,88.0,88,88,88.0,88,88,900,900.0,900,900,109,109.0,109,109,109,40
1743886154,1367.5,1378,1349,1367.5,1349,1378,1473,1473.0,1473,1473,438,438.0,438,438,438,42
1743886155,1389.125,1399,1372,1389.125,1372,1399,1500,1500.0,1500,1500,456,456.0,456,456,456,48
1743886157,89.25,90,89,89.25,89,90,902,902.0,902,902,110,110.0,110,110,110,46
1743886158,88.125,89,88,88.125,88,89,900,900.0,900,900,109,109.0,109,109,109,43
1743886159,88.125,89,88,88.125,88,89,900,900.0,900,900,110,110.0,110,110,110,42
1743886160,88.0,88,88,88.0,88,88,900,900.0,900,900,108,108.0,108,108,108,41
1743886161,88.0,88,88,88.0,88,88,900,900.0,900,900,109,109.0,109,109,109,41
1743886162,88.125,89,88,88.125,88,89,900,900.0,900,900,108,108.0,108,108,108,41
1743886164,88.125,89,88,88.125,88,89,900,900.0,900,900,109,109.0,109,109,109,41
1743886165,88.125,89,88,88.125,88,89,900,900.0,900,900,110,110.0,110,110,110,41
