Timestamp,gpu0_sclk_avg,gpu0_sclk_max,gpu0_sclk_min,all_gpu_sclk_avg,all_gpu_sclk_min,all_gpu_sclk_max,gpu0_mclk,all_gpu_mclk_avg,all_gpu_mclk_min,all_gpu_mclk_max,gpu0_power,all_gpu_power_avg,all_gpu_power_min,all_gpu_power_max,all_gpu_power_total,gpu0_temp
1743886390,89.0,96,88,89.0,88,96,900,900.0,900,900,109,109.0,109,109,109,41
1743886391,88.25,90,88,88.25,88,90,900,900.0,900,900,109,109.0,109,109,109,41
1743886393,88.125,89,88,88.125,88,89,900,900.0,900,900,109,109.0,109,109,109,41
1743886394,88.125,89,88,88.125,88,89,900,900.0,900,900,109,109.0,109,109,109,41
1743886395,88.125,89,88,88.125,88,89,900,900.0,900,900,109,109.0,109,109,109,41
1743886396,88.125,89,88,88.125,88,89,900,900.0,900,900,109,109.0,109,109,109,41
1743886397,88.125,89,88,88.125,88,89,900,900.0,900,900,109,109.0,109,109,109,41
1743886398,88.125,89,88,88.125,88,89,900,900.0,900,900,109,109.0,109,109,109,41
1743886400,88.125,89,88,88.125,88,89,900,900.0,900,900,108,108.0,108,108,108,41
1743886401,88.125,89,88,88.125,88,89,900,900.0,900,900,109,109.0,109,109,109,41
1743886402,1364.125,1376,1346,1364.125,1346,1376,1480,1480.0,1480,1480,492,492.0,492,492,492,43
1743886403,88.375,90,88,88.375,88,90,900,900.0,900,900,110,110.0,110,110,110,43
1743886404,88.125,89,88,88.125,88,89,900,900.0,900,900,109,109.0,109,109,109,42
1743886406,88.125,89,88,88.125,88,89,900,900.0,900,900,109,109.0,109,109,109,41
1743886407,88.125,89,88,88.125,88,89,900,900.0,900,900,109,109.0,109,109,109,41
1743886408,88.125,89,88,88.125,88,89,900,900.0,900,900,109,109.0,109,109,109,41
1743886409,88.125,89,88,88.125,88,89,900,900.0,900,900,109,109.0,109,109,109,41
1743886410,88.0,88,88,88.0,88,88,900,900.0,900,900,109,109.0,109,109,109,41
1743886411,88.0,88,88,88.0,88,88,900,900.0,900,900,109,109.0,109,109,109,41
