Timestamp,gpu0_sclk_avg,gpu0_sclk_max,gpu0_sclk_min,all_gpu_sclk_avg,all_gpu_sclk_min,all_gpu_sclk_max,gpu0_mclk,all_gpu_mclk_avg,all_gpu_mclk_min,all_gpu_mclk_max,gpu0_power,all_gpu_power_avg,all_gpu_power_min,all_gpu_power_max,all_gpu_power_total,gpu0_temp
1743605345,132.375,137,131,132.375,131,137,900,900.0,900,900,136,136.0,136,136,136,40
1743605346,131.625,132,131,131.625,131,132,900,900.0,900,900,136,136.0,136,136,136,40
1743605347,131.625,132,131,131.625,131,132,900,900.0,900,900,136,136.0,136,136,136,40
1743605348,131.75,132,131,131.75,131,132,900,900.0,900,900,136,136.0,136,136,136,40
1743605350,131.75,132,131,131.75,131,132,900,900.0,900,900,136,136.0,136,136,136,40
1743605351,132.0,135,131,132.0,131,135,900,900.0,900,900,136,136.0,136,136,136,40
1743605352,132.0,135,131,132.0,131,135,900,900.0,900,900,136,136.0,136,136,136,40
1743605353,131.625,132,131,131.625,131,132,900,900.0,900,900,136,136.0,136,136,136,40
1743605355,131.625,132,131,131.625,131,132,900,900.0,900,900,136,136.0,136,136,136,40
1743605356,131.625,132,131,131.625,131,132,900,900.0,900,900,136,136.0,136,136,136,40
1743605357,131.625,132,131,131.625,131,132,900,900.0,900,900,136,136.0,136,136,136,40
1743605358,131.625,132,131,131.625,131,132,900,900.0,900,900,136,136.0,136,136,136,40
1743605360,136.875,174,131,136.875,131,174,900,900.0,900,900,136,136.0,136,136,136,40
1743605361,132.5,139,131,132.5,131,139,900,900.0,900,900,136,136.0,136,136,136,40
1743605362,131.875,134,131,131.875,131,134,900,900.0,900,900,136,136.0,136,136,136,40
1743605364,131.625,132,131,131.625,131,132,900,900.0,900,900,136,136.0,136,136,136,40
1743605365,131.75,132,131,131.75,131,132,900,900.0,900,900,136,136.0,136,136,136,40
1743605366,131.625,132,131,131.625,131,132,900,900.0,900,900,136,136.0,136,136,136,40
1743605367,131.625,132,131,131.625,131,132,900,900.0,900,900,136,136.0,136,136,136,40
1743605369,131.625,132,131,131.625,131,132,900,900.0,900,900,136,136.0,136,136,136,40
1743605370,131.875,134,131,131.875,131,134,900,900.0,900,900,136,136.0,136,136,136,40
1743605371,131.75,133,131,131.75,131,133,900,900.0,900,900,136,136.0,136,136,136,40
1743605372,131.625,132,131,131.625,131,132,900,900.0,900,900,136,136.0,136,136,136,40
1743605374,131.625,132,131,131.625,131,132,900,900.0,900,900,136,136.0,136,136,136,40
