Timestamp,gpu0_sclk_avg,gpu0_sclk_max,gpu0_sclk_min,all_gpu_sclk_avg,all_gpu_sclk_min,all_gpu_sclk_max,gpu0_mclk,all_gpu_mclk_avg,all_gpu_mclk_min,all_gpu_mclk_max,gpu0_power,all_gpu_power_avg,all_gpu_power_min,all_gpu_power_max,all_gpu_power_total,gpu0_temp
1743776064,133.625,142,131,133.625,131,142,900,900.0,900,900,118,118.0,118,118,118,41
1743776065,132.125,134,131,132.125,131,134,900,900.0,900,900,118,118.0,118,118,118,41
1743776067,132.0,133,131,132.0,131,133,900,900.0,900,900,118,118.0,118,118,118,41
1743776068,131.875,133,131,131.875,131,133,900,900.0,900,900,118,118.0,118,118,118,41
1743776069,131.75,132,131,131.75,131,132,900,900.0,900,900,118,118.0,118,118,118,41
1743776070,131.75,132,131,131.75,131,132,900,900.0,900,900,118,118.0,118,118,118,41
1743776071,132.125,134,131,132.125,131,134,900,900.0,900,900,118,118.0,118,118,118,41
1743776072,132.125,134,131,132.125,131,134,900,900.0,900,900,119,119.0,119,119,119,41
1743776074,132.125,134,131,132.125,131,134,900,900.0,900,900,118,118.0,118,118,118,41
1743776075,132.375,135,131,132.375,131,135,900,900.0,900,900,119,119.0,119,119,119,41
1743776076,1909.5,1924,1892,1909.5,1892,1924,1494,1494.0,1494,1494,684,684.0,684,684,684,44
1743776077,132.125,135,131,132.125,131,135,900,900.0,900,900,119,119.0,119,119,119,43
1743776078,138.75,160,131,138.75,131,160,900,900.0,900,900,119,119.0,119,119,119,42
1743776079,138.125,157,131,138.125,131,157,900,900.0,900,900,118,118.0,118,118,118,41
1743776081,139.125,162,131,139.125,131,162,900,900.0,900,900,119,119.0,119,119,119,41
1743776082,138.375,159,131,138.375,131,159,900,900.0,900,900,118,118.0,118,118,118,41
1743776083,139.375,163,131,139.375,131,163,900,900.0,900,900,120,120.0,120,120,120,41
1743776084,137.625,156,131,137.625,131,156,900,900.0,900,900,118,118.0,118,118,118,41
1743776085,138.375,159,131,138.375,131,159,900,900.0,900,900,119,119.0,119,119,119,41
