Timestamp,gpu0_sclk_avg,gpu0_sclk_max,gpu0_sclk_min,all_gpu_sclk_avg,all_gpu_sclk_min,all_gpu_sclk_max,gpu0_mclk,all_gpu_mclk_avg,all_gpu_mclk_min,all_gpu_mclk_max,gpu0_power,all_gpu_power_avg,all_gpu_power_min,all_gpu_power_max,all_gpu_power_total,gpu0_temp
1743861478,90.0,104,88,90.0,88,104,900,900.0,900,900,110,110.0,110,110,110,43
1743861479,88.25,90,88,88.25,88,90,900,900.0,900,900,111,111.0,111,111,111,43
1743861480,88.125,89,88,88.125,88,89,900,900.0,900,900,110,110.0,110,110,110,43
1743861481,88.125,89,88,88.125,88,89,900,900.0,900,900,111,111.0,111,111,111,43
1743861482,88.125,89,88,88.125,88,89,900,900.0,900,900,110,110.0,110,110,110,43
1743861484,88.125,89,88,88.125,88,89,900,900.0,900,900,111,111.0,111,111,111,43
1743861485,88.125,89,88,88.125,88,89,900,900.0,900,900,111,111.0,111,111,111,43
1743861486,88.0,88,88,88.0,88,88,900,900.0,900,900,110,110.0,110,110,110,43
1743861487,88.125,89,88,88.125,88,89,900,900.0,900,900,111,111.0,111,111,111,43
1743861488,88.0,88,88,88.0,88,88,900,900.0,900,900,110,110.0,110,110,110,43
1743861489,1354.0,1371,1338,1354.0,1338,1371,1298,1298.0,1298,1298,745,745.0,745,745,745,45
1743861491,1329.0,1345,1313,1329.0,1313,1345,1300,1300.0,1300,1300,750,750.0,750,750,750,51
1743861492,1331.75,1347,1316,1331.75,1316,1347,1300,1300.0,1300,1300,750,750.0,750,750,750,53
1743861493,1319.5,1335,1302,1319.5,1302,1335,1300,1300.0,1300,1300,750,750.0,750,750,750,54
1743861494,1367.75,1382,1351,1367.75,1351,1382,1320,1320.0,1320,1320,749,749.0,749,749,749,55
1743861495,1330.25,1346,1314,1330.25,1314,1346,1300,1300.0,1300,1300,750,750.0,750,750,750,56
1743861497,1315.125,1331,1297,1315.125,1297,1331,1300,1300.0,1300,1300,749,749.0,749,749,749,56
1743861498,1313.25,1329,1294,1313.25,1294,1329,1300,1300.0,1300,1300,750,750.0,750,750,750,56
1743861499,1305.0,1320,1287,1305.0,1287,1320,1300,1300.0,1300,1300,749,749.0,749,749,749,57
1743861500,1319.625,1335,1302,1319.625,1302,1335,1301,1301.0,1301,1301,749,749.0,749,749,749,57
1743861501,1319.5,1335,1302,1319.5,1302,1335,1300,1300.0,1300,1300,750,750.0,750,750,750,58
1743861502,1300.75,1316,1283,1300.75,1283,1316,1300,1300.0,1300,1300,750,750.0,750,750,750,58
1743861504,1302.25,1317,1284,1302.25,1284,1317,1300,1300.0,1300,1300,750,750.0,750,750,750,59
1743861505,1376.625,1390,1358,1376.625,1358,1390,1373,1373.0,1373,1373,619,619.0,619,619,619,59
1743861506,1295.125,1310,1277,1295.125,1277,1310,1300,1300.0,1300,1300,750,750.0,750,750,750,59
1743861507,1286.625,1302,1269,1286.625,1269,1302,1300,1300.0,1300,1300,750,750.0,750,750,750,60
1743861508,1281.625,1297,1264,1281.625,1264,1297,1300,1300.0,1300,1300,750,750.0,750,750,750,60
