Timestamp,gpu0_sclk_avg,gpu0_sclk_max,gpu0_sclk_min,all_gpu_sclk_avg,all_gpu_sclk_min,all_gpu_sclk_max,gpu0_mclk,all_gpu_mclk_avg,all_gpu_mclk_min,all_gpu_mclk_max,gpu0_power,all_gpu_power_avg,all_gpu_power_min,all_gpu_power_max,all_gpu_power_total,gpu0_temp
1743863690,89.0,96,88,89.0,88,96,900,900.0,900,900,109,109.0,109,109,109,42
1743863691,88.25,90,88,88.25,88,90,900,900.0,900,900,109,109.0,109,109,109,42
1743863692,88.125,89,88,88.125,88,89,900,900.0,900,900,109,109.0,109,109,109,42
1743863694,88.125,89,88,88.125,88,89,900,900.0,900,900,109,109.0,109,109,109,42
1743863695,88.125,89,88,88.125,88,89,900,900.0,900,900,109,109.0,109,109,109,42
1743863696,88.125,89,88,88.125,88,89,900,900.0,900,900,109,109.0,109,109,109,42
1743863697,88.0,88,88,88.0,88,88,900,900.0,900,900,109,109.0,109,109,109,42
1743863698,88.0,88,88,88.0,88,88,900,900.0,900,900,110,110.0,110,110,110,42
1743863700,88.0,88,88,88.0,88,88,900,900.0,900,900,109,109.0,109,109,109,42
1743863701,88.0,88,88,88.0,88,88,900,900.0,900,900,109,109.0,109,109,109,42
1743863702,1352.25,1373,1327,1352.25,1327,1373,1437,1437.0,1437,1437,689,689.0,689,689,689,45
1743863703,1346.875,1367,1324,1346.875,1324,1367,1427,1427.0,1427,1427,742,742.0,742,742,742,51
1743863704,1346.5,1367,1323,1346.5,1323,1367,1402,1402.0,1402,1402,748,748.0,748,748,748,53
1743863705,1349.625,1369,1326,1349.625,1326,1369,1463,1463.0,1463,1463,716,716.0,716,716,716,54
1743863707,1347.125,1367,1324,1347.125,1324,1367,1410,1410.0,1410,1410,742,742.0,742,742,742,55
1743863708,1346.625,1367,1324,1346.625,1324,1367,1416,1416.0,1416,1416,752,752.0,752,752,752,56
1743863709,1348.25,1367,1326,1348.25,1326,1367,1454,1454.0,1454,1454,728,728.0,728,728,728,56
1743863710,89.0,89,89,89.0,89,89,1500,1500.0,1500,1500,184,184.0,184,184,184,52
1743863711,88.125,89,88,88.125,88,89,900,900.0,900,900,112,112.0,112,112,112,48
1743863713,88.0,88,88,88.0,88,88,900,900.0,900,900,112,112.0,112,112,112,46
1743863714,88.0,88,88,88.0,88,88,900,900.0,900,900,112,112.0,112,112,112,46
1743863715,88.0,88,88,88.0,88,88,900,900.0,900,900,111,111.0,111,111,111,45
1743863716,88.0,88,88,88.0,88,88,900,900.0,900,900,112,112.0,112,112,112,45
1743863717,88.375,91,88,88.375,88,91,900,900.0,900,900,111,111.0,111,111,111,45
1743863718,88.25,90,88,88.25,88,90,900,900.0,900,900,111,111.0,111,111,111,45
