Timestamp,gpu0_sclk_avg,gpu0_sclk_max,gpu0_sclk_min,all_gpu_sclk_avg,all_gpu_sclk_min,all_gpu_sclk_max,gpu0_mclk,all_gpu_mclk_avg,all_gpu_mclk_min,all_gpu_mclk_max,gpu0_power,all_gpu_power_avg,all_gpu_power_min,all_gpu_power_max,all_gpu_power_total,gpu0_temp
1743866400,88.875,95,88,88.875,88,95,900,900.0,900,900,109,109.0,109,109,109,41
1743866401,88.25,90,88,88.25,88,90,900,900.0,900,900,109,109.0,109,109,109,41
1743866403,88.125,89,88,88.125,88,89,900,900.0,900,900,109,109.0,109,109,109,41
1743866404,88.125,89,88,88.125,88,89,900,900.0,900,900,109,109.0,109,109,109,41
1743866405,88.125,89,88,88.125,88,89,900,900.0,900,900,109,109.0,109,109,109,41
1743866406,88.125,89,88,88.125,88,89,900,900.0,900,900,109,109.0,109,109,109,41
1743866407,88.125,89,88,88.125,88,89,900,900.0,900,900,109,109.0,109,109,109,41
1743866408,88.0,88,88,88.0,88,88,900,900.0,900,900,108,108.0,108,108,108,41
1743866410,88.125,89,88,88.125,88,89,900,900.0,900,900,109,109.0,109,109,109,41
1743866411,88.0,88,88,88.0,88,88,900,900.0,900,900,109,109.0,109,109,109,41
1743866412,191.75,193,191,191.75,191,193,1041,1041.0,1041,1041,134,134.0,134,134,134,41
1743866413,88.25,90,88,88.25,88,90,900,900.0,900,900,109,109.0,109,109,109,41
1743866414,88.125,89,88,88.125,88,89,900,900.0,900,900,108,108.0,108,108,108,41
1743866415,88.125,89,88,88.125,88,89,900,900.0,900,900,109,109.0,109,109,109,41
1743866417,88.125,89,88,88.125,88,89,900,900.0,900,900,108,108.0,108,108,108,41
1743866418,88.125,89,88,88.125,88,89,900,900.0,900,900,109,109.0,109,109,109,41
1743866419,88.125,89,88,88.125,88,89,900,900.0,900,900,108,108.0,108,108,108,41
1743866420,88.0,88,88,88.0,88,88,900,900.0,900,900,109,109.0,109,109,109,41
1743866421,88.0,88,88,88.0,88,88,900,900.0,900,900,108,108.0,108,108,108,41
