Timestamp,gpu0_sclk_avg,gpu0_sclk_max,gpu0_sclk_min,all_gpu_sclk_avg,all_gpu_sclk_min,all_gpu_sclk_max,gpu0_mclk,all_gpu_mclk_avg,all_gpu_mclk_min,all_gpu_mclk_max,gpu0_power,all_gpu_power_avg,all_gpu_power_min,all_gpu_power_max,all_gpu_power_total,gpu0_temp
1744934282,134.25,149,131,134.25,131,149,900,900.0,900,900,135,135.0,135,135,135,37
1744934283,132.375,134,131,132.375,131,134,900,900.0,900,900,135,135.0,135,135,135,37
1744934284,133.875,140,131,133.875,131,140,900,900.0,900,900,135,135.0,135,135,135,37
1744934285,137.875,156,131,137.875,131,156,900,900.0,900,900,135,135.0,135,135,135,37
1744934287,137.125,153,131,137.125,131,153,900,900.0,900,900,135,135.0,135,135,135,37
1744934288,136.875,151,131,136.875,131,151,900,900.0,900,900,135,135.0,135,135,135,37
1744934289,138.0,155,131,138.0,131,155,900,900.0,900,900,135,135.0,135,135,135,37
1744934290,139.25,161,131,139.25,131,161,900,900.0,900,900,135,135.0,135,135,135,37
1744934292,138.75,160,131,138.75,131,160,900,900.0,900,900,135,135.0,135,135,135,37
1744934293,136.625,151,131,136.625,131,151,900,900.0,900,900,135,135.0,135,135,135,37
1744934294,135.75,148,131,135.75,131,148,900,900.0,900,900,135,135.0,135,135,135,37
1744934295,136.0,149,131,136.0,131,149,900,900.0,900,900,135,135.0,135,135,135,37
1744934297,133.75,139,131,133.75,131,139,900,900.0,900,900,135,135.0,135,135,135,37
1744934298,132.875,139,131,132.875,131,139,900,900.0,900,900,135,135.0,135,135,135,37
1744934299,1975.125,1983,1969,1975.125,1969,1983,1241,1241.0,1241,1241,385,385.0,385,385,385,37
1744934300,2083.125,2090,2077,2083.125,2077,2090,1300,1300.0,1300,1300,427,427.0,427,427,427,40
1744934302,2083.125,2090,2077,2083.125,2077,2090,1300,1300.0,1300,1300,428,428.0,428,428,428,42
1744934303,2083.25,2090,2077,2083.25,2077,2090,1300,1300.0,1300,1300,428,428.0,428,428,428,43
1744934304,2083.0,2090,2077,2083.0,2077,2090,1300,1300.0,1300,1300,429,429.0,429,429,429,44
1744934305,2083.5,2090,2078,2083.5,2078,2090,1300,1300.0,1300,1300,429,429.0,429,429,429,45
1744934307,2083.625,2090,2077,2083.625,2077,2090,1300,1300.0,1300,1300,429,429.0,429,429,429,46
1744934308,2083.25,2089,2077,2083.25,2077,2089,1300,1300.0,1300,1300,432,432.0,432,432,432,46
1744934309,2083.375,2089,2078,2083.375,2078,2089,1300,1300.0,1300,1300,430,430.0,430,430,430,47
1744934311,2083.375,2090,2077,2083.375,2077,2090,1300,1300.0,1300,1300,431,431.0,431,431,431,47
1744934312,2083.625,2091,2078,2083.625,2078,2091,1300,1300.0,1300,1300,431,431.0,431,431,431,48
1744934313,2083.125,2090,2077,2083.125,2077,2090,1300,1300.0,1300,1300,431,431.0,431,431,431,48
1744934314,2083.25,2090,2077,2083.25,2077,2090,1300,1300.0,1300,1300,431,431.0,431,431,431,48
1744934316,2083.375,2090,2077,2083.375,2077,2090,1300,1300.0,1300,1300,431,431.0,431,431,431,48
1744934317,2083.75,2091,2077,2083.75,2077,2091,1300,1300.0,1300,1300,432,432.0,432,432,432,48
1744934318,2083.5,2090,2077,2083.5,2077,2090,1300,1300.0,1300,1300,432,432.0,432,432,432,48
1744934319,2083.625,2091,2077,2083.625,2077,2091,1300,1300.0,1300,1300,432,432.0,432,432,432,48
1744934321,2083.625,2091,2077,2083.625,2077,2091,1300,1300.0,1300,1300,432,432.0,432,432,432,49
1744934322,2083.875,2091,2077,2083.875,2077,2091,1300,1300.0,1300,1300,431,431.0,431,431,431,49
1744934323,2083.875,2091,2077,2083.875,2077,2091,1300,1300.0,1300,1300,432,432.0,432,432,432,49
1744934324,2083.625,2091,2077,2083.625,2077,2091,1300,1300.0,1300,1300,432,432.0,432,432,432,49
1744934326,2083.75,2091,2077,2083.75,2077,2091,1300,1300.0,1300,1300,432,432.0,432,432,432,49
1744934327,2083.75,2091,2077,2083.75,2077,2091,1300,1300.0,1300,1300,432,432.0,432,432,432,49
1744934328,2083.75,2091,2077,2083.75,2077,2091,1300,1300.0,1300,1300,432,432.0,432,432,432,49
1744934329,2083.5,2091,2077,2083.5,2077,2091,1300,1300.0,1300,1300,432,432.0,432,432,432,49
1744934331,2083.75,2091,2077,2083.75,2077,2091,1300,1300.0,1300,1300,432,432.0,432,432,432,49
1744934332,2083.625,2091,2077,2083.625,2077,2091,1300,1300.0,1300,1300,432,432.0,432,432,432,49
1744934333,2083.5,2091,2077,2083.5,2077,2091,1300,1300.0,1300,1300,432,432.0,432,432,432,49
1744934334,2083.625,2090,2077,2083.625,2077,2090,1300,1300.0,1300,1300,432,432.0,432,432,432,49
