Timestamp,gpu0_sclk_avg,gpu0_sclk_max,gpu0_sclk_min,all_gpu_sclk_avg,all_gpu_sclk_min,all_gpu_sclk_max,gpu0_mclk,all_gpu_mclk_avg,all_gpu_mclk_min,all_gpu_mclk_max,gpu0_power,all_gpu_power_avg,all_gpu_power_min,all_gpu_power_max,all_gpu_power_total,gpu0_temp
1744937552,133.375,137,131,133.375,131,137,900,900.0,900,900,135,135.0,135,135,135,37
1744937553,134.0,140,131,134.0,131,140,900,900.0,900,900,135,135.0,135,135,135,37
1744937555,132.125,133,131,132.125,131,133,900,900.0,900,900,135,135.0,135,135,135,37
1744937556,134.75,144,131,134.75,131,144,900,900.0,900,900,135,135.0,135,135,135,37
1744937557,137.375,154,131,137.375,131,154,900,900.0,900,900,135,135.0,135,135,135,37
1744937558,139.25,159,131,139.25,131,159,900,900.0,900,900,135,135.0,135,135,135,37
1744937560,137.25,153,131,137.25,131,153,900,900.0,900,900,135,135.0,135,135,135,37
1744937561,138.5,158,131,138.5,131,158,900,900.0,900,900,135,135.0,135,135,135,37
1744937562,133.25,138,131,133.25,131,138,900,900.0,900,900,135,135.0,135,135,135,37
1744937563,135.375,146,131,135.375,131,146,900,900.0,900,900,135,135.0,135,135,135,37
1744937565,134.5,143,131,134.5,131,143,900,900.0,900,900,135,135.0,135,135,135,37
1744937566,132.25,134,131,132.25,131,134,900,900.0,900,900,135,135.0,135,135,135,37
1744937567,131.875,132,131,131.875,131,132,900,900.0,900,900,135,135.0,135,135,135,37
1744937568,134.25,148,131,134.25,131,148,900,900.0,900,900,136,136.0,136,136,136,37
1744937570,526.875,535,522,526.875,522,535,900,900.0,900,900,142,142.0,142,142,142,37
1744937571,131.875,133,131,131.875,131,133,900,900.0,900,900,136,136.0,136,136,136,38
1744937572,153.25,168,145,153.25,145,168,1040,1040.0,1040,1040,149,149.0,149,149,149,38
1744937574,2089.25,2097,2085,2089.25,2085,2097,1300,1300.0,1300,1300,393,393.0,393,393,393,39
1744937575,2089.5,2097,2085,2089.5,2085,2097,1300,1300.0,1300,1300,394,394.0,394,394,394,40
1744937576,2089.75,2097,2085,2089.75,2085,2097,1300,1300.0,1300,1300,395,395.0,395,395,395,42
1744937577,2090.125,2097,2086,2090.125,2086,2097,1300,1300.0,1300,1300,395,395.0,395,395,395,42
1744937579,2089.875,2097,2086,2089.875,2086,2097,1300,1300.0,1300,1300,397,397.0,397,397,397,43
1744937580,2089.5,2096,2085,2089.5,2085,2096,1300,1300.0,1300,1300,396,396.0,396,396,396,43
1744937581,2089.625,2096,2085,2089.625,2085,2096,1300,1300.0,1300,1300,396,396.0,396,396,396,44
1744937582,2089.875,2098,2086,2089.875,2086,2098,1300,1300.0,1300,1300,397,397.0,397,397,397,44
1744937584,2089.875,2098,2085,2089.875,2085,2098,1300,1300.0,1300,1300,395,395.0,395,395,395,44
1744937585,2090.0,2098,2086,2090.0,2086,2098,1300,1300.0,1300,1300,396,396.0,396,396,396,44
1744937586,2089.625,2098,2085,2089.625,2085,2098,1300,1300.0,1300,1300,396,396.0,396,396,396,45
1744937587,2089.5,2098,2085,2089.5,2085,2098,1300,1300.0,1300,1300,398,398.0,398,398,398,45
1744937589,2089.625,2098,2085,2089.625,2085,2098,1300,1300.0,1300,1300,399,399.0,399,399,399,46
1744937590,2089.5,2098,2085,2089.5,2085,2098,1300,1300.0,1300,1300,401,401.0,401,401,401,46
1744937591,2089.5,2098,2084,2089.5,2084,2098,1300,1300.0,1300,1300,400,400.0,400,400,400,46
1744937592,2089.75,2098,2085,2089.75,2085,2098,1300,1300.0,1300,1300,399,399.0,399,399,399,46
1744937594,2089.5,2097,2085,2089.5,2085,2097,1300,1300.0,1300,1300,400,400.0,400,400,400,47
1744937595,131.875,133,131,131.875,131,133,900,900.0,900,900,139,139.0,139,139,139,44
1744937596,132.0,135,131,132.0,131,135,900,900.0,900,900,138,138.0,138,138,138,42
1744937597,131.75,133,131,131.75,131,133,900,900.0,900,900,137,137.0,137,137,137,41
1744937599,131.75,133,131,131.75,131,133,900,900.0,900,900,138,138.0,138,138,138,41
1744937600,131.625,132,131,131.625,131,132,900,900.0,900,900,137,137.0,137,137,137,41
1744937601,131.625,132,131,131.625,131,132,900,900.0,900,900,137,137.0,137,137,137,41
1744937603,131.625,132,131,131.625,131,132,900,900.0,900,900,137,137.0,137,137,137,40
1744937604,131.625,132,131,131.625,131,132,900,900.0,900,900,137,137.0,137,137,137,40
