Timestamp,gpu0_sclk_avg,gpu0_sclk_max,gpu0_sclk_min,all_gpu_sclk_avg,all_gpu_sclk_min,all_gpu_sclk_max,gpu0_mclk,all_gpu_mclk_avg,all_gpu_mclk_min,all_gpu_mclk_max,gpu0_power,all_gpu_power_avg,all_gpu_power_min,all_gpu_power_max,all_gpu_power_total,gpu0_temp
1744577284,133.0,143,131,133.0,131,143,900,900.0,900,900,121,121.0,121,121,121,43
1744577286,131.875,134,131,131.875,131,134,900,900.0,900,900,120,120.0,120,120,120,43
1744577287,131.75,133,131,131.75,131,133,900,900.0,900,900,120,120.0,120,120,120,43
1744577288,131.625,132,131,131.625,131,132,900,900.0,900,900,120,120.0,120,120,120,43
1744577289,131.625,132,131,131.625,131,132,900,900.0,900,900,120,120.0,120,120,120,43
1744577290,131.625,132,131,131.625,131,132,900,900.0,900,900,121,121.0,121,121,121,43
1744577291,131.625,132,131,131.625,131,132,900,900.0,900,900,120,120.0,120,120,120,43
1744577293,131.625,132,131,131.625,131,132,900,900.0,900,900,120,120.0,120,120,120,43
1744577294,131.625,132,131,131.625,131,132,900,900.0,900,900,120,120.0,120,120,120,43
1744577295,131.625,132,131,131.625,131,132,900,900.0,900,900,120,120.0,120,120,120,43
1744577296,724.5,732,717,724.5,717,732,1042,1042.0,1042,1042,319,319.0,319,319,319,43
1744577297,2062.75,2078,2042,2062.75,2042,2078,1500,1500.0,1500,1500,890,890.0,890,890,890,52
1744577298,2062.625,2078,2041,2062.625,2041,2078,1500,1500.0,1500,1500,892,892.0,892,892,892,56
1744577300,2063.375,2078,2041,2063.375,2041,2078,1500,1500.0,1500,1500,894,894.0,894,894,894,58
1744577301,2063.5,2078,2041,2063.5,2041,2078,1500,1500.0,1500,1500,897,897.0,897,897,897,59
1744577302,2062.875,2079,2041,2062.875,2041,2079,1500,1500.0,1500,1500,898,898.0,898,898,898,60
1744577303,2062.875,2079,2041,2062.875,2041,2079,1500,1500.0,1500,1500,899,899.0,899,899,899,60
1744577304,2062.625,2079,2041,2062.625,2041,2079,1500,1500.0,1500,1500,900,900.0,900,900,900,61
1744577306,2060.75,2077,2039,2060.75,2039,2077,1500,1500.0,1500,1500,905,905.0,905,905,905,62
1744577307,2062.75,2079,2041,2062.75,2041,2079,1500,1500.0,1500,1500,903,903.0,903,903,903,63
1744577308,2062.5,2079,2041,2062.5,2041,2079,1500,1500.0,1500,1500,906,906.0,906,906,906,64
1744577309,2062.625,2079,2041,2062.625,2041,2079,1500,1500.0,1500,1500,903,903.0,903,903,903,64
1744577310,2062.375,2078,2041,2062.375,2041,2078,1500,1500.0,1500,1500,909,909.0,909,909,909,65
1744577311,2061.625,2077,2041,2061.625,2041,2077,1500,1500.0,1500,1500,907,907.0,907,907,907,66
1744577313,2061.625,2077,2040,2061.625,2040,2077,1500,1500.0,1500,1500,908,908.0,908,908,908,66
1744577314,2061.75,2077,2041,2061.75,2041,2077,1500,1500.0,1500,1500,910,910.0,910,910,910,67
1744577315,2061.5,2077,2040,2061.5,2040,2077,1500,1500.0,1500,1500,910,910.0,910,910,910,67
1744577316,2061.375,2076,2041,2061.375,2041,2076,1500,1500.0,1500,1500,912,912.0,912,912,912,68
1744577317,2061.25,2076,2040,2061.25,2040,2076,1500,1500.0,1500,1500,915,915.0,915,915,915,68
1744577318,2061.125,2076,2039,2061.125,2039,2076,1500,1500.0,1500,1500,917,917.0,917,917,917,68
1744577320,2061.375,2077,2040,2061.375,2040,2077,1500,1500.0,1500,1500,917,917.0,917,917,917,69
1744577321,2061.125,2076,2039,2061.125,2039,2076,1500,1500.0,1500,1500,917,917.0,917,917,917,69
1744577322,2061.25,2076,2039,2061.25,2039,2076,1500,1500.0,1500,1500,917,917.0,917,917,917,70
1744577323,2061.125,2077,2040,2061.125,2040,2077,1500,1500.0,1500,1500,916,916.0,916,916,916,70
1744577324,2061.25,2077,2040,2061.25,2040,2077,1500,1500.0,1500,1500,919,919.0,919,919,919,70
1744577326,2061.0,2077,2040,2061.0,2040,2077,1500,1500.0,1500,1500,921,921.0,921,921,921,71
1744577327,2060.5,2077,2039,2060.5,2039,2077,1500,1500.0,1500,1500,922,922.0,922,922,922,71
1744577328,2061.0,2077,2039,2061.0,2039,2077,1500,1500.0,1500,1500,922,922.0,922,922,922,71
1744577329,2061.25,2077,2040,2061.25,2040,2077,1500,1500.0,1500,1500,920,920.0,920,920,920,72
1744577330,2060.625,2076,2039,2060.625,2039,2076,1500,1500.0,1500,1500,924,924.0,924,924,924,72
1744577331,2059.5,2075,2037,2059.5,2037,2075,1500,1500.0,1500,1500,924,924.0,924,924,924,72
1744577333,2060.5,2077,2038,2060.5,2038,2077,1500,1500.0,1500,1500,925,925.0,925,925,925,72
1744577334,2060.25,2077,2038,2060.25,2038,2077,1500,1500.0,1500,1500,925,925.0,925,925,925,73
1744577335,2060.5,2077,2039,2060.5,2039,2077,1500,1500.0,1500,1500,927,927.0,927,927,927,73
1744577336,2060.125,2076,2038,2060.125,2038,2076,1500,1500.0,1500,1500,928,928.0,928,928,928,73
1744577337,2060.25,2076,2038,2060.25,2038,2076,1500,1500.0,1500,1500,930,930.0,930,930,930,74
1744577338,2060.875,2077,2038,2060.875,2038,2077,1500,1500.0,1500,1500,928,928.0,928,928,928,74
1744577340,2060.25,2076,2038,2060.25,2038,2076,1500,1500.0,1500,1500,931,931.0,931,931,931,74
1744577341,2060.0,2076,2038,2060.0,2038,2076,1500,1500.0,1500,1500,931,931.0,931,931,931,74
1744577342,2059.875,2076,2037,2059.875,2037,2076,1500,1500.0,1500,1500,934,934.0,934,934,934,75
1744577343,2059.625,2075,2038,2059.625,2038,2075,1500,1500.0,1500,1500,933,933.0,933,933,933,75
1744577344,2059.875,2076,2037,2059.875,2037,2076,1500,1500.0,1500,1500,933,933.0,933,933,933,75
1744577346,2059.875,2076,2038,2059.875,2038,2076,1500,1500.0,1500,1500,936,936.0,936,936,936,75
1744577347,2060.0,2077,2038,2060.0,2038,2077,1500,1500.0,1500,1500,931,931.0,931,931,931,76
1744577348,2060.0,2076,2037,2060.0,2037,2076,1500,1500.0,1500,1500,936,936.0,936,936,936,76
1744577349,2059.875,2076,2037,2059.875,2037,2076,1500,1500.0,1500,1500,938,938.0,938,938,938,76
1744577350,2059.5,2076,2037,2059.5,2037,2076,1500,1500.0,1500,1500,937,937.0,937,937,937,76
1744577351,2059.625,2076,2037,2059.625,2037,2076,1500,1500.0,1500,1500,938,938.0,938,938,938,77
1744577353,2059.0,2075,2036,2059.0,2036,2075,1500,1500.0,1500,1500,940,940.0,940,940,940,77
1744577354,2059.375,2075,2036,2059.375,2036,2075,1500,1500.0,1500,1500,938,938.0,938,938,938,77
1744577355,2059.5,2076,2037,2059.5,2037,2076,1500,1500.0,1500,1500,940,940.0,940,940,940,77
1744577356,2059.125,2075,2037,2059.125,2037,2075,1500,1500.0,1500,1500,941,941.0,941,941,941,77
1744577357,2059.125,2075,2036,2059.125,2036,2075,1500,1500.0,1500,1500,941,941.0,941,941,941,77
1744577358,2058.625,2076,2036,2058.625,2036,2076,1500,1500.0,1500,1500,940,940.0,940,940,940,77
1744577360,2059.375,2076,2036,2059.375,2036,2076,1500,1500.0,1500,1500,941,941.0,941,941,941,77
1744577361,2058.75,2074,2036,2058.75,2036,2074,1500,1500.0,1500,1500,939,939.0,939,939,939,77
1744577362,2059.5,2076,2037,2059.5,2037,2076,1500,1500.0,1500,1500,934,934.0,934,934,934,77
1744577363,2059.75,2075,2037,2059.75,2037,2075,1500,1500.0,1500,1500,935,935.0,935,935,935,77
1744577364,2060.0,2076,2037,2060.0,2037,2076,1500,1500.0,1500,1500,935,935.0,935,935,935,77
1744577366,2059.25,2075,2037,2059.25,2037,2075,1500,1500.0,1500,1500,935,935.0,935,935,935,76
1744577367,2059.5,2075,2037,2059.5,2037,2075,1500,1500.0,1500,1500,935,935.0,935,935,935,76
1744577368,2059.875,2076,2037,2059.875,2037,2076,1500,1500.0,1500,1500,934,934.0,934,934,934,76
1744577369,2059.75,2075,2036,2059.75,2036,2075,1500,1500.0,1500,1500,932,932.0,932,932,932,76
1744577370,2060.0,2075,2037,2060.0,2037,2075,1500,1500.0,1500,1500,933,933.0,933,933,933,76
1744577371,2059.875,2076,2037,2059.875,2037,2076,1500,1500.0,1500,1500,930,930.0,930,930,930,76
1744577373,2058.625,2073,2036,2058.625,2036,2073,1500,1500.0,1500,1500,934,934.0,934,934,934,76
1744577374,131.875,134,131,131.875,131,134,900,900.0,900,900,143,143.0,143,143,143,67
1744577375,132.5,139,131,132.5,131,139,900,900.0,900,900,140,140.0,140,140,140,62
1744577376,131.75,133,131,131.75,131,133,900,900.0,900,900,138,138.0,138,138,138,60
1744577377,131.75,133,131,131.75,131,133,900,900.0,900,900,137,137.0,137,137,137,59
1744577379,131.625,132,131,131.625,131,132,900,900.0,900,900,135,135.0,135,135,135,58
1744577380,131.625,132,131,131.625,131,132,900,900.0,900,900,135,135.0,135,135,135,57
1744577381,131.625,132,131,131.625,131,132,900,900.0,900,900,133,133.0,133,133,133,56
1744577382,131.625,132,131,131.625,131,132,900,900.0,900,900,134,134.0,134,134,134,56
