Timestamp,GPU
1744620829,2382162981
1744620830,2382162981
1744620831,2382162981
1744620832,2382162981
1744620833,2382162981
1744620834,2382162981
1744620835,2382162981
1744620836,2382162981
1744620837,2382162981
1744620838,2382162981
1744620840,2382162981
1744620841,2382162984
1744620842,2382162991
1744620843,2382162999
1744620844,2382163006
1744620845,2382163013
1744620846,2382163021
1744620847,2382163028
1744620848,2382163036
1744620849,2382163043
1744620850,2382163050
1744620852,2382163058
1744620853,2382163065
1744620854,2382163073
1744620855,2382163080
1744620856,2382163087
1744620857,2382163095
1744620858,2382163102
1744620859,2382163110
1744620860,2382163117
1744620861,2382163124
1744620863,2382163133
1744620864,2382163133
1744620865,2382163133
1744620866,2382163133
1744620867,2382163133
1744620868,2382163133
1744620869,2382163133
1744620870,2382163133
1744620871,2382163133
