Timestamp,gpu0_sclk_avg,gpu0_sclk_max,gpu0_sclk_min,all_gpu_sclk_avg,all_gpu_sclk_min,all_gpu_sclk_max,gpu0_mclk,all_gpu_mclk_avg,all_gpu_mclk_min,all_gpu_mclk_max,gpu0_power,all_gpu_power_avg,all_gpu_power_min,all_gpu_power_max,all_gpu_power_total,gpu0_temp
1744606985,133.0,143,131,133.0,131,143,900,900.0,900,900,119,119.0,119,119,119,42
1744606986,131.875,134,131,131.875,131,134,900,900.0,900,900,119,119.0,119,119,119,42
1744606987,131.75,133,131,131.75,131,133,900,900.0,900,900,119,119.0,119,119,119,42
1744606989,131.625,132,131,131.625,131,132,900,900.0,900,900,118,118.0,118,118,118,42
1744606990,132.375,135,131,132.375,131,135,900,900.0,900,900,119,119.0,119,119,119,42
1744606991,132.375,135,131,132.375,131,135,900,900.0,900,900,119,119.0,119,119,119,42
1744606992,131.875,133,131,131.875,131,133,900,900.0,900,900,119,119.0,119,119,119,42
1744606993,132.375,135,131,132.375,131,135,900,900.0,900,900,119,119.0,119,119,119,42
1744606994,132.125,134,131,132.125,131,134,900,900.0,900,900,119,119.0,119,119,119,42
1744606996,131.625,132,131,131.625,131,132,900,900.0,900,900,119,119.0,119,119,119,42
1744606997,1981.75,1989,1969,1981.75,1969,1989,1476,1476.0,1476,1476,662,662.0,662,662,662,43
1744606998,1991.25,1998,1980,1991.25,1980,1998,1500,1500.0,1500,1500,689,689.0,689,689,689,50
1744606999,2003.5,2010,1992,2003.5,1992,2010,1500,1500.0,1500,1500,694,694.0,694,694,694,53
1744607000,1999.125,2005,1988,1999.125,1988,2005,1500,1500.0,1500,1500,692,692.0,692,692,692,55
1744607002,2000.125,2006,1988,2000.125,1988,2006,1500,1500.0,1500,1500,695,695.0,695,695,695,55
1744607003,1999.125,2006,1987,1999.125,1987,2006,1500,1500.0,1500,1500,696,696.0,696,696,696,56
1744607004,1999.0,2005,1988,1999.0,1988,2005,1500,1500.0,1500,1500,691,691.0,691,691,691,56
1744607005,1981.25,1987,1970,1981.25,1970,1987,1500,1500.0,1500,1500,695,695.0,695,695,695,57
1744607006,1986.375,1992,1974,1986.375,1974,1992,1500,1500.0,1500,1500,695,695.0,695,695,695,57
1744607007,1989.625,1996,1977,1989.625,1977,1996,1500,1500.0,1500,1500,694,694.0,694,694,694,58
1744607009,1991.5,1998,1980,1991.5,1980,1998,1500,1500.0,1500,1500,704,704.0,704,704,704,58
1744607010,1982.625,1989,1970,1982.625,1970,1989,1500,1500.0,1500,1500,703,703.0,703,703,703,59
1744607011,1994.75,2001,1983,1994.75,1983,2001,1500,1500.0,1500,1500,696,696.0,696,696,696,59
1744607012,1987.625,1994,1975,1987.625,1975,1994,1500,1500.0,1500,1500,701,701.0,701,701,701,60
1744607013,1977.625,1984,1966,1977.625,1966,1984,1500,1500.0,1500,1500,694,694.0,694,694,694,60
1744607014,1984.875,1992,1973,1984.875,1973,1992,1500,1500.0,1500,1500,699,699.0,699,699,699,60
1744607016,1986.25,1993,1974,1986.25,1974,1993,1500,1500.0,1500,1500,698,698.0,698,698,698,61
1744607017,1992.75,1999,1981,1992.75,1981,1999,1500,1500.0,1500,1500,700,700.0,700,700,700,61
1744607018,1976.375,1982,1965,1976.375,1965,1982,1500,1500.0,1500,1500,704,704.0,704,704,704,61
1744607019,1988.125,1994,1976,1988.125,1976,1994,1500,1500.0,1500,1500,701,701.0,701,701,701,61
1744607020,1979.25,1986,1968,1979.25,1968,1986,1500,1500.0,1500,1500,697,697.0,697,697,697,61
1744607022,1977.375,1984,1965,1977.375,1965,1984,1500,1500.0,1500,1500,700,700.0,700,700,700,62
1744607023,1978.5,1984,1967,1978.5,1967,1984,1500,1500.0,1500,1500,698,698.0,698,698,698,62
1744607024,1979.5,1986,1967,1979.5,1967,1986,1500,1500.0,1500,1500,706,706.0,706,706,706,62
1744607025,1978.875,1985,1967,1978.875,1967,1985,1500,1500.0,1500,1500,705,705.0,705,705,705,62
1744607026,1978.625,1985,1967,1978.625,1967,1985,1500,1500.0,1500,1500,699,699.0,699,699,699,62
1744607027,1978.5,1984,1967,1978.5,1967,1984,1500,1500.0,1500,1500,698,698.0,698,698,698,62
1744607029,1973.125,1979,1962,1973.125,1962,1979,1500,1500.0,1500,1500,702,702.0,702,702,702,62
1744607030,1972.375,1979,1960,1972.375,1960,1979,1500,1500.0,1500,1500,698,698.0,698,698,698,62
1744607031,1969.125,1976,1957,1969.125,1957,1976,1500,1500.0,1500,1500,697,697.0,697,697,697,62
1744607032,1981.5,1988,1969,1981.5,1969,1988,1500,1500.0,1500,1500,702,702.0,702,702,702,63
1744607033,1979.125,1986,1966,1979.125,1966,1986,1500,1500.0,1500,1500,703,703.0,703,703,703,63
1744607034,1966.625,1973,1953,1966.625,1953,1973,1500,1500.0,1500,1500,701,701.0,701,701,701,63
1744607036,1973.25,1980,1961,1973.25,1961,1980,1500,1500.0,1500,1500,696,696.0,696,696,696,63
1744607037,1973.25,1980,1960,1973.25,1960,1980,1500,1500.0,1500,1500,703,703.0,703,703,703,63
1744607038,1976.375,1983,1963,1976.375,1963,1983,1500,1500.0,1500,1500,703,703.0,703,703,703,63
1744607039,1985.125,1992,1972,1985.125,1972,1992,1500,1500.0,1500,1500,698,698.0,698,698,698,63
1744607040,1966.625,1973,1954,1966.625,1954,1973,1500,1500.0,1500,1500,703,703.0,703,703,703,63
1744607042,1979.75,1986,1967,1979.75,1967,1986,1500,1500.0,1500,1500,703,703.0,703,703,703,63
1744607043,1980.0,1986,1967,1980.0,1967,1986,1500,1500.0,1500,1500,703,703.0,703,703,703,63
1744607044,1980.25,1986,1968,1980.25,1968,1986,1500,1500.0,1500,1500,700,700.0,700,700,700,63
1744607045,1976.125,1982,1964,1976.125,1964,1982,1500,1500.0,1500,1500,701,701.0,701,701,701,63
1744607046,1982.625,1990,1970,1982.625,1970,1990,1500,1500.0,1500,1500,699,699.0,699,699,699,63
1744607047,1986.25,1993,1973,1986.25,1973,1993,1500,1500.0,1500,1500,704,704.0,704,704,704,63
1744607049,1977.875,1984,1965,1977.875,1965,1984,1500,1500.0,1500,1500,698,698.0,698,698,698,63
1744607050,1978.0,1984,1964,1978.0,1964,1984,1500,1500.0,1500,1500,702,702.0,702,702,702,63
1744607051,1974.375,1980,1961,1974.375,1961,1980,1500,1500.0,1500,1500,694,694.0,694,694,694,63
1744607052,1981.25,1987,1969,1981.25,1969,1987,1500,1500.0,1500,1500,699,699.0,699,699,699,63
1744607053,1976.75,1983,1964,1976.75,1964,1983,1500,1500.0,1500,1500,699,699.0,699,699,699,63
1744607054,1975.625,1982,1963,1975.625,1963,1982,1500,1500.0,1500,1500,706,706.0,706,706,706,63
1744607056,1974.125,1981,1961,1974.125,1961,1981,1500,1500.0,1500,1500,697,697.0,697,697,697,63
1744607057,1969.75,1976,1957,1969.75,1957,1976,1500,1500.0,1500,1500,700,700.0,700,700,700,63
1744607058,1985.0,1991,1972,1985.0,1972,1991,1500,1500.0,1500,1500,699,699.0,699,699,699,63
1744607059,1982.0,1989,1969,1982.0,1969,1989,1500,1500.0,1500,1500,700,700.0,700,700,700,63
1744607060,1979.625,1986,1967,1979.625,1967,1986,1500,1500.0,1500,1500,697,697.0,697,697,697,63
1744607062,1974.25,1981,1961,1974.25,1961,1981,1500,1500.0,1500,1500,703,703.0,703,703,703,63
1744607063,1979.875,1987,1966,1979.875,1966,1987,1500,1500.0,1500,1500,701,701.0,701,701,701,63
1744607064,1964.375,1971,1950,1964.375,1950,1971,1500,1500.0,1500,1500,701,701.0,701,701,701,63
1744607065,1977.625,1984,1965,1977.625,1965,1984,1500,1500.0,1500,1500,695,695.0,695,695,695,63
1744607066,1971.25,1978,1957,1971.25,1957,1978,1500,1500.0,1500,1500,701,701.0,701,701,701,63
1744607067,1969.625,1977,1956,1969.625,1956,1977,1500,1500.0,1500,1500,703,703.0,703,703,703,64
1744607069,1972.625,1980,1959,1972.625,1959,1980,1500,1500.0,1500,1500,701,701.0,701,701,701,64
1744607070,1967.25,1974,1954,1967.25,1954,1974,1500,1500.0,1500,1500,707,707.0,707,707,707,64
1744607071,1976.125,1983,1963,1976.125,1963,1983,1500,1500.0,1500,1500,705,705.0,705,705,705,64
1744607072,1974.75,1981,1962,1974.75,1962,1981,1500,1500.0,1500,1500,701,701.0,701,701,701,64
1744607073,1969.75,1976,1956,1969.75,1956,1976,1500,1500.0,1500,1500,701,701.0,701,701,701,64
1744607074,1969.875,1976,1957,1969.875,1957,1976,1500,1500.0,1500,1500,698,698.0,698,698,698,64
1744607076,1962.625,1969,1950,1962.625,1950,1969,1500,1500.0,1500,1500,704,704.0,704,704,704,64
1744607077,1970.0,1977,1957,1970.0,1957,1977,1500,1500.0,1500,1500,702,702.0,702,702,702,64
1744607078,1969.875,1977,1957,1969.875,1957,1977,1500,1500.0,1500,1500,698,698.0,698,698,698,64
1744607079,1970.375,1977,1958,1970.375,1958,1977,1500,1500.0,1500,1500,703,703.0,703,703,703,65
1744607080,1977.5,1984,1965,1977.5,1965,1984,1500,1500.0,1500,1500,701,701.0,701,701,701,65
1744607082,1961.375,1968,1949,1961.375,1949,1968,1500,1500.0,1500,1500,705,705.0,705,705,705,65
1744607083,1967.25,1974,1954,1967.25,1954,1974,1500,1500.0,1500,1500,705,705.0,705,705,705,65
