Timestamp,gpu0_sclk_avg,gpu0_sclk_max,gpu0_sclk_min,all_gpu_sclk_avg,all_gpu_sclk_min,all_gpu_sclk_max,gpu0_mclk,all_gpu_mclk_avg,all_gpu_mclk_min,all_gpu_mclk_max,gpu0_power,all_gpu_power_avg,all_gpu_power_min,all_gpu_power_max,all_gpu_power_total,gpu0_temp
1744618208,134.5,155,131,134.5,131,155,900,900.0,900,900,119,119.0,119,119,119,43
1744618209,131.875,134,131,131.875,131,134,900,900.0,900,900,120,120.0,120,120,120,43
1744618210,131.75,133,131,131.75,131,133,900,900.0,900,900,120,120.0,120,120,120,43
1744618212,131.625,132,131,131.625,131,132,900,900.0,900,900,120,120.0,120,120,120,43
1744618213,131.625,132,131,131.625,131,132,900,900.0,900,900,121,121.0,121,121,121,43
1744618214,131.625,132,131,131.625,131,132,900,900.0,900,900,120,120.0,120,120,120,43
1744618215,131.625,132,131,131.625,131,132,900,900.0,900,900,120,120.0,120,120,120,43
1744618216,131.625,132,131,131.625,131,132,900,900.0,900,900,120,120.0,120,120,120,43
1744618217,131.625,132,131,131.625,131,132,900,900.0,900,900,120,120.0,120,120,120,43
1744618219,131.625,132,131,131.625,131,132,900,900.0,900,900,120,120.0,120,120,120,43
1744618220,2025.875,2034,2010,2025.875,2010,2034,1462,1462.0,1462,1462,478,478.0,478,478,478,44
1744618221,2076.5,2085,2059,2076.5,2059,2085,1500,1500.0,1500,1500,503,503.0,503,503,503,49
1744618222,2076.625,2085,2060,2076.625,2060,2085,1500,1500.0,1500,1500,506,506.0,506,506,506,52
1744618223,2076.625,2086,2059,2076.625,2059,2086,1500,1500.0,1500,1500,504,504.0,504,504,504,52
1744618225,2076.5,2086,2060,2076.5,2060,2086,1500,1500.0,1500,1500,506,506.0,506,506,506,53
1744618226,2076.625,2086,2060,2076.625,2060,2086,1500,1500.0,1500,1500,503,503.0,503,503,503,53
1744618227,2076.75,2086,2059,2076.75,2059,2086,1500,1500.0,1500,1500,506,506.0,506,506,506,54
1744618228,2076.75,2086,2060,2076.75,2060,2086,1500,1500.0,1500,1500,505,505.0,505,505,505,54
1744618229,2076.75,2087,2059,2076.75,2059,2087,1500,1500.0,1500,1500,506,506.0,506,506,506,54
1744618230,2076.625,2086,2060,2076.625,2060,2086,1500,1500.0,1500,1500,508,508.0,508,508,508,54
1744618232,2076.5,2086,2059,2076.5,2059,2086,1500,1500.0,1500,1500,506,506.0,506,506,506,55
1744618233,2076.875,2086,2060,2076.875,2060,2086,1500,1500.0,1500,1500,507,507.0,507,507,507,55
1744618234,2076.625,2086,2060,2076.625,2060,2086,1500,1500.0,1500,1500,507,507.0,507,507,507,55
1744618235,2077.0,2087,2060,2077.0,2060,2087,1500,1500.0,1500,1500,510,510.0,510,510,510,55
1744618236,2076.875,2086,2060,2076.875,2060,2086,1500,1500.0,1500,1500,511,511.0,511,511,511,56
1744618238,2076.625,2086,2060,2076.625,2060,2086,1500,1500.0,1500,1500,509,509.0,509,509,509,56
1744618239,2076.75,2087,2060,2076.75,2060,2087,1500,1500.0,1500,1500,511,511.0,511,511,511,56
1744618240,2076.875,2086,2060,2076.875,2060,2086,1500,1500.0,1500,1500,511,511.0,511,511,511,56
1744618241,2076.875,2086,2060,2076.875,2060,2086,1500,1500.0,1500,1500,511,511.0,511,511,511,56
1744618242,2076.875,2086,2060,2076.875,2060,2086,1500,1500.0,1500,1500,512,512.0,512,512,512,56
1744618243,2077.0,2086,2060,2077.0,2060,2086,1500,1500.0,1500,1500,510,510.0,510,510,510,56
1744618245,2077.0,2087,2060,2077.0,2060,2087,1500,1500.0,1500,1500,511,511.0,511,511,511,57
1744618246,2076.875,2086,2060,2076.875,2060,2086,1500,1500.0,1500,1500,512,512.0,512,512,512,57
1744618247,2077.0,2086,2060,2077.0,2060,2086,1500,1500.0,1500,1500,512,512.0,512,512,512,57
1744618248,2076.875,2086,2060,2076.875,2060,2086,1500,1500.0,1500,1500,512,512.0,512,512,512,57
1744618249,2076.75,2086,2060,2076.75,2060,2086,1500,1500.0,1500,1500,512,512.0,512,512,512,57
1744618250,2076.875,2086,2060,2076.875,2060,2086,1500,1500.0,1500,1500,510,510.0,510,510,510,57
1744618252,2076.875,2086,2060,2076.875,2060,2086,1500,1500.0,1500,1500,513,513.0,513,513,513,57
1744618253,2076.5,2086,2059,2076.5,2059,2086,1500,1500.0,1500,1500,513,513.0,513,513,513,57
1744618254,2076.5,2086,2059,2076.5,2059,2086,1500,1500.0,1500,1500,511,511.0,511,511,511,57
1744618255,2076.625,2087,2059,2076.625,2059,2087,1500,1500.0,1500,1500,513,513.0,513,513,513,57
1744618256,2076.75,2086,2060,2076.75,2060,2086,1500,1500.0,1500,1500,511,511.0,511,511,511,57
1744618258,2076.625,2086,2060,2076.625,2060,2086,1500,1500.0,1500,1500,512,512.0,512,512,512,57
1744618259,2076.25,2085,2059,2076.25,2059,2085,1500,1500.0,1500,1500,514,514.0,514,514,514,58
1744618260,2076.375,2086,2059,2076.375,2059,2086,1500,1500.0,1500,1500,515,515.0,515,515,515,58
1744618261,2076.625,2086,2060,2076.625,2060,2086,1500,1500.0,1500,1500,515,515.0,515,515,515,58
1744618262,2076.625,2086,2060,2076.625,2060,2086,1500,1500.0,1500,1500,514,514.0,514,514,514,58
1744618263,2076.875,2086,2059,2076.875,2059,2086,1500,1500.0,1500,1500,513,513.0,513,513,513,58
1744618265,2076.5,2086,2059,2076.5,2059,2086,1500,1500.0,1500,1500,514,514.0,514,514,514,58
1744618266,2076.375,2086,2059,2076.375,2059,2086,1500,1500.0,1500,1500,515,515.0,515,515,515,58
1744618267,2076.75,2087,2060,2076.75,2060,2087,1500,1500.0,1500,1500,514,514.0,514,514,514,58
1744618268,2076.5,2086,2059,2076.5,2059,2086,1500,1500.0,1500,1500,514,514.0,514,514,514,58
1744618269,2076.75,2086,2059,2076.75,2059,2086,1500,1500.0,1500,1500,514,514.0,514,514,514,58
1744618271,2076.375,2085,2059,2076.375,2059,2085,1500,1500.0,1500,1500,514,514.0,514,514,514,58
1744618272,2076.625,2086,2059,2076.625,2059,2086,1500,1500.0,1500,1500,514,514.0,514,514,514,59
1744618273,2076.625,2087,2059,2076.625,2059,2087,1500,1500.0,1500,1500,516,516.0,516,516,516,59
1744618274,2076.5,2086,2059,2076.5,2059,2086,1500,1500.0,1500,1500,517,517.0,517,517,517,59
1744618275,2076.75,2087,2059,2076.75,2059,2087,1500,1500.0,1500,1500,516,516.0,516,516,516,59
1744618276,2076.75,2086,2060,2076.75,2060,2086,1500,1500.0,1500,1500,516,516.0,516,516,516,59
1744618278,2077.0,2087,2060,2077.0,2060,2087,1500,1500.0,1500,1500,518,518.0,518,518,518,59
1744618279,2076.625,2086,2060,2076.625,2060,2086,1500,1500.0,1500,1500,517,517.0,517,517,517,59
1744618280,2076.625,2086,2059,2076.625,2059,2086,1500,1500.0,1500,1500,516,516.0,516,516,516,59
1744618281,2076.375,2086,2059,2076.375,2059,2086,1500,1500.0,1500,1500,515,515.0,515,515,515,60
1744618282,2076.5,2086,2059,2076.5,2059,2086,1500,1500.0,1500,1500,519,519.0,519,519,519,60
1744618284,2076.5,2087,2059,2076.5,2059,2087,1500,1500.0,1500,1500,516,516.0,516,516,516,60
1744618285,2076.625,2086,2059,2076.625,2059,2086,1500,1500.0,1500,1500,516,516.0,516,516,516,60
1744618286,2076.5,2086,2059,2076.5,2059,2086,1500,1500.0,1500,1500,517,517.0,517,517,517,60
1744618287,2076.5,2086,2059,2076.5,2059,2086,1500,1500.0,1500,1500,516,516.0,516,516,516,60
1744618288,2076.5,2086,2059,2076.5,2059,2086,1500,1500.0,1500,1500,517,517.0,517,517,517,60
1744618289,2076.625,2086,2059,2076.625,2059,2086,1500,1500.0,1500,1500,518,518.0,518,518,518,60
1744618291,2076.5,2086,2058,2076.5,2058,2086,1500,1500.0,1500,1500,517,517.0,517,517,517,60
1744618292,2076.375,2086,2058,2076.375,2058,2086,1500,1500.0,1500,1500,518,518.0,518,518,518,60
1744618293,2076.25,2086,2058,2076.25,2058,2086,1500,1500.0,1500,1500,518,518.0,518,518,518,60
1744618294,1094.125,1099,1087,1094.125,1087,1099,1500,1500.0,1500,1500,296,296.0,296,296,296,60
1744618295,139.5,178,131,139.5,131,178,900,900.0,900,900,130,130.0,130,130,130,55
1744618297,133.125,144,131,133.125,131,144,900,900.0,900,900,128,128.0,128,128,128,53
1744618298,132.25,137,131,132.25,131,137,900,900.0,900,900,129,129.0,129,129,129,52
1744618299,131.875,134,131,131.875,131,134,900,900.0,900,900,127,127.0,127,127,127,51
1744618300,131.75,133,131,131.75,131,133,900,900.0,900,900,128,128.0,128,128,128,51
1744618301,131.625,132,131,131.625,131,132,900,900.0,900,900,128,128.0,128,128,128,51
1744618302,131.625,132,131,131.625,131,132,900,900.0,900,900,126,126.0,126,126,126,50
1744618304,131.625,132,131,131.625,131,132,900,900.0,900,900,127,127.0,127,127,127,50
