Timestamp,gpu0_sclk_avg,gpu0_sclk_max,gpu0_sclk_min,all_gpu_sclk_avg,all_gpu_sclk_min,all_gpu_sclk_max,gpu0_mclk,all_gpu_mclk_avg,all_gpu_mclk_min,all_gpu_mclk_max,gpu0_power,all_gpu_power_avg,all_gpu_power_min,all_gpu_power_max,all_gpu_power_total,gpu0_temp
1744675263,88.75,96,87,88.75,87,96,900,900.0,900,900,105,105.0,105,105,105,33
1744675264,88.0,90,87,88.0,87,90,900,900.0,900,900,105,105.0,105,105,105,33
1744675265,87.875,89,87,87.875,87,89,900,900.0,900,900,105,105.0,105,105,105,33
1744675266,87.875,89,87,87.875,87,89,900,900.0,900,900,105,105.0,105,105,105,33
1744675268,87.875,89,87,87.875,87,89,900,900.0,900,900,105,105.0,105,105,105,33
1744675269,88.0,89,87,88.0,87,89,900,900.0,900,900,105,105.0,105,105,105,33
1744675270,87.875,89,87,87.875,87,89,900,900.0,900,900,105,105.0,105,105,105,33
1744675271,87.875,89,87,87.875,87,89,900,900.0,900,900,104,104.0,104,104,104,33
1744675272,87.875,89,87,87.875,87,89,900,900.0,900,900,105,105.0,105,105,105,33
1744675273,87.875,89,87,87.875,87,89,900,900.0,900,900,105,105.0,105,105,105,33
1744675275,1340.25,1354,1323,1340.25,1323,1354,1458,1458.0,1458,1458,625,625.0,625,625,625,34
1744675276,1375.75,1391,1358,1375.75,1358,1391,1500,1500.0,1500,1500,663,663.0,663,663,663,40
1744675277,1376.0,1392,1358,1376.0,1358,1392,1500,1500.0,1500,1500,663,663.0,663,663,663,43
1744675278,1376.375,1392,1358,1376.375,1358,1392,1500,1500.0,1500,1500,667,667.0,667,667,667,44
1744675279,1376.25,1391,1359,1376.25,1359,1391,1500,1500.0,1500,1500,666,666.0,666,666,666,45
1744675281,1376.5,1392,1359,1376.5,1359,1392,1500,1500.0,1500,1500,667,667.0,667,667,667,45
1744675282,1376.25,1392,1357,1376.25,1357,1392,1500,1500.0,1500,1500,668,668.0,668,668,668,46
1744675283,1376.25,1392,1357,1376.25,1357,1392,1500,1500.0,1500,1500,668,668.0,668,668,668,46
1744675284,1376.25,1391,1357,1376.25,1357,1391,1500,1500.0,1500,1500,666,666.0,666,666,666,47
1744675285,1376.25,1392,1357,1376.25,1357,1392,1500,1500.0,1500,1500,667,667.0,667,667,667,47
1744675286,1376.375,1392,1356,1376.375,1356,1392,1500,1500.0,1500,1500,667,667.0,667,667,667,47
1744675288,1376.625,1393,1358,1376.625,1358,1393,1500,1500.0,1500,1500,667,667.0,667,667,667,48
1744675289,1376.75,1393,1357,1376.75,1357,1393,1500,1500.0,1500,1500,668,668.0,668,668,668,48
1744675290,1376.75,1392,1357,1376.75,1357,1392,1500,1500.0,1500,1500,669,669.0,669,669,669,48
1744675291,1376.5,1392,1357,1376.5,1357,1392,1500,1500.0,1500,1500,670,670.0,670,670,670,48
1744675292,1376.375,1392,1357,1376.375,1357,1392,1500,1500.0,1500,1500,669,669.0,669,669,669,49
1744675293,1376.625,1392,1357,1376.625,1357,1392,1500,1500.0,1500,1500,670,670.0,670,670,670,49
1744675295,1376.5,1392,1357,1376.5,1357,1392,1500,1500.0,1500,1500,670,670.0,670,670,670,49
1744675296,1376.5,1392,1356,1376.5,1356,1392,1500,1500.0,1500,1500,670,670.0,670,670,670,49
1744675297,1376.5,1392,1356,1376.5,1356,1392,1500,1500.0,1500,1500,670,670.0,670,670,670,49
1744675298,1376.875,1392,1358,1376.875,1358,1392,1500,1500.0,1500,1500,668,668.0,668,668,668,49
1744675299,1376.625,1393,1357,1376.625,1357,1393,1500,1500.0,1500,1500,668,668.0,668,668,668,50
1744675300,1376.5,1393,1357,1376.5,1357,1393,1500,1500.0,1500,1500,670,670.0,670,670,670,50
1744675302,1376.375,1393,1356,1376.375,1356,1393,1500,1500.0,1500,1500,670,670.0,670,670,670,50
1744675303,1376.625,1394,1357,1376.625,1357,1394,1500,1500.0,1500,1500,671,671.0,671,671,671,50
1744675304,1376.375,1392,1356,1376.375,1356,1392,1500,1500.0,1500,1500,670,670.0,670,670,670,50
1744675305,1376.375,1392,1356,1376.375,1356,1392,1500,1500.0,1500,1500,672,672.0,672,672,672,50
1744675306,1376.625,1392,1356,1376.625,1356,1392,1500,1500.0,1500,1500,671,671.0,671,671,671,50
1744675308,1376.75,1392,1357,1376.75,1357,1392,1500,1500.0,1500,1500,669,669.0,669,669,669,50
1744675309,1377.0,1393,1356,1377.0,1356,1393,1500,1500.0,1500,1500,671,671.0,671,671,671,50
1744675310,1376.625,1392,1356,1376.625,1356,1392,1500,1500.0,1500,1500,671,671.0,671,671,671,50
1744675311,1376.875,1392,1357,1376.875,1357,1392,1500,1500.0,1500,1500,671,671.0,671,671,671,50
1744675312,1376.75,1392,1357,1376.75,1357,1392,1500,1500.0,1500,1500,671,671.0,671,671,671,50
