Timestamp,gpu0_sclk_avg,gpu0_sclk_max,gpu0_sclk_min,all_gpu_sclk_avg,all_gpu_sclk_min,all_gpu_sclk_max,gpu0_mclk,all_gpu_mclk_avg,all_gpu_mclk_min,all_gpu_mclk_max,gpu0_power,all_gpu_power_avg,all_gpu_power_min,all_gpu_power_max,all_gpu_power_total,gpu0_temp
1744682377,88.875,96,87,88.875,87,96,900,900.0,900,900,105,105.0,105,105,105,32
1744682379,88.0,90,87,88.0,87,90,900,900.0,900,900,105,105.0,105,105,105,32
1744682380,87.875,89,87,87.875,87,89,900,900.0,900,900,105,105.0,105,105,105,32
1744682381,87.875,89,87,87.875,87,89,900,900.0,900,900,104,104.0,104,104,104,32
1744682382,87.875,89,87,87.875,87,89,900,900.0,900,900,104,104.0,104,104,104,32
1744682383,87.875,89,87,87.875,87,89,900,900.0,900,900,105,105.0,105,105,105,32
1744682384,87.875,89,87,87.875,87,89,900,900.0,900,900,104,104.0,104,104,104,32
1744682386,87.875,89,87,87.875,87,89,900,900.0,900,900,105,105.0,105,105,105,32
1744682387,87.875,89,87,87.875,87,89,900,900.0,900,900,104,104.0,104,104,104,32
1744682388,87.875,89,87,87.875,87,89,900,900.0,900,900,105,105.0,105,105,105,32
1744682389,1377.5,1385,1365,1377.5,1365,1385,1474,1474.0,1474,1474,199,199.0,199,199,199,32
1744682390,1401.5,1408,1388,1401.5,1388,1408,1500,1500.0,1500,1500,203,203.0,203,203,203,33
1744682392,1401.375,1408,1388,1401.375,1388,1408,1500,1500.0,1500,1500,204,204.0,204,204,204,33
1744682393,1401.5,1408,1389,1401.5,1389,1408,1500,1500.0,1500,1500,203,203.0,203,203,203,34
1744682394,1401.375,1409,1389,1401.375,1389,1409,1500,1500.0,1500,1500,203,203.0,203,203,203,34
1744682395,1401.5,1409,1388,1401.5,1388,1409,1500,1500.0,1500,1500,204,204.0,204,204,204,34
1744682396,1401.125,1409,1388,1401.125,1388,1409,1500,1500.0,1500,1500,204,204.0,204,204,204,34
1744682397,1401.25,1409,1389,1401.25,1389,1409,1500,1500.0,1500,1500,204,204.0,204,204,204,34
1744682399,1401.5,1409,1389,1401.5,1389,1409,1500,1500.0,1500,1500,203,203.0,203,203,203,34
1744682400,1401.625,1408,1388,1401.625,1388,1408,1500,1500.0,1500,1500,203,203.0,203,203,203,34
1744682401,1401.5,1409,1389,1401.5,1389,1409,1500,1500.0,1500,1500,203,203.0,203,203,203,34
1744682402,1401.125,1408,1388,1401.125,1388,1408,1500,1500.0,1500,1500,203,203.0,203,203,203,34
1744682403,1401.5,1409,1388,1401.5,1388,1409,1500,1500.0,1500,1500,204,204.0,204,204,204,34
1744682404,1401.25,1408,1388,1401.25,1388,1408,1500,1500.0,1500,1500,204,204.0,204,204,204,34
1744682406,1401.625,1410,1389,1401.625,1389,1410,1500,1500.0,1500,1500,203,203.0,203,203,203,34
1744682407,1401.625,1409,1389,1401.625,1389,1409,1500,1500.0,1500,1500,203,203.0,203,203,203,34
1744682408,1401.75,1409,1389,1401.75,1389,1409,1500,1500.0,1500,1500,203,203.0,203,203,203,34
1744682409,1401.75,1409,1389,1401.75,1389,1409,1500,1500.0,1500,1500,203,203.0,203,203,203,34
1744682410,1401.625,1409,1389,1401.625,1389,1409,1500,1500.0,1500,1500,203,203.0,203,203,203,34
1744682412,1401.625,1409,1389,1401.625,1389,1409,1500,1500.0,1500,1500,203,203.0,203,203,203,34
1744682413,1401.5,1409,1389,1401.5,1389,1409,1500,1500.0,1500,1500,203,203.0,203,203,203,34
1744682414,1401.75,1409,1389,1401.75,1389,1409,1500,1500.0,1500,1500,203,203.0,203,203,203,34
1744682415,1401.375,1409,1388,1401.375,1388,1409,1500,1500.0,1500,1500,203,203.0,203,203,203,34
1744682416,1401.5,1409,1388,1401.5,1388,1409,1500,1500.0,1500,1500,203,203.0,203,203,203,34
1744682417,1401.5,1409,1389,1401.5,1389,1409,1500,1500.0,1500,1500,203,203.0,203,203,203,34
1744682419,1401.75,1409,1389,1401.75,1389,1409,1500,1500.0,1500,1500,204,204.0,204,204,204,35
1744682420,1401.375,1410,1389,1401.375,1389,1410,1500,1500.0,1500,1500,204,204.0,204,204,204,35
1744682421,1401.5,1409,1388,1401.5,1388,1409,1500,1500.0,1500,1500,203,203.0,203,203,203,34
1744682422,1401.5,1409,1389,1401.5,1389,1409,1500,1500.0,1500,1500,203,203.0,203,203,203,35
1744682423,1401.25,1409,1388,1401.25,1388,1409,1500,1500.0,1500,1500,204,204.0,204,204,204,35
1744682424,1401.375,1409,1388,1401.375,1388,1409,1500,1500.0,1500,1500,204,204.0,204,204,204,35
1744682426,1401.625,1409,1389,1401.625,1389,1409,1500,1500.0,1500,1500,203,203.0,203,203,203,35
1744682427,1401.25,1409,1388,1401.25,1388,1409,1500,1500.0,1500,1500,204,204.0,204,204,204,35
1744682428,1401.5,1410,1388,1401.5,1388,1410,1500,1500.0,1500,1500,203,203.0,203,203,203,35
1744682429,1401.25,1409,1388,1401.25,1388,1409,1500,1500.0,1500,1500,205,205.0,205,205,205,35
1744682430,1401.375,1409,1388,1401.375,1388,1409,1500,1500.0,1500,1500,204,204.0,204,204,204,35
1744682431,1401.375,1409,1388,1401.375,1388,1409,1500,1500.0,1500,1500,204,204.0,204,204,204,35
1744682433,1401.125,1409,1388,1401.125,1388,1409,1500,1500.0,1500,1500,203,203.0,203,203,203,35
1744682434,1401.25,1410,1388,1401.25,1388,1410,1500,1500.0,1500,1500,204,204.0,204,204,204,35
1744682435,1401.25,1409,1388,1401.25,1388,1409,1500,1500.0,1500,1500,203,203.0,203,203,203,35
1744682436,1401.25,1410,1388,1401.25,1388,1410,1500,1500.0,1500,1500,204,204.0,204,204,204,35
1744682437,1401.0,1409,1388,1401.0,1388,1409,1500,1500.0,1500,1500,203,203.0,203,203,203,35
1744682439,1401.25,1409,1388,1401.25,1388,1409,1500,1500.0,1500,1500,204,204.0,204,204,204,35
1744682440,1401.125,1408,1388,1401.125,1388,1408,1500,1500.0,1500,1500,204,204.0,204,204,204,35
1744682441,1400.875,1408,1388,1400.875,1388,1408,1500,1500.0,1500,1500,204,204.0,204,204,204,35
1744682442,1401.25,1409,1388,1401.25,1388,1409,1500,1500.0,1500,1500,204,204.0,204,204,204,35
1744682443,1401.125,1409,1388,1401.125,1388,1409,1500,1500.0,1500,1500,203,203.0,203,203,203,35
1744682444,1401.0,1409,1388,1401.0,1388,1409,1500,1500.0,1500,1500,203,203.0,203,203,203,35
1744682446,1400.875,1409,1388,1400.875,1388,1409,1500,1500.0,1500,1500,203,203.0,203,203,203,35
1744682447,1401.25,1409,1388,1401.25,1388,1409,1500,1500.0,1500,1500,204,204.0,204,204,204,35
1744682448,1401.0,1409,1388,1401.0,1388,1409,1500,1500.0,1500,1500,203,203.0,203,203,203,35
1744682449,1401.375,1409,1388,1401.375,1388,1409,1500,1500.0,1500,1500,203,203.0,203,203,203,35
1744682450,1401.25,1408,1388,1401.25,1388,1408,1500,1500.0,1500,1500,204,204.0,204,204,204,35
1744682451,1401.5,1409,1388,1401.5,1388,1409,1500,1500.0,1500,1500,204,204.0,204,204,204,35
1744682453,1401.625,1409,1389,1401.625,1389,1409,1500,1500.0,1500,1500,204,204.0,204,204,204,35
1744682454,1401.125,1409,1388,1401.125,1388,1409,1500,1500.0,1500,1500,203,203.0,203,203,203,35
1744682455,1401.25,1409,1388,1401.25,1388,1409,1500,1500.0,1500,1500,203,203.0,203,203,203,35
1744682456,1401.125,1408,1388,1401.125,1388,1408,1500,1500.0,1500,1500,203,203.0,203,203,203,35
1744682457,1401.125,1409,1388,1401.125,1388,1409,1500,1500.0,1500,1500,204,204.0,204,204,204,35
1744682459,1401.25,1408,1388,1401.25,1388,1408,1500,1500.0,1500,1500,204,204.0,204,204,204,35
1744682460,1401.375,1408,1389,1401.375,1389,1408,1500,1500.0,1500,1500,203,203.0,203,203,203,35
