Timestamp,gpu0_sclk_avg,gpu0_sclk_max,gpu0_sclk_min,all_gpu_sclk_avg,all_gpu_sclk_min,all_gpu_sclk_max,gpu0_mclk,all_gpu_mclk_avg,all_gpu_mclk_min,all_gpu_mclk_max,gpu0_power,all_gpu_power_avg,all_gpu_power_min,all_gpu_power_max,all_gpu_power_total,gpu0_temp
1744907281,133.75,149,131,133.75,131,149,900,900.0,900,900,141,141.0,141,141,141,45
1744907283,131.75,133,131,131.75,131,133,900,900.0,900,900,141,141.0,141,141,141,45
1744907284,131.625,132,131,131.625,131,132,900,900.0,900,900,141,141.0,141,141,141,45
1744907285,131.625,132,131,131.625,131,132,900,900.0,900,900,141,141.0,141,141,141,45
1744907287,131.625,132,131,131.625,131,132,900,900.0,900,900,141,141.0,141,141,141,45
1744907288,132.25,137,131,132.25,131,137,900,900.0,900,900,141,141.0,141,141,141,45
1744907289,131.75,133,131,131.75,131,133,900,900.0,900,900,141,141.0,141,141,141,45
1744907290,131.75,133,131,131.75,131,133,900,900.0,900,900,141,141.0,141,141,141,45
1744907292,131.625,132,131,131.625,131,132,900,900.0,900,900,141,141.0,141,141,141,45
1744907293,131.625,132,131,131.625,131,132,900,900.0,900,900,141,141.0,141,141,141,45
1744907294,131.625,132,131,131.625,131,132,900,900.0,900,900,140,140.0,140,140,140,44
1744907295,131.625,132,131,131.625,131,132,900,900.0,900,900,140,140.0,140,140,140,44
1744907297,136.5,171,131,136.5,131,171,900,900.0,900,900,141,141.0,141,141,141,44
1744907298,132.375,138,131,132.375,131,138,900,900.0,900,900,140,140.0,140,140,140,44
1744907299,1886.625,1896,1875,1886.625,1875,1896,1247,1247.0,1247,1247,656,656.0,656,656,656,45
1744907300,1856.375,1867,1843,1856.375,1843,1867,1300,1300.0,1300,1300,720,720.0,720,720,720,52
1744907302,1853.875,1864,1841,1853.875,1841,1864,1300,1300.0,1300,1300,716,716.0,716,716,716,56
1744907303,1844.5,1855,1831,1844.5,1831,1855,1300,1300.0,1300,1300,718,718.0,718,718,718,58
1744907304,1845.75,1857,1832,1845.75,1832,1857,1300,1300.0,1300,1300,723,723.0,723,723,723,60
1744907305,1845.0,1856,1832,1845.0,1832,1856,1300,1300.0,1300,1300,718,718.0,718,718,718,62
1744907307,1847.75,1858,1834,1847.75,1834,1858,1300,1300.0,1300,1300,720,720.0,720,720,720,63
1744907308,1845.75,1857,1832,1845.75,1832,1857,1300,1300.0,1300,1300,724,724.0,724,724,724,64
1744907309,1840.875,1852,1828,1840.875,1828,1852,1300,1300.0,1300,1300,723,723.0,723,723,723,65
1744907311,1843.375,1854,1830,1843.375,1830,1854,1300,1300.0,1300,1300,719,719.0,719,719,719,65
1744907312,1850.0,1860,1838,1850.0,1838,1860,1300,1300.0,1300,1300,723,723.0,723,723,723,66
1744907313,1846.0,1856,1834,1846.0,1834,1856,1300,1300.0,1300,1300,724,724.0,724,724,724,66
1744907314,1840.375,1851,1827,1840.375,1827,1851,1300,1300.0,1300,1300,725,725.0,725,725,725,67
1744907316,1836.625,1848,1823,1836.625,1823,1848,1300,1300.0,1300,1300,725,725.0,725,725,725,67
1744907317,1845.25,1856,1833,1845.25,1833,1856,1300,1300.0,1300,1300,721,721.0,721,721,721,67
1744907318,1849.875,1861,1838,1849.875,1838,1861,1300,1300.0,1300,1300,724,724.0,724,724,724,67
1744907319,1839.0,1850,1827,1839.0,1827,1850,1300,1300.0,1300,1300,726,726.0,726,726,726,67
1744907321,1850.0,1861,1838,1850.0,1838,1861,1300,1300.0,1300,1300,724,724.0,724,724,724,67
1744907322,1835.125,1847,1822,1835.125,1822,1847,1300,1300.0,1300,1300,724,724.0,724,724,724,67
