Timestamp,gpu0_sclk_avg,gpu0_sclk_max,gpu0_sclk_min,all_gpu_sclk_avg,all_gpu_sclk_min,all_gpu_sclk_max,gpu0_mclk,all_gpu_mclk_avg,all_gpu_mclk_min,all_gpu_mclk_max,gpu0_power,all_gpu_power_avg,all_gpu_power_min,all_gpu_power_max,all_gpu_power_total,gpu0_temp
1744914008,132.25,137,131,132.25,131,137,900,900.0,900,900,140,140.0,140,140,140,43
1744914009,131.75,133,131,131.75,131,133,900,900.0,900,900,140,140.0,140,140,140,43
1744914010,131.625,132,131,131.625,131,132,900,900.0,900,900,140,140.0,140,140,140,43
1744914012,131.625,132,131,131.625,131,132,900,900.0,900,900,139,139.0,139,139,139,43
1744914013,131.625,132,131,131.625,131,132,900,900.0,900,900,140,140.0,140,140,140,43
1744914014,132.375,138,131,132.375,131,138,900,900.0,900,900,140,140.0,140,140,140,43
1744914015,131.875,134,131,131.875,131,134,900,900.0,900,900,140,140.0,140,140,140,43
1744914017,131.75,133,131,131.75,131,133,900,900.0,900,900,139,139.0,139,139,139,43
1744914018,131.625,132,131,131.625,131,132,900,900.0,900,900,140,140.0,140,140,140,43
1744914019,131.875,134,131,131.875,131,134,900,900.0,900,900,140,140.0,140,140,140,43
1744914020,131.625,132,131,131.625,131,132,900,900.0,900,900,139,139.0,139,139,139,43
1744914022,131.625,132,131,131.625,131,132,900,900.0,900,900,140,140.0,140,140,140,43
1744914023,131.625,132,131,131.625,131,132,900,900.0,900,900,140,140.0,140,140,140,43
1744914024,132.375,138,131,132.375,131,138,900,900.0,900,900,140,140.0,140,140,140,43
1744914025,1965.625,1977,1953,1965.625,1953,1977,1279,1279.0,1279,1279,721,721.0,721,721,721,45
1744914027,1949.875,1963,1936,1949.875,1936,1963,1300,1300.0,1300,1300,750,750.0,750,750,750,53
1744914028,1945.375,1959,1931,1945.375,1931,1959,1300,1300.0,1300,1300,750,750.0,750,750,750,57
1744914029,1942.75,1957,1929,1942.75,1929,1957,1300,1300.0,1300,1300,750,750.0,750,750,750,60
1744914031,1939.5,1954,1924,1939.5,1924,1954,1300,1300.0,1300,1300,750,750.0,750,750,750,63
1744914032,1937.5,1952,1924,1937.5,1924,1952,1300,1300.0,1300,1300,750,750.0,750,750,750,65
1744914033,1935.875,1951,1921,1935.875,1921,1951,1300,1300.0,1300,1300,750,750.0,750,750,750,66
1744914034,1935.25,1950,1920,1935.25,1920,1950,1300,1300.0,1300,1300,750,750.0,750,750,750,67
1744914036,1931.375,1947,1918,1931.375,1918,1947,1300,1300.0,1300,1300,750,750.0,750,750,750,68
1744914037,1927.875,1943,1914,1927.875,1914,1943,1300,1300.0,1300,1300,750,750.0,750,750,750,68
1744914038,1927.125,1942,1914,1927.125,1914,1942,1300,1300.0,1300,1300,750,750.0,750,750,750,69
1744914039,1925.875,1940,1912,1925.875,1912,1940,1300,1300.0,1300,1300,750,750.0,750,750,750,69
