Timestamp,gpu0_sclk_avg,gpu0_sclk_max,gpu0_sclk_min,all_gpu_sclk_avg,all_gpu_sclk_min,all_gpu_sclk_max,gpu0_mclk,all_gpu_mclk_avg,all_gpu_mclk_min,all_gpu_mclk_max,gpu0_power,all_gpu_power_avg,all_gpu_power_min,all_gpu_power_max,all_gpu_power_total,gpu0_temp
1744916803,132.375,138,131,132.375,131,138,900,900.0,900,900,138,138.0,138,138,138,42
1744916804,131.75,133,131,131.75,131,133,900,900.0,900,900,138,138.0,138,138,138,42
1744916806,131.625,132,131,131.625,131,132,900,900.0,900,900,138,138.0,138,138,138,42
1744916807,131.625,132,131,131.625,131,132,900,900.0,900,900,139,139.0,139,139,139,42
1744916808,131.625,132,131,131.625,131,132,900,900.0,900,900,138,138.0,138,138,138,41
1744916809,132.25,137,131,132.25,131,137,900,900.0,900,900,138,138.0,138,138,138,41
1744916811,131.875,134,131,131.875,131,134,900,900.0,900,900,138,138.0,138,138,138,41
1744916812,131.75,133,131,131.75,131,133,900,900.0,900,900,138,138.0,138,138,138,41
1744916813,131.625,132,131,131.625,131,132,900,900.0,900,900,138,138.0,138,138,138,41
1744916814,131.625,132,131,131.625,131,132,900,900.0,900,900,137,137.0,137,137,137,41
1744916816,131.625,132,131,131.625,131,132,900,900.0,900,900,138,138.0,138,138,138,41
1744916817,131.625,132,131,131.625,131,132,900,900.0,900,900,137,137.0,137,137,137,41
1744916818,131.625,132,131,131.625,131,132,900,900.0,900,900,137,137.0,137,137,137,41
1744916819,132.0,135,131,132.0,131,135,900,900.0,900,900,138,138.0,138,138,138,40
1744916821,132.25,133,132,132.25,132,133,902,902.0,902,902,138,138.0,138,138,138,40
1744916822,131.625,132,131,131.625,131,132,900,900.0,900,900,137,137.0,137,137,137,40
1744916823,131.625,132,131,131.625,131,132,900,900.0,900,900,137,137.0,137,137,137,40
1744916824,131.625,132,131,131.625,131,132,900,900.0,900,900,137,137.0,137,137,137,40
1744916826,131.625,132,131,131.625,131,132,900,900.0,900,900,137,137.0,137,137,137,40
1744916827,131.625,132,131,131.625,131,132,900,900.0,900,900,137,137.0,137,137,137,40
1744916828,133.25,138,131,133.25,131,138,900,900.0,900,900,137,137.0,137,137,137,39
1744916830,135.875,148,131,135.875,131,148,900,900.0,900,900,136,136.0,136,136,136,39
