Timestamp,gpu0_sclk_avg,gpu0_sclk_max,gpu0_sclk_min,all_gpu_sclk_avg,all_gpu_sclk_min,all_gpu_sclk_max,gpu0_mclk,all_gpu_mclk_avg,all_gpu_mclk_min,all_gpu_mclk_max,gpu0_power,all_gpu_power_avg,all_gpu_power_min,all_gpu_power_max,all_gpu_power_total,gpu0_temp
1744921146,133.625,148,131,133.625,131,148,900,900.0,900,900,137,137.0,137,137,137,40
1744921147,131.75,133,131,131.75,131,133,900,900.0,900,900,137,137.0,137,137,137,40
1744921148,131.625,132,131,131.625,131,132,900,900.0,900,900,137,137.0,137,137,137,40
1744921149,131.625,132,131,131.625,131,132,900,900.0,900,900,137,137.0,137,137,137,40
1744921151,131.625,132,131,131.625,131,132,900,900.0,900,900,138,138.0,138,138,138,40
1744921152,132.125,136,131,132.125,131,136,900,900.0,900,900,138,138.0,138,138,138,40
1744921153,131.75,133,131,131.75,131,133,900,900.0,900,900,137,137.0,137,137,137,40
1744921154,131.75,133,131,131.75,131,133,900,900.0,900,900,137,137.0,137,137,137,40
1744921156,131.625,132,131,131.625,131,132,900,900.0,900,900,137,137.0,137,137,137,40
1744921157,131.625,132,131,131.625,131,132,900,900.0,900,900,137,137.0,137,137,137,40
1744921158,131.625,132,131,131.625,131,132,900,900.0,900,900,137,137.0,137,137,137,40
1744921159,131.625,132,131,131.625,131,132,900,900.0,900,900,137,137.0,137,137,137,40
1744921161,131.625,132,131,131.625,131,132,900,900.0,900,900,137,137.0,137,137,137,40
1744921162,132.0,135,131,132.0,131,135,900,900.0,900,900,137,137.0,137,137,137,40
1744921163,2098.375,2105,2092,2098.375,2092,2105,1296,1296.0,1296,1296,258,258.0,258,258,258,40
1744921165,2098.625,2105,2092,2098.625,2092,2105,1300,1300.0,1300,1300,259,259.0,259,259,259,41
1744921166,2098.5,2105,2092,2098.5,2092,2105,1300,1300.0,1300,1300,259,259.0,259,259,259,42
1744921167,2098.25,2105,2092,2098.25,2092,2105,1300,1300.0,1300,1300,260,260.0,260,260,260,42
1744921168,2098.125,2105,2092,2098.125,2092,2105,1300,1300.0,1300,1300,260,260.0,260,260,260,42
1744921170,2098.5,2106,2092,2098.5,2092,2106,1300,1300.0,1300,1300,260,260.0,260,260,260,42
1744921171,2098.25,2106,2092,2098.25,2092,2106,1300,1300.0,1300,1300,260,260.0,260,260,260,42
1744921172,2098.375,2105,2093,2098.375,2093,2105,1300,1300.0,1300,1300,260,260.0,260,260,260,42
1744921173,2098.75,2106,2093,2098.75,2093,2106,1300,1300.0,1300,1300,260,260.0,260,260,260,42
1744921175,2098.25,2105,2092,2098.25,2092,2105,1300,1300.0,1300,1300,260,260.0,260,260,260,42
1744921176,2098.5,2106,2092,2098.5,2092,2106,1300,1300.0,1300,1300,261,261.0,261,261,261,43
1744921177,2098.25,2105,2092,2098.25,2092,2105,1300,1300.0,1300,1300,262,262.0,262,262,262,43
1744921178,2098.125,2105,2092,2098.125,2092,2105,1300,1300.0,1300,1300,260,260.0,260,260,260,43
1744921180,2098.375,2106,2092,2098.375,2092,2106,1300,1300.0,1300,1300,261,261.0,261,261,261,43
1744921181,2098.125,2106,2092,2098.125,2092,2106,1300,1300.0,1300,1300,261,261.0,261,261,261,43
1744921182,2098.0,2105,2092,2098.0,2092,2105,1300,1300.0,1300,1300,260,260.0,260,260,260,43
1744921183,2098.375,2105,2092,2098.375,2092,2105,1300,1300.0,1300,1300,260,260.0,260,260,260,43
1744921185,2098.25,2105,2092,2098.25,2092,2105,1300,1300.0,1300,1300,261,261.0,261,261,261,43
1744921186,2098.25,2105,2092,2098.25,2092,2105,1300,1300.0,1300,1300,261,261.0,261,261,261,43
1744921187,2098.125,2105,2092,2098.125,2092,2105,1300,1300.0,1300,1300,261,261.0,261,261,261,43
1744921188,2098.0,2105,2092,2098.0,2092,2105,1300,1300.0,1300,1300,261,261.0,261,261,261,43
1744921190,2098.125,2105,2092,2098.125,2092,2105,1300,1300.0,1300,1300,261,261.0,261,261,261,43
1744921191,2098.125,2105,2092,2098.125,2092,2105,1300,1300.0,1300,1300,260,260.0,260,260,260,43
1744921192,2098.25,2105,2092,2098.25,2092,2105,1300,1300.0,1300,1300,262,262.0,262,262,262,43
1744921193,2098.125,2105,2092,2098.125,2092,2105,1300,1300.0,1300,1300,261,261.0,261,261,261,43
1744921195,2098.125,2105,2092,2098.125,2092,2105,1300,1300.0,1300,1300,261,261.0,261,261,261,43
1744921196,2098.125,2105,2092,2098.125,2092,2105,1300,1300.0,1300,1300,260,260.0,260,260,260,43
1744921197,2098.0,2105,2091,2098.0,2091,2105,1300,1300.0,1300,1300,261,261.0,261,261,261,43
1744921198,2098.25,2106,2091,2098.25,2091,2106,1300,1300.0,1300,1300,261,261.0,261,261,261,43
1744921200,2098.125,2106,2091,2098.125,2091,2106,1300,1300.0,1300,1300,260,260.0,260,260,260,43
