Timestamp,gpu0_sclk_avg,gpu0_sclk_max,gpu0_sclk_min,all_gpu_sclk_avg,all_gpu_sclk_min,all_gpu_sclk_max,gpu0_mclk,all_gpu_mclk_avg,all_gpu_mclk_min,all_gpu_mclk_max,gpu0_power,all_gpu_power_avg,all_gpu_power_min,all_gpu_power_max,all_gpu_power_total,gpu0_temp
1744591941,133.0,143,131,133.0,131,143,900,900.0,900,900,124,124.0,124,124,124,49
1744591942,131.875,134,131,131.875,131,134,900,900.0,900,900,125,125.0,125,125,125,49
1744591944,131.75,133,131,131.75,131,133,900,900.0,900,900,125,125.0,125,125,125,49
1744591945,131.625,132,131,131.625,131,132,900,900.0,900,900,124,124.0,124,124,124,48
1744591946,131.625,132,131,131.625,131,132,900,900.0,900,900,125,125.0,125,125,125,48
1744591947,131.625,132,131,131.625,131,132,900,900.0,900,900,124,124.0,124,124,124,48
1744591948,131.625,132,131,131.625,131,132,900,900.0,900,900,124,124.0,124,124,124,48
1744591949,131.625,132,131,131.625,131,132,900,900.0,900,900,125,125.0,125,125,125,48
1744591951,131.625,132,131,131.625,131,132,900,900.0,900,900,124,124.0,124,124,124,48
1744591952,131.625,132,131,131.625,131,132,900,900.0,900,900,124,124.0,124,124,124,48
1744591953,1834.625,1847,1816,1834.625,1816,1847,1488,1488.0,1488,1488,698,698.0,698,698,698,50
1744591954,1830.75,1843,1812,1830.75,1812,1843,1500,1500.0,1500,1500,712,712.0,712,712,712,56
1744591955,1828.125,1840,1810,1828.125,1810,1840,1500,1500.0,1500,1500,714,714.0,714,714,714,59
1744591957,1831.375,1845,1814,1831.375,1814,1845,1500,1500.0,1500,1500,714,714.0,714,714,714,60
1744591958,1824.125,1838,1805,1824.125,1805,1838,1500,1500.0,1500,1500,714,714.0,714,714,714,60
1744591959,1819.375,1832,1801,1819.375,1801,1832,1500,1500.0,1500,1500,713,713.0,713,713,713,61
1744591960,1824.375,1838,1806,1824.375,1806,1838,1500,1500.0,1500,1500,717,717.0,717,717,717,61
1744591961,1828.625,1841,1812,1828.625,1812,1841,1500,1500.0,1500,1500,716,716.0,716,716,716,61
1744591962,1826.25,1841,1807,1826.25,1807,1841,1500,1500.0,1500,1500,713,713.0,713,713,713,62
1744591964,1821.75,1835,1803,1821.75,1803,1835,1500,1500.0,1500,1500,718,718.0,718,718,718,62
1744591965,1826.25,1838,1809,1826.25,1809,1838,1500,1500.0,1500,1500,718,718.0,718,718,718,62
1744591966,1828.375,1841,1811,1828.375,1811,1841,1500,1500.0,1500,1500,716,716.0,716,716,716,63
1744591967,1820.125,1833,1802,1820.125,1802,1833,1500,1500.0,1500,1500,720,720.0,720,720,720,63
1744591968,1832.625,1845,1814,1832.625,1814,1845,1500,1500.0,1500,1500,719,719.0,719,719,719,63
1744591969,1831.0,1842,1815,1831.0,1815,1842,1500,1500.0,1500,1500,720,720.0,720,720,720,64
