Timestamp,gpu0_sclk_avg,gpu0_sclk_max,gpu0_sclk_min,all_gpu_sclk_avg,all_gpu_sclk_min,all_gpu_sclk_max,gpu0_mclk,all_gpu_mclk_avg,all_gpu_mclk_min,all_gpu_mclk_max,gpu0_power,all_gpu_power_avg,all_gpu_power_min,all_gpu_power_max,all_gpu_power_total,gpu0_temp
1744598877,133.375,147,131,133.375,131,147,900,900.0,900,900,120,120.0,120,120,120,43
1744598878,131.75,134,131,131.75,131,134,900,900.0,900,900,120,120.0,120,120,120,43
1744598880,131.625,133,131,131.625,131,133,900,900.0,900,900,120,120.0,120,120,120,43
1744598881,131.625,132,131,131.625,131,132,900,900.0,900,900,120,120.0,120,120,120,43
1744598882,131.5,132,131,131.5,131,132,900,900.0,900,900,119,119.0,119,119,119,42
1744598883,131.625,132,131,131.625,131,132,900,900.0,900,900,119,119.0,119,119,119,42
1744598884,131.5,132,131,131.5,131,132,900,900.0,900,900,120,120.0,120,120,120,42
1744598885,131.5,132,131,131.5,131,132,900,900.0,900,900,120,120.0,120,120,120,42
1744598887,131.375,132,131,131.375,131,132,900,900.0,900,900,119,119.0,119,119,119,42
1744598888,131.5,132,131,131.5,131,132,900,900.0,900,900,119,119.0,119,119,119,42
1744598889,2058.875,2071,2040,2058.875,2040,2071,1486,1486.0,1486,1486,656,656.0,656,656,656,44
1744598890,2064.125,2076,2044,2064.125,2044,2076,1500,1500.0,1500,1500,676,676.0,676,676,676,51
1744598891,2063.625,2076,2043,2063.625,2043,2076,1500,1500.0,1500,1500,678,678.0,678,678,678,54
1744598893,2064.5,2077,2044,2064.5,2044,2077,1500,1500.0,1500,1500,676,676.0,676,676,676,55
1744598894,2064.375,2077,2043,2064.375,2043,2077,1500,1500.0,1500,1500,679,679.0,679,679,679,55
1744598895,2064.375,2077,2044,2064.375,2044,2077,1500,1500.0,1500,1500,678,678.0,678,678,678,56
1744598896,2064.75,2077,2044,2064.75,2044,2077,1500,1500.0,1500,1500,677,677.0,677,677,677,56
1744598897,2065.0,2077,2044,2065.0,2044,2077,1500,1500.0,1500,1500,679,679.0,679,679,679,57
1744598898,2064.125,2076,2043,2064.125,2043,2076,1500,1500.0,1500,1500,681,681.0,681,681,681,57
1744598900,2064.875,2077,2044,2064.875,2044,2077,1500,1500.0,1500,1500,680,680.0,680,680,680,58
1744598901,2065.25,2078,2044,2065.25,2044,2078,1500,1500.0,1500,1500,681,681.0,681,681,681,58
1744598902,2065.125,2077,2044,2065.125,2044,2077,1500,1500.0,1500,1500,681,681.0,681,681,681,58
1744598903,2064.75,2077,2044,2064.75,2044,2077,1500,1500.0,1500,1500,682,682.0,682,682,682,59
1744598904,2064.75,2077,2043,2064.75,2043,2077,1500,1500.0,1500,1500,683,683.0,683,683,683,59
1744598905,2064.625,2077,2043,2064.625,2043,2077,1500,1500.0,1500,1500,687,687.0,687,687,687,59
1744598907,2064.0,2077,2042,2064.0,2042,2077,1500,1500.0,1500,1500,686,686.0,686,686,686,60
1744598908,2064.25,2077,2043,2064.25,2043,2077,1500,1500.0,1500,1500,686,686.0,686,686,686,60
1744598909,2064.375,2077,2043,2064.375,2043,2077,1500,1500.0,1500,1500,686,686.0,686,686,686,61
1744598910,2064.75,2077,2043,2064.75,2043,2077,1500,1500.0,1500,1500,687,687.0,687,687,687,61
1744598911,2064.375,2077,2042,2064.375,2042,2077,1500,1500.0,1500,1500,687,687.0,687,687,687,61
1744598913,2064.125,2077,2043,2064.125,2043,2077,1500,1500.0,1500,1500,688,688.0,688,688,688,61
1744598914,2064.375,2077,2043,2064.375,2043,2077,1500,1500.0,1500,1500,689,689.0,689,689,689,61
1744598915,2064.75,2077,2043,2064.75,2043,2077,1500,1500.0,1500,1500,688,688.0,688,688,688,62
1744598916,2064.625,2077,2043,2064.625,2043,2077,1500,1500.0,1500,1500,689,689.0,689,689,689,62
