Timestamp,gpu0_sclk_avg,gpu0_sclk_max,gpu0_sclk_min,all_gpu_sclk_avg,all_gpu_sclk_min,all_gpu_sclk_max,gpu0_mclk,all_gpu_mclk_avg,all_gpu_mclk_min,all_gpu_mclk_max,gpu0_power,all_gpu_power_avg,all_gpu_power_min,all_gpu_power_max,all_gpu_power_total,gpu0_temp
1744656328,88.875,97,87,88.875,87,97,900,900.0,900,900,105,105.0,105,105,105,32
1744656329,88.0,90,87,88.0,87,90,900,900.0,900,900,104,104.0,104,104,104,32
1744656331,87.875,89,87,87.875,87,89,900,900.0,900,900,104,104.0,104,104,104,32
1744656332,87.875,89,87,87.875,87,89,900,900.0,900,900,105,105.0,105,105,105,32
1744656333,88.0,90,87,88.0,87,90,900,900.0,900,900,105,105.0,105,105,105,32
1744656334,87.875,89,87,87.875,87,89,900,900.0,900,900,104,104.0,104,104,104,32
1744656335,87.875,89,87,87.875,87,89,900,900.0,900,900,105,105.0,105,105,105,32
1744656336,87.875,89,87,87.875,87,89,900,900.0,900,900,105,105.0,105,105,105,32
1744656338,87.875,89,87,87.875,87,89,900,900.0,900,900,104,104.0,104,104,104,32
1744656339,87.875,89,87,87.875,87,89,900,900.0,900,900,105,105.0,105,105,105,32
1744656340,1346.125,1369,1318,1346.125,1318,1369,1489,1489.0,1489,1489,612,612.0,612,612,612,34
1744656341,1348.875,1373,1321,1348.875,1321,1373,1500,1500.0,1500,1500,623,623.0,623,623,623,40
1744656342,1349.125,1373,1321,1349.125,1321,1373,1500,1500.0,1500,1500,625,625.0,625,625,625,42
1744656343,1349.375,1374,1321,1349.375,1321,1374,1500,1500.0,1500,1500,623,623.0,623,623,623,43
1744656345,1349.25,1374,1321,1349.25,1321,1374,1500,1500.0,1500,1500,623,623.0,623,623,623,43
1744656346,1349.5,1374,1321,1349.5,1321,1374,1500,1500.0,1500,1500,624,624.0,624,624,624,44
1744656347,1349.75,1375,1321,1349.75,1321,1375,1500,1500.0,1500,1500,624,624.0,624,624,624,44
1744656348,1350.125,1374,1321,1350.125,1321,1374,1500,1500.0,1500,1500,626,626.0,626,626,626,44
1744656349,1349.75,1373,1321,1349.75,1321,1373,1500,1500.0,1500,1500,624,624.0,624,624,624,45
