Timestamp,gpu0_sclk_avg,gpu0_sclk_max,gpu0_sclk_min,all_gpu_sclk_avg,all_gpu_sclk_min,all_gpu_sclk_max,gpu0_mclk,all_gpu_mclk_avg,all_gpu_mclk_min,all_gpu_mclk_max,gpu0_power,all_gpu_power_avg,all_gpu_power_min,all_gpu_power_max,all_gpu_power_total,gpu0_temp
1744658330,90.25,105,87,90.25,87,105,900,900.0,900,900,105,105.0,105,105,105,33
1744658332,88.0,90,87,88.0,87,90,900,900.0,900,900,105,105.0,105,105,105,33
1744658333,88.0,89,87,88.0,87,89,900,900.0,900,900,105,105.0,105,105,105,33
1744658334,87.875,89,87,87.875,87,89,900,900.0,900,900,105,105.0,105,105,105,33
1744658335,87.875,89,87,87.875,87,89,900,900.0,900,900,105,105.0,105,105,105,33
1744658336,87.875,89,87,87.875,87,89,900,900.0,900,900,105,105.0,105,105,105,33
1744658337,88.25,89,87,88.25,87,89,900,900.0,900,900,106,106.0,106,106,106,33
1744658339,88.375,90,87,88.375,87,90,900,900.0,900,900,105,105.0,105,105,105,33
1744658340,89.0,92,87,89.0,87,92,900,900.0,900,900,105,105.0,105,105,105,33
1744658341,88.125,89,87,88.125,87,89,900,900.0,900,900,105,105.0,105,105,105,33
1744658342,91.625,100,88,91.625,88,100,902,902.0,902,902,105,105.0,105,105,105,33
1744658343,88.5,90,87,88.5,87,90,900,900.0,900,900,105,105.0,105,105,105,33
1744658344,89.375,93,87,89.375,87,93,900,900.0,900,900,105,105.0,105,105,105,33
1744658346,87.875,89,87,87.875,87,89,900,900.0,900,900,105,105.0,105,105,105,33
1744658347,88.125,89,87,88.125,87,89,900,900.0,900,900,105,105.0,105,105,105,33
1744658348,87.875,89,87,87.875,87,89,900,900.0,900,900,105,105.0,105,105,105,33
1744658349,88.125,89,87,88.125,87,89,900,900.0,900,900,105,105.0,105,105,105,33
1744658350,88.125,89,87,88.125,87,89,900,900.0,900,900,105,105.0,105,105,105,33
