Timestamp,gpu0_sclk_avg,gpu0_sclk_max,gpu0_sclk_min,all_gpu_sclk_avg,all_gpu_sclk_min,all_gpu_sclk_max,gpu0_mclk,all_gpu_mclk_avg,all_gpu_mclk_min,all_gpu_mclk_max,gpu0_power,all_gpu_power_avg,all_gpu_power_min,all_gpu_power_max,all_gpu_power_total,gpu0_temp
1744661299,88.875,97,87,88.875,87,97,900,900.0,900,900,105,105.0,105,105,105,32
1744661300,88.0,90,87,88.0,87,90,900,900.0,900,900,105,105.0,105,105,105,32
1744661301,87.875,89,87,87.875,87,89,900,900.0,900,900,104,104.0,104,104,104,32
1744661303,87.875,89,87,87.875,87,89,900,900.0,900,900,105,105.0,105,105,105,32
1744661304,87.875,89,87,87.875,87,89,900,900.0,900,900,105,105.0,105,105,105,32
1744661305,88.125,89,87,88.125,87,89,900,900.0,900,900,105,105.0,105,105,105,32
1744661306,87.875,89,87,87.875,87,89,900,900.0,900,900,105,105.0,105,105,105,32
1744661307,88.375,90,87,88.375,87,90,900,900.0,900,900,105,105.0,105,105,105,32
1744661309,87.875,89,87,87.875,87,89,900,900.0,900,900,105,105.0,105,105,105,32
1744661310,87.875,89,87,87.875,87,89,900,900.0,900,900,104,104.0,104,104,104,32
1744661311,1394.875,1400,1386,1394.875,1386,1400,1492,1492.0,1492,1492,227,227.0,227,227,227,32
1744661312,1397.375,1402,1388,1397.375,1388,1402,1500,1500.0,1500,1500,229,229.0,229,229,229,33
1744661313,1398.125,1402,1388,1398.125,1388,1402,1500,1500.0,1500,1500,229,229.0,229,229,229,34
1744661314,1398.625,1404,1388,1398.625,1388,1404,1500,1500.0,1500,1500,229,229.0,229,229,229,34
1744661316,1398.875,1404,1388,1398.875,1388,1404,1500,1500.0,1500,1500,229,229.0,229,229,229,34
1744661317,1398.75,1405,1388,1398.75,1388,1405,1500,1500.0,1500,1500,230,230.0,230,230,230,34
1744661318,1399.0,1405,1388,1399.0,1388,1405,1500,1500.0,1500,1500,229,229.0,229,229,229,34
1744661319,1398.625,1404,1388,1398.625,1388,1404,1500,1500.0,1500,1500,229,229.0,229,229,229,34
1744661320,1398.75,1404,1387,1398.75,1387,1404,1500,1500.0,1500,1500,230,230.0,230,230,230,34
