Timestamp,gpu0_sclk_avg,gpu0_sclk_max,gpu0_sclk_min,all_gpu_sclk_avg,all_gpu_sclk_min,all_gpu_sclk_max,gpu0_mclk,all_gpu_mclk_avg,all_gpu_mclk_min,all_gpu_mclk_max,gpu0_power,all_gpu_power_avg,all_gpu_power_min,all_gpu_power_max,all_gpu_power_total,gpu0_temp
1743791454,133.0,142,131,133.0,131,142,900,900.0,900,900,123,123.0,123,123,123,48
1743791455,131.875,133,131,131.875,131,133,900,900.0,900,900,125,125.0,125,125,125,48
1743791456,131.75,132,131,131.75,131,132,900,900.0,900,900,124,124.0,124,124,124,48
1743791458,131.75,132,131,131.75,131,132,900,900.0,900,900,123,123.0,123,123,123,47
1743791459,131.75,132,131,131.75,131,132,900,900.0,900,900,124,124.0,124,124,124,47
1743791460,131.75,132,131,131.75,131,132,900,900.0,900,900,124,124.0,124,124,124,47
1743791461,131.75,132,131,131.75,131,132,900,900.0,900,900,123,123.0,123,123,123,47
1743791462,131.75,132,131,131.75,131,132,900,900.0,900,900,123,123.0,123,123,123,47
1743791463,131.75,132,131,131.75,131,132,900,900.0,900,900,123,123.0,123,123,123,47
1743791465,131.75,132,131,131.75,131,132,900,900.0,900,900,124,124.0,124,124,124,47
1743791466,1405.875,1423,1387,1405.875,1387,1423,1189,1189.0,1189,1189,612,612.0,612,612,612,48
1743791467,1698.875,1717,1681,1698.875,1681,1717,1299,1299.0,1299,1299,750,750.0,750,750,750,56
1743791468,1696.75,1714,1679,1696.75,1679,1714,1300,1300.0,1300,1300,750,750.0,750,750,750,60
1743791469,1691.375,1710,1673,1691.375,1673,1710,1298,1298.0,1298,1298,750,750.0,750,750,750,61
1743791471,1690.75,1710,1672,1690.75,1672,1710,1300,1300.0,1300,1300,750,750.0,750,750,750,62
1743791472,157.75,161,156,157.75,156,161,1043,1043.0,1043,1043,148,148.0,148,148,148,58
1743791473,131.75,132,131,131.75,131,132,900,900.0,900,900,126,126.0,126,126,126,53
1743791474,131.75,132,131,131.75,131,132,900,900.0,900,900,125,125.0,125,125,125,50
1743791475,131.75,132,131,131.75,131,132,900,900.0,900,900,125,125.0,125,125,125,49
1743791476,131.75,132,131,131.75,131,132,900,900.0,900,900,125,125.0,125,125,125,49
1743791478,131.75,132,131,131.75,131,132,900,900.0,900,900,124,124.0,124,124,124,49
1743791479,131.75,132,131,131.75,131,132,900,900.0,900,900,125,125.0,125,125,125,48
1743791480,132.75,140,131,132.75,131,140,900,900.0,900,900,125,125.0,125,125,125,48
1743791481,132.0,134,131,132.0,131,134,900,900.0,900,900,124,124.0,124,124,124,48
