Timestamp,gpu0_sclk_avg,gpu0_sclk_max,gpu0_sclk_min,all_gpu_sclk_avg,all_gpu_sclk_min,all_gpu_sclk_max,gpu0_mclk,all_gpu_mclk_avg,all_gpu_mclk_min,all_gpu_mclk_max,gpu0_power,all_gpu_power_avg,all_gpu_power_min,all_gpu_power_max,all_gpu_power_total,gpu0_temp
1743795362,133.0,143,131,133.0,131,143,900,900.0,900,900,119,119.0,119,119,119,42
1743795363,131.875,134,131,131.875,131,134,900,900.0,900,900,119,119.0,119,119,119,42
1743795365,131.75,133,131,131.75,131,133,900,900.0,900,900,119,119.0,119,119,119,42
1743795366,131.625,132,131,131.625,131,132,900,900.0,900,900,119,119.0,119,119,119,42
1743795367,131.75,132,131,131.75,131,132,900,900.0,900,900,119,119.0,119,119,119,42
1743795368,131.75,132,131,131.75,131,132,900,900.0,900,900,119,119.0,119,119,119,42
1743795369,131.625,132,131,131.625,131,132,900,900.0,900,900,119,119.0,119,119,119,42
1743795371,131.75,132,131,131.75,131,132,900,900.0,900,900,119,119.0,119,119,119,42
1743795372,131.75,132,131,131.75,131,132,900,900.0,900,900,120,120.0,120,120,120,42
1743795373,132.5,138,131,132.5,131,138,900,900.0,900,900,119,119.0,119,119,119,42
1743795374,2067.25,2073,2059,2067.25,2059,2073,1491,1491.0,1491,1491,604,604.0,604,604,604,45
1743795375,2079.375,2085,2071,2079.375,2071,2085,1500,1500.0,1500,1500,610,610.0,610,610,610,51
1743795377,132.25,133,132,132.25,132,133,900,900.0,900,900,120,120.0,120,120,120,48
1743795378,131.625,132,131,131.625,131,132,900,900.0,900,900,120,120.0,120,120,120,45
1743795379,131.75,132,131,131.75,131,132,900,900.0,900,900,119,119.0,119,119,119,43
1743795380,131.625,132,131,131.625,131,132,900,900.0,900,900,120,120.0,120,120,120,43
1743795381,131.75,132,131,131.75,131,132,900,900.0,900,900,119,119.0,119,119,119,43
1743795382,131.75,132,131,131.75,131,132,900,900.0,900,900,119,119.0,119,119,119,43
1743795384,131.875,133,131,131.875,131,133,900,900.0,900,900,119,119.0,119,119,119,43
1743795385,131.75,132,131,131.75,131,132,900,900.0,900,900,120,120.0,120,120,120,43
