Timestamp,gpu0_sclk_avg,gpu0_sclk_max,gpu0_sclk_min,all_gpu_sclk_avg,all_gpu_sclk_min,all_gpu_sclk_max,gpu0_mclk,all_gpu_mclk_avg,all_gpu_mclk_min,all_gpu_mclk_max,gpu0_power,all_gpu_power_avg,all_gpu_power_min,all_gpu_power_max,all_gpu_power_total,gpu0_temp
1743796762,137.75,151,131,137.75,131,151,900,900.0,900,900,119,119.0,119,119,119,41
1743796764,138.0,157,131,138.0,131,157,900,900.0,900,900,118,118.0,118,118,118,41
1743796765,138.875,161,131,138.875,131,161,900,900.0,900,900,119,119.0,119,119,119,41
1743796766,138.625,160,131,138.625,131,160,900,900.0,900,900,118,118.0,118,118,118,41
1743796767,137.625,156,131,137.625,131,156,900,900.0,900,900,118,118.0,118,118,118,41
1743796768,137.75,156,131,137.75,131,156,900,900.0,900,900,119,119.0,119,119,119,41
1743796769,138.125,158,131,138.125,131,158,900,900.0,900,900,118,118.0,118,118,118,41
1743796771,139.0,162,131,139.0,131,162,900,900.0,900,900,119,119.0,119,119,119,41
1743796772,137.625,156,131,137.625,131,156,900,900.0,900,900,118,118.0,118,118,118,41
1743796773,137.5,156,131,137.5,131,156,900,900.0,900,900,118,118.0,118,118,118,41
1743796774,173.375,177,172,173.375,172,177,941,941.0,941,941,125,125.0,125,125,125,41
1743796775,138.75,160,131,138.75,131,160,900,900.0,900,900,119,119.0,119,119,119,41
1743796777,138.375,159,131,138.375,131,159,900,900.0,900,900,119,119.0,119,119,119,41
1743796778,137.25,155,131,137.25,131,155,900,900.0,900,900,118,118.0,118,118,118,41
1743796779,135.25,147,131,135.25,131,147,900,900.0,900,900,118,118.0,118,118,118,41
1743796780,138.375,159,131,138.375,131,159,900,900.0,900,900,118,118.0,118,118,118,41
1743796781,135.625,148,131,135.625,131,148,900,900.0,900,900,119,119.0,119,119,119,41
1743796782,136.625,152,131,136.625,131,152,900,900.0,900,900,118,118.0,118,118,118,41
1743796784,134.875,145,131,134.875,131,145,900,900.0,900,900,119,119.0,119,119,119,41
