Timestamp,gpu0_sclk_avg,gpu0_sclk_max,gpu0_sclk_min,all_gpu_sclk_avg,all_gpu_sclk_min,all_gpu_sclk_max,gpu0_mclk,all_gpu_mclk_avg,all_gpu_mclk_min,all_gpu_mclk_max,gpu0_power,all_gpu_power_avg,all_gpu_power_min,all_gpu_power_max,all_gpu_power_total,gpu0_temp
1743885896,89.0,96,88,89.0,88,96,900,900.0,900,900,109,109.0,109,109,109,40
1743885898,88.125,89,88,88.125,88,89,900,900.0,900,900,109,109.0,109,109,109,40
1743885899,88.125,89,88,88.125,88,89,900,900.0,900,900,109,109.0,109,109,109,40
1743885900,88.0,88,88,88.0,88,88,900,900.0,900,900,108,108.0,108,108,108,40
1743885901,88.125,89,88,88.125,88,89,900,900.0,900,900,108,108.0,108,108,108,40
1743885902,88.125,89,88,88.125,88,89,900,900.0,900,900,108,108.0,108,108,108,40
1743885904,88.25,90,88,88.25,88,90,900,900.0,900,900,108,108.0,108,108,108,40
1743885905,88.125,89,88,88.125,88,89,900,900.0,900,900,109,109.0,109,109,109,40
1743885906,88.0,88,88,88.0,88,88,900,900.0,900,900,108,108.0,108,108,108,40
1743885907,88.0,88,88,88.0,88,88,900,900.0,900,900,109,109.0,109,109,109,40
1743885908,280.25,282,278,280.25,278,282,1179,1179.0,1179,1179,159,159.0,159,159,159,41
1743885909,88.125,89,88,88.125,88,89,900,900.0,900,900,109,109.0,109,109,109,41
1743885911,88.125,89,88,88.125,88,89,900,900.0,900,900,108,108.0,108,108,108,40
1743885912,88.125,89,88,88.125,88,89,900,900.0,900,900,109,109.0,109,109,109,40
1743885913,88.0,88,88,88.0,88,88,900,900.0,900,900,109,109.0,109,109,109,40
1743885914,88.0,88,88,88.0,88,88,900,900.0,900,900,109,109.0,109,109,109,40
1743885915,88.0,88,88,88.0,88,88,900,900.0,900,900,109,109.0,109,109,109,40
1743885917,88.0,88,88,88.0,88,88,900,900.0,900,900,109,109.0,109,109,109,40
1743885918,88.0,88,88,88.0,88,88,900,900.0,900,900,109,109.0,109,109,109,40
