Timestamp,gpu0_sclk_avg,gpu0_sclk_max,gpu0_sclk_min,all_gpu_sclk_avg,all_gpu_sclk_min,all_gpu_sclk_max,gpu0_mclk,all_gpu_mclk_avg,all_gpu_mclk_min,all_gpu_mclk_max,gpu0_power,all_gpu_power_avg,all_gpu_power_min,all_gpu_power_max,all_gpu_power_total,gpu0_temp
1743886719,89.0,96,88,89.0,88,96,900,900.0,900,900,109,109.0,109,109,109,40
1743886720,88.125,89,88,88.125,88,89,900,900.0,900,900,109,109.0,109,109,109,40
1743886721,88.125,89,88,88.125,88,89,900,900.0,900,900,108,108.0,108,108,108,40
1743886722,88.125,89,88,88.125,88,89,900,900.0,900,900,109,109.0,109,109,109,40
1743886724,88.125,89,88,88.125,88,89,900,900.0,900,900,109,109.0,109,109,109,40
1743886725,88.0,88,88,88.0,88,88,900,900.0,900,900,109,109.0,109,109,109,40
1743886726,88.0,88,88,88.0,88,88,900,900.0,900,900,109,109.0,109,109,109,40
1743886727,88.0,88,88,88.0,88,88,900,900.0,900,900,108,108.0,108,108,108,40
1743886728,88.0,88,88,88.0,88,88,900,900.0,900,900,109,109.0,109,109,109,40
1743886730,88.0,88,88,88.0,88,88,900,900.0,900,900,109,109.0,109,109,109,40
1743886731,176.125,179,175,176.125,175,179,1031,1031.0,1031,1031,125,125.0,125,125,125,41
1743886732,88.125,89,88,88.125,88,89,900,900.0,900,900,109,109.0,109,109,109,41
1743886733,88.125,89,88,88.125,88,89,900,900.0,900,900,110,110.0,110,110,110,41
1743886734,88.125,89,88,88.125,88,89,900,900.0,900,900,109,109.0,109,109,109,41
1743886735,88.0,88,88,88.0,88,88,900,900.0,900,900,109,109.0,109,109,109,41
1743886737,88.0,88,88,88.0,88,88,900,900.0,900,900,108,108.0,108,108,108,41
1743886738,88.0,88,88,88.0,88,88,900,900.0,900,900,109,109.0,109,109,109,41
1743886739,88.125,89,88,88.125,88,89,900,900.0,900,900,108,108.0,108,108,108,41
1743886740,88.0,88,88,88.0,88,88,900,900.0,900,900,109,109.0,109,109,109,41
