Timestamp,gpu0_sclk_avg,gpu0_sclk_max,gpu0_sclk_min,all_gpu_sclk_avg,all_gpu_sclk_min,all_gpu_sclk_max,gpu0_mclk,all_gpu_mclk_avg,all_gpu_mclk_min,all_gpu_mclk_max,gpu0_power,all_gpu_power_avg,all_gpu_power_min,all_gpu_power_max,all_gpu_power_total,gpu0_temp
1743605163,133.625,148,131,133.625,131,148,900,900.0,900,900,136,136.0,136,136,136,40
1743605164,131.625,132,131,131.625,131,132,900,900.0,900,900,136,136.0,136,136,136,40
1743605165,131.625,132,131,131.625,131,132,900,900.0,900,900,136,136.0,136,136,136,40
1743605166,131.625,132,131,131.625,131,132,900,900.0,900,900,136,136.0,136,136,136,40
1743605168,131.625,132,131,131.625,131,132,900,900.0,900,900,136,136.0,136,136,136,40
1743605169,132.375,138,131,132.375,131,138,900,900.0,900,900,136,136.0,136,136,136,40
1743605170,131.75,133,131,131.75,131,133,900,900.0,900,900,136,136.0,136,136,136,40
1743605171,131.625,132,131,131.625,131,132,900,900.0,900,900,136,136.0,136,136,136,40
1743605173,131.625,132,131,131.625,131,132,900,900.0,900,900,136,136.0,136,136,136,40
1743605174,131.625,132,131,131.625,131,132,900,900.0,900,900,136,136.0,136,136,136,40
1743605175,131.625,132,131,131.625,131,132,900,900.0,900,900,136,136.0,136,136,136,40
1743605176,131.625,132,131,131.625,131,132,900,900.0,900,900,136,136.0,136,136,136,40
1743605178,131.625,132,131,131.625,131,132,900,900.0,900,900,135,135.0,135,135,135,40
1743605179,132.375,138,131,132.375,131,138,900,900.0,900,900,136,136.0,136,136,136,40
1743605180,131.75,133,131,131.75,131,133,900,900.0,900,900,136,136.0,136,136,136,40
1743605181,131.625,132,131,131.625,131,132,900,900.0,900,900,136,136.0,136,136,136,40
1743605183,2081.75,2089,2076,2081.75,2076,2089,900,900.0,900,900,166,166.0,166,166,166,40
1743605184,131.75,132,131,131.75,131,132,900,900.0,900,900,136,136.0,136,136,136,40
1743605185,131.625,132,131,131.625,131,132,900,900.0,900,900,136,136.0,136,136,136,40
1743605186,131.625,132,131,131.625,131,132,900,900.0,900,900,135,135.0,135,135,135,40
1743605188,132.625,140,131,132.625,131,140,900,900.0,900,900,136,136.0,136,136,136,40
1743605189,131.75,133,131,131.75,131,133,900,900.0,900,900,136,136.0,136,136,136,40
1743605190,131.75,132,131,131.75,131,132,900,900.0,900,900,136,136.0,136,136,136,40
1743605191,131.625,132,131,131.625,131,132,900,900.0,900,900,136,136.0,136,136,136,39
1743605193,131.625,132,131,131.625,131,132,900,900.0,900,900,136,136.0,136,136,136,39
