Timestamp,gpu0_sclk_avg,gpu0_sclk_max,gpu0_sclk_min,all_gpu_sclk_avg,all_gpu_sclk_min,all_gpu_sclk_max,gpu0_mclk,all_gpu_mclk_avg,all_gpu_mclk_min,all_gpu_mclk_max,gpu0_power,all_gpu_power_avg,all_gpu_power_min,all_gpu_power_max,all_gpu_power_total,gpu0_temp
1743602332,135.25,143,131,135.25,131,143,900,900.0,900,900,119,119.0,119,119,119,41
1743602333,136.875,152,131,136.875,131,152,900,900.0,900,900,118,118.0,118,118,118,41
1743602335,136.75,152,131,136.75,131,152,900,900.0,900,900,118,118.0,118,118,118,41
1743602336,134.875,145,131,134.875,131,145,900,900.0,900,900,118,118.0,118,118,118,41
1743602337,134.875,145,131,134.875,131,145,900,900.0,900,900,118,118.0,118,118,118,41
1743602338,132.125,134,131,132.125,131,134,900,900.0,900,900,119,119.0,119,119,119,41
1743602339,133.125,138,131,133.125,131,138,900,900.0,900,900,119,119.0,119,119,119,41
1743602340,132.625,136,131,132.625,131,136,900,900.0,900,900,118,118.0,118,118,118,41
1743602342,135.875,149,131,135.875,131,149,900,900.0,900,900,118,118.0,118,118,118,41
1743602343,132.375,135,131,132.375,131,135,900,900.0,900,900,119,119.0,119,119,119,41
1743602344,2030.0,2051,2011,2030.0,2011,2051,1495,1495.0,1495,1495,946,946.0,946,946,946,47
1743602345,2032.625,2054,2014,2032.625,2014,2054,1500,1500.0,1500,1500,960,960.0,960,960,960,58
1743602346,2030.75,2053,2012,2030.75,2012,2053,1500,1500.0,1500,1500,966,966.0,966,966,966,62
1743602348,2032.375,2055,2013,2032.375,2013,2055,1500,1500.0,1500,1500,967,967.0,967,967,967,64
1743602349,2032.0,2055,2012,2032.0,2012,2055,1500,1500.0,1500,1500,969,969.0,969,969,969,65
1743602350,2030.75,2053,2011,2030.75,2011,2053,1500,1500.0,1500,1500,968,968.0,968,968,968,66
1743602351,131.875,133,131,131.875,131,133,1076,1076.0,1076,1076,141,141.0,141,141,141,56
1743602352,131.75,132,131,131.75,131,132,900,900.0,900,900,122,122.0,122,122,122,49
1743602353,131.75,132,131,131.75,131,132,900,900.0,900,900,122,122.0,122,122,122,46
1743602355,131.75,132,131,131.75,131,132,900,900.0,900,900,122,122.0,122,122,122,45
1743602356,131.75,132,131,131.75,131,132,900,900.0,900,900,123,123.0,123,123,123,45
1743602357,131.625,132,131,131.625,131,132,900,900.0,900,900,121,121.0,121,121,121,45
1743602358,131.625,132,131,131.625,131,132,900,900.0,900,900,122,122.0,122,122,122,44
1743602359,135.625,164,131,135.625,131,164,900,900.0,900,900,121,121.0,121,121,121,44
