Timestamp,gpu0_sclk_avg,gpu0_sclk_max,gpu0_sclk_min,all_gpu_sclk_avg,all_gpu_sclk_min,all_gpu_sclk_max,gpu0_mclk,all_gpu_mclk_avg,all_gpu_mclk_min,all_gpu_mclk_max,gpu0_power,all_gpu_power_avg,all_gpu_power_min,all_gpu_power_max,all_gpu_power_total,gpu0_temp
1743602944,139.75,159,132,139.75,132,159,900,900.0,900,900,119,119.0,119,119,119,41
1743602945,138.25,158,131,138.25,131,158,900,900.0,900,900,119,119.0,119,119,119,41
1743602946,137.875,156,131,137.875,131,156,900,900.0,900,900,119,119.0,119,119,119,41
1743602947,138.375,159,131,138.375,131,159,900,900.0,900,900,119,119.0,119,119,119,41
1743602948,138.875,161,131,138.875,131,161,900,900.0,900,900,119,119.0,119,119,119,41
1743602950,139.375,163,131,139.375,131,163,900,900.0,900,900,118,118.0,118,118,118,41
1743602951,137.875,157,131,137.875,131,157,900,900.0,900,900,118,118.0,118,118,118,41
1743602952,139.875,165,131,139.875,131,165,900,900.0,900,900,119,119.0,119,119,119,41
1743602953,135.125,146,131,135.125,131,146,900,900.0,900,900,119,119.0,119,119,119,41
1743602954,138.375,159,131,138.375,131,159,900,900.0,900,900,118,118.0,118,118,118,41
1743602956,2026.75,2047,2007,2026.75,2007,2047,1496,1496.0,1496,1496,893,893.0,893,893,893,47
1743602957,2028.625,2050,2009,2028.625,2009,2050,1500,1500.0,1500,1500,904,904.0,904,904,904,57
1743602958,2028.75,2050,2009,2028.75,2009,2050,1500,1500.0,1500,1500,906,906.0,906,906,906,60
1743602959,2028.875,2050,2009,2028.875,2009,2050,1500,1500.0,1500,1500,907,907.0,907,907,907,62
1743602960,2050.875,2067,2035,2050.875,2035,2067,1500,1500.0,1500,1500,708,708.0,708,708,708,63
1743602961,131.875,133,131,131.875,131,133,900,900.0,900,900,122,122.0,122,122,122,52
1743602963,131.75,132,131,131.75,131,132,900,900.0,900,900,121,121.0,121,121,121,47
1743602964,131.75,132,131,131.75,131,132,900,900.0,900,900,120,120.0,120,120,120,45
1743602965,131.75,132,131,131.75,131,132,900,900.0,900,900,121,121.0,121,121,121,44
1743602966,131.75,132,131,131.75,131,132,900,900.0,900,900,121,121.0,121,121,121,44
1743602967,132.0,134,131,132.0,131,134,900,900.0,900,900,121,121.0,121,121,121,44
1743602969,131.75,132,131,131.75,131,132,900,900.0,900,900,121,121.0,121,121,121,44
1743602970,131.75,132,131,131.75,131,132,900,900.0,900,900,121,121.0,121,121,121,44
