Timestamp,gpu0_sclk_avg,gpu0_sclk_max,gpu0_sclk_min,all_gpu_sclk_avg,all_gpu_sclk_min,all_gpu_sclk_max,gpu0_mclk,all_gpu_mclk_avg,all_gpu_mclk_min,all_gpu_mclk_max,gpu0_power,all_gpu_power_avg,all_gpu_power_min,all_gpu_power_max,all_gpu_power_total,gpu0_temp
1743603739,133.125,142,131,133.125,131,142,900,900.0,900,900,119,119.0,119,119,119,41
1743603741,132.125,134,131,132.125,131,134,900,900.0,900,900,118,118.0,118,118,118,41
1743603742,132.0,133,131,132.0,131,133,900,900.0,900,900,118,118.0,118,118,118,41
1743603743,132.625,136,131,132.625,131,136,900,900.0,900,900,118,118.0,118,118,118,41
1743603744,132.375,135,131,132.375,131,135,900,900.0,900,900,118,118.0,118,118,118,41
1743603745,131.875,133,131,131.875,131,133,900,900.0,900,900,118,118.0,118,118,118,41
1743603746,131.875,133,131,131.875,131,133,900,900.0,900,900,118,118.0,118,118,118,41
1743603748,131.875,133,131,131.875,131,133,900,900.0,900,900,118,118.0,118,118,118,40
1743603749,131.875,133,131,131.875,131,133,900,900.0,900,900,118,118.0,118,118,118,40
1743603750,131.875,133,131,131.875,131,133,900,900.0,900,900,118,118.0,118,118,118,40
1743603751,2049.375,2064,2035,2049.375,2035,2064,1493,1493.0,1493,1493,805,805.0,805,805,805,44
1743603752,2052.125,2067,2038,2052.125,2038,2067,1500,1500.0,1500,1500,826,826.0,826,826,826,53
1743603754,2052.5,2068,2037,2052.5,2037,2068,1500,1500.0,1500,1500,823,823.0,823,823,823,57
1743603755,214.25,215,213,214.25,213,215,1024,1024.0,1024,1024,153,153.0,153,153,153,55
1743603756,131.75,132,131,131.75,131,132,900,900.0,900,900,120,120.0,120,120,120,47
1743603757,131.75,132,131,131.75,131,132,900,900.0,900,900,119,119.0,119,119,119,44
1743603758,131.75,132,131,131.75,131,132,900,900.0,900,900,119,119.0,119,119,119,43
1743603759,131.75,132,131,131.75,131,132,900,900.0,900,900,119,119.0,119,119,119,42
1743603761,132.0,133,131,132.0,131,133,900,900.0,900,900,119,119.0,119,119,119,42
1743603762,131.75,132,131,131.75,131,132,900,900.0,900,900,120,120.0,120,120,120,42
1743603763,131.75,132,131,131.75,131,132,900,900.0,900,900,119,119.0,119,119,119,42
1743603764,131.75,132,131,131.75,131,132,900,900.0,900,900,119,119.0,119,119,119,42
