Timestamp,gpu0_sclk_avg,gpu0_sclk_max,gpu0_sclk_min,all_gpu_sclk_avg,all_gpu_sclk_min,all_gpu_sclk_max,gpu0_mclk,all_gpu_mclk_avg,all_gpu_mclk_min,all_gpu_mclk_max,gpu0_power,all_gpu_power_avg,all_gpu_power_min,all_gpu_power_max,all_gpu_power_total,gpu0_temp
1743772485,132.875,142,131,132.875,131,142,900,900.0,900,900,120,120.0,120,120,120,43
1743772486,131.75,133,131,131.75,131,133,900,900.0,900,900,120,120.0,120,120,120,43
1743772487,131.75,133,131,131.75,131,133,900,900.0,900,900,120,120.0,120,120,120,43
1743772488,131.75,132,131,131.75,131,132,900,900.0,900,900,121,121.0,121,121,121,43
1743772490,131.625,132,131,131.625,131,132,900,900.0,900,900,120,120.0,120,120,120,43
1743772491,131.625,132,131,131.625,131,132,900,900.0,900,900,120,120.0,120,120,120,43
1743772492,131.75,132,131,131.75,131,132,900,900.0,900,900,119,119.0,119,119,119,43
1743772493,131.625,132,131,131.625,131,132,900,900.0,900,900,120,120.0,120,120,120,43
1743772494,131.75,132,131,131.75,131,132,900,900.0,900,900,120,120.0,120,120,120,43
1743772496,131.625,132,131,131.625,131,132,900,900.0,900,900,120,120.0,120,120,120,43
1743772497,132.75,138,131,132.75,131,138,902,902.0,902,902,121,121.0,121,121,121,43
1743772498,132.0,134,131,132.0,131,134,900,900.0,900,900,120,120.0,120,120,120,43
1743772499,131.875,133,131,131.875,131,133,900,900.0,900,900,120,120.0,120,120,120,43
1743772500,131.75,132,131,131.75,131,132,900,900.0,900,900,120,120.0,120,120,120,43
1743772501,131.75,132,131,131.75,131,132,900,900.0,900,900,120,120.0,120,120,120,43
1743772503,131.75,132,131,131.75,131,132,900,900.0,900,900,120,120.0,120,120,120,43
1743772504,131.75,132,131,131.75,131,132,900,900.0,900,900,120,120.0,120,120,120,43
1743772505,131.75,132,131,131.75,131,132,900,900.0,900,900,120,120.0,120,120,120,43
