Timestamp,gpu0_sclk_avg,gpu0_sclk_max,gpu0_sclk_min,all_gpu_sclk_avg,all_gpu_sclk_min,all_gpu_sclk_max,gpu0_mclk,all_gpu_mclk_avg,all_gpu_mclk_min,all_gpu_mclk_max,gpu0_power,all_gpu_power_avg,all_gpu_power_min,all_gpu_power_max,all_gpu_power_total,gpu0_temp
1743773720,133.25,144,131,133.25,131,144,900,900.0,900,900,119,119.0,119,119,119,42
1743773721,132.0,134,131,132.0,131,134,900,900.0,900,900,118,118.0,118,118,118,42
1743773723,131.875,133,131,131.875,131,133,900,900.0,900,900,119,119.0,119,119,119,42
1743773724,131.75,132,131,131.75,131,132,900,900.0,900,900,119,119.0,119,119,119,42
1743773725,131.75,132,131,131.75,131,132,900,900.0,900,900,119,119.0,119,119,119,42
1743773726,131.75,132,131,131.75,131,132,900,900.0,900,900,119,119.0,119,119,119,42
1743773727,131.75,132,131,131.75,131,132,900,900.0,900,900,119,119.0,119,119,119,42
1743773728,131.75,132,131,131.75,131,132,900,900.0,900,900,119,119.0,119,119,119,42
1743773730,131.75,132,131,131.75,131,132,900,900.0,900,900,118,118.0,118,118,118,42
1743773731,131.75,132,131,131.75,131,132,900,900.0,900,900,119,119.0,119,119,119,42
1743773732,1789.25,1809,1768,1789.25,1768,1809,1325,1325.0,1325,1325,742,742.0,742,742,742,45
1743773733,1699.375,1720,1676,1699.375,1676,1720,1500,1500.0,1500,1500,750,750.0,750,750,750,54
1743773734,1692.375,1713,1667,1692.375,1667,1713,1500,1500.0,1500,1500,750,750.0,750,750,750,57
1743773735,1699.625,1721,1675,1699.625,1675,1721,1500,1500.0,1500,1500,750,750.0,750,750,750,58
1743773737,1692.0,1713,1666,1692.0,1666,1713,1500,1500.0,1500,1500,750,750.0,750,750,750,59
1743773738,1691.75,1712,1666,1691.75,1666,1712,1500,1500.0,1500,1500,750,750.0,750,750,750,59
1743773739,151.25,152,151,151.25,151,152,1500,1500.0,1500,1500,204,204.0,204,204,204,56
1743773740,131.75,132,131,131.75,131,132,900,900.0,900,900,122,122.0,122,122,122,50
1743773741,131.75,132,131,131.75,131,132,900,900.0,900,900,122,122.0,122,122,122,47
1743773743,131.75,132,131,131.75,131,132,900,900.0,900,900,122,122.0,122,122,122,46
1743773744,131.75,132,131,131.75,131,132,900,900.0,900,900,122,122.0,122,122,122,45
1743773745,131.75,132,131,131.75,131,132,900,900.0,900,900,121,121.0,121,121,121,45
1743773746,131.75,132,131,131.75,131,132,900,900.0,900,900,121,121.0,121,121,121,45
1743773747,131.75,132,131,131.75,131,132,900,900.0,900,900,121,121.0,121,121,121,45
1743773748,132.125,135,131,132.125,131,135,900,900.0,900,900,122,122.0,122,122,122,45
