Timestamp,gpu0_sclk_avg,gpu0_sclk_max,gpu0_sclk_min,all_gpu_sclk_avg,all_gpu_sclk_min,all_gpu_sclk_max,gpu0_mclk,all_gpu_mclk_avg,all_gpu_mclk_min,all_gpu_mclk_max,gpu0_power,all_gpu_power_avg,all_gpu_power_min,all_gpu_power_max,all_gpu_power_total,gpu0_temp
1743776392,133.25,144,131,133.25,131,144,900,900.0,900,900,119,119.0,119,119,119,42
1743776393,131.875,133,131,131.875,131,133,900,900.0,900,900,119,119.0,119,119,119,42
1743776394,131.875,133,131,131.875,131,133,900,900.0,900,900,119,119.0,119,119,119,42
1743776396,131.75,132,131,131.75,131,132,900,900.0,900,900,119,119.0,119,119,119,42
1743776397,131.75,132,131,131.75,131,132,900,900.0,900,900,119,119.0,119,119,119,42
1743776398,131.75,132,131,131.75,131,132,900,900.0,900,900,119,119.0,119,119,119,42
1743776399,131.75,132,131,131.75,131,132,900,900.0,900,900,118,118.0,118,118,118,42
1743776400,131.75,132,131,131.75,131,132,900,900.0,900,900,119,119.0,119,119,119,42
1743776401,131.75,132,131,131.75,131,132,900,900.0,900,900,118,118.0,118,118,118,42
1743776403,131.75,132,131,131.75,131,132,900,900.0,900,900,119,119.0,119,119,119,42
1743776404,210.625,216,209,210.625,209,216,971,971.0,971,971,136,136.0,136,136,136,42
1743776405,132.0,134,131,132.0,131,134,900,900.0,900,900,119,119.0,119,119,119,42
1743776406,131.875,133,131,131.875,131,133,900,900.0,900,900,119,119.0,119,119,119,42
1743776407,131.75,132,131,131.75,131,132,900,900.0,900,900,119,119.0,119,119,119,42
1743776409,131.75,132,131,131.75,131,132,900,900.0,900,900,119,119.0,119,119,119,42
1743776410,131.75,132,131,131.75,131,132,900,900.0,900,900,119,119.0,119,119,119,42
1743776411,131.75,132,131,131.75,131,132,900,900.0,900,900,119,119.0,119,119,119,42
1743776412,131.75,132,131,131.75,131,132,900,900.0,900,900,119,119.0,119,119,119,42
1743776413,131.75,132,131,131.75,131,132,900,900.0,900,900,119,119.0,119,119,119,42
