Timestamp,gpu0_sclk_avg,gpu0_sclk_max,gpu0_sclk_min,all_gpu_sclk_avg,all_gpu_sclk_min,all_gpu_sclk_max,gpu0_mclk,all_gpu_mclk_avg,all_gpu_mclk_min,all_gpu_mclk_max,gpu0_power,all_gpu_power_avg,all_gpu_power_min,all_gpu_power_max,all_gpu_power_total,gpu0_temp
1743776556,133.375,144,131,133.375,131,144,900,900.0,900,900,119,119.0,119,119,119,42
1743776557,132.0,134,131,132.0,131,134,900,900.0,900,900,119,119.0,119,119,119,42
1743776558,131.875,133,131,131.875,131,133,900,900.0,900,900,119,119.0,119,119,119,42
1743776560,131.75,132,131,131.75,131,132,900,900.0,900,900,119,119.0,119,119,119,42
1743776561,131.75,132,131,131.75,131,132,900,900.0,900,900,118,118.0,118,118,118,42
1743776562,131.875,133,131,131.875,131,133,900,900.0,900,900,119,119.0,119,119,119,42
1743776563,131.75,132,131,131.75,131,132,900,900.0,900,900,119,119.0,119,119,119,42
1743776564,131.875,133,131,131.875,131,133,900,900.0,900,900,119,119.0,119,119,119,42
1743776566,131.875,133,131,131.875,131,133,900,900.0,900,900,119,119.0,119,119,119,42
1743776567,131.875,133,131,131.875,131,133,900,900.0,900,900,119,119.0,119,119,119,42
1743776568,132.125,134,131,132.125,131,134,901,901.0,901,901,120,120.0,120,120,120,42
1743776569,132.5,135,131,132.5,131,135,900,900.0,900,900,119,119.0,119,119,119,42
1743776570,132.25,134,131,132.25,131,134,900,900.0,900,900,119,119.0,119,119,119,42
1743776571,132.0,133,131,132.0,131,133,900,900.0,900,900,119,119.0,119,119,119,42
1743776573,131.75,132,131,131.75,131,132,900,900.0,900,900,118,118.0,118,118,118,42
1743776574,131.875,133,131,131.875,131,133,900,900.0,900,900,119,119.0,119,119,119,42
1743776575,132.5,135,131,132.5,131,135,900,900.0,900,900,118,118.0,118,118,118,42
1743776576,131.875,133,131,131.875,131,133,900,900.0,900,900,118,118.0,118,118,118,42
