Timestamp,gpu0_sclk_avg,gpu0_sclk_max,gpu0_sclk_min,all_gpu_sclk_avg,all_gpu_sclk_min,all_gpu_sclk_max,gpu0_mclk,all_gpu_mclk_avg,all_gpu_mclk_min,all_gpu_mclk_max,gpu0_power,all_gpu_power_avg,all_gpu_power_min,all_gpu_power_max,all_gpu_power_total,gpu0_temp
1743861356,88.875,95,88,88.875,88,95,900,900.0,900,900,112,112.0,112,112,112,46
1743861357,88.125,89,88,88.125,88,89,900,900.0,900,900,111,111.0,111,111,111,46
1743861358,88.125,89,88,88.125,88,89,900,900.0,900,900,112,112.0,112,112,112,46
1743861360,88.125,89,88,88.125,88,89,900,900.0,900,900,112,112.0,112,112,112,45
1743861361,88.125,89,88,88.125,88,89,900,900.0,900,900,111,111.0,111,111,111,45
1743861362,88.125,89,88,88.125,88,89,900,900.0,900,900,112,112.0,112,112,112,45
1743861363,88.0,88,88,88.0,88,88,900,900.0,900,900,111,111.0,111,111,111,45
1743861364,88.0,88,88,88.0,88,88,900,900.0,900,900,111,111.0,111,111,111,45
1743861366,88.0,88,88,88.0,88,88,900,900.0,900,900,111,111.0,111,111,111,45
1743861367,88.0,88,88,88.0,88,88,900,900.0,900,900,111,111.0,111,111,111,45
1743861368,1331.75,1354,1307,1331.75,1307,1354,1494,1494.0,1494,1494,653,653.0,653,653,653,47
1743861369,1333.25,1356,1309,1333.25,1309,1356,1500,1500.0,1500,1500,667,667.0,667,667,667,54
1743861370,1334.0,1356,1309,1334.0,1309,1356,1499,1499.0,1499,1499,649,649.0,649,649,649,56
1743861371,1333.75,1356,1309,1333.75,1309,1356,1500,1500.0,1500,1500,664,664.0,664,664,664,57
1743861373,1336.125,1358,1311,1336.125,1311,1358,1497,1497.0,1497,1497,631,631.0,631,631,631,58
1743861374,1334.625,1357,1311,1334.625,1311,1357,1500,1500.0,1500,1500,683,683.0,683,683,683,58
1743861375,1343.75,1365,1319,1343.75,1319,1365,1489,1489.0,1489,1489,601,601.0,601,601,601,59
1743861376,1334.875,1357,1313,1334.875,1313,1357,1500,1500.0,1500,1500,670,670.0,670,670,670,59
1743861377,1348.625,1373,1327,1348.625,1327,1373,1500,1500.0,1500,1500,621,621.0,621,621,621,60
1743861379,1334.75,1356,1312,1334.75,1312,1356,1500,1500.0,1500,1500,653,653.0,653,653,653,60
1743861380,1334.5,1356,1311,1334.5,1311,1356,1500,1500.0,1500,1500,663,663.0,663,663,663,60
1743861381,1334.75,1356,1312,1334.75,1312,1356,1500,1500.0,1500,1500,665,665.0,665,665,665,60
1743861382,1334.125,1355,1311,1334.125,1311,1355,1500,1500.0,1500,1500,676,676.0,676,676,676,61
1743861383,1334.25,1356,1311,1334.25,1311,1356,1500,1500.0,1500,1500,657,657.0,657,657,657,61
