Timestamp,gpu0_sclk_avg,gpu0_sclk_max,gpu0_sclk_min,all_gpu_sclk_avg,all_gpu_sclk_min,all_gpu_sclk_max,gpu0_mclk,all_gpu_mclk_avg,all_gpu_mclk_min,all_gpu_mclk_max,gpu0_power,all_gpu_power_avg,all_gpu_power_min,all_gpu_power_max,all_gpu_power_total,gpu0_temp
1743866974,89.0,96,88,89.0,88,96,900,900.0,900,900,108,108.0,108,108,108,40
1743866975,88.25,90,88,88.25,88,90,900,900.0,900,900,109,109.0,109,109,109,40
1743866976,88.125,89,88,88.125,88,89,900,900.0,900,900,108,108.0,108,108,108,40
1743866977,88.125,89,88,88.125,88,89,900,900.0,900,900,108,108.0,108,108,108,40
1743866978,88.125,89,88,88.125,88,89,900,900.0,900,900,109,109.0,109,109,109,40
1743866979,88.125,89,88,88.125,88,89,900,900.0,900,900,109,109.0,109,109,109,40
1743866981,88.125,89,88,88.125,88,89,900,900.0,900,900,109,109.0,109,109,109,40
1743866982,88.125,89,88,88.125,88,89,900,900.0,900,900,108,108.0,108,108,108,40
1743866983,88.0,88,88,88.0,88,88,900,900.0,900,900,109,109.0,109,109,109,40
1743866984,88.125,89,88,88.125,88,89,900,900.0,900,900,109,109.0,109,109,109,40
1743866985,432.0,435,429,432.0,429,435,1377,1377.0,1377,1377,177,177.0,177,177,177,40
1743866987,88.25,90,88,88.25,88,90,900,900.0,900,900,108,108.0,108,108,108,40
1743866988,88.125,89,88,88.125,88,89,900,900.0,900,900,108,108.0,108,108,108,40
1743866989,88.125,89,88,88.125,88,89,900,900.0,900,900,108,108.0,108,108,108,40
1743866990,88.125,89,88,88.125,88,89,900,900.0,900,900,109,109.0,109,109,109,40
1743866991,88.125,89,88,88.125,88,89,900,900.0,900,900,109,109.0,109,109,109,40
1743866992,88.25,90,88,88.25,88,90,900,900.0,900,900,108,108.0,108,108,108,40
1743866994,88.125,89,88,88.125,88,89,900,900.0,900,900,109,109.0,109,109,109,40
1743866995,88.125,89,88,88.125,88,89,900,900.0,900,900,109,109.0,109,109,109,40
