Timestamp,GPU
1744580377,1828009288
1744580378,1828009288
1744580379,1828009288
1744580380,1828009288
1744580381,1828009288
1744580382,1828009288
1744580383,1828009288
1744580384,1828009288
1744580385,1828009288
1744580386,1828009288
1744580388,1828009288
1744580389,1828009299
1744580390,1828009323
1744580391,1828009348
1744580392,1828009372
1744580393,1828009397
1744580394,1828009421
1744580395,1828009446
1744580396,1828009470
1744580397,1828009495
1744580399,1828009519
1744580400,1828009544
1744580401,1828009568
1744580402,1828009593
1744580403,1828009617
1744580404,1828009642
1744580405,1828009666
1744580406,1828009691
1744580407,1828009715
1744580408,1828009740
1744580409,1828009764
1744580411,1828009789
1744580412,1828009813
1744580413,1828009838
1744580414,1828009862
1744580415,1828009887
1744580416,1828009911
1744580417,1828009935
1744580418,1828009960
1744580419,1828009984
1744580420,1828010009
1744580421,1828010033
1744580423,1828010058
1744580424,1828010082
1744580425,1828010107
1744580426,1828010131
1744580427,1828010156
1744580428,1828010180
1744580429,1828010205
1744580430,1828010229
1744580431,1828010254
1744580432,1828010278
1744580434,1828010302
1744580435,1828010327
1744580436,1828010352
1744580437,1828010376
1744580438,1828010401
1744580439,1828010425
1744580440,1828010449
1744580441,1828010474
1744580442,1828010498
1744580443,1828010528
1744580444,1828010528
1744580446,1828010528
1744580447,1828010528
1744580448,1828010528
1744580449,1828010528
1744580450,1828010528
1744580451,1828010528
1744580452,1828010528
1744580453,1828010528
