Timestamp,gpu0_sclk_avg,gpu0_sclk_max,gpu0_sclk_min,all_gpu_sclk_avg,all_gpu_sclk_min,all_gpu_sclk_max,gpu0_mclk,all_gpu_mclk_avg,all_gpu_mclk_min,all_gpu_mclk_max,gpu0_power,all_gpu_power_avg,all_gpu_power_min,all_gpu_power_max,all_gpu_power_total,gpu0_temp
1744574390,134.375,154,131,134.375,131,154,900,900.0,900,900,123,123.0,123,123,123,46
1744574391,131.75,133,131,131.75,131,133,900,900.0,900,900,122,122.0,122,122,122,46
1744574392,131.75,133,131,131.75,131,133,900,900.0,900,900,122,122.0,122,122,122,46
1744574393,131.625,132,131,131.625,131,132,900,900.0,900,900,122,122.0,122,122,122,46
1744574395,131.625,132,131,131.625,131,132,900,900.0,900,900,122,122.0,122,122,122,45
1744574396,131.625,132,131,131.625,131,132,900,900.0,900,900,121,121.0,121,121,121,45
1744574397,131.625,132,131,131.625,131,132,900,900.0,900,900,122,122.0,122,122,122,45
1744574398,131.625,132,131,131.625,131,132,900,900.0,900,900,122,122.0,122,122,122,45
1744574399,131.625,132,131,131.625,131,132,900,900.0,900,900,122,122.0,122,122,122,45
1744574401,131.5,132,131,131.5,131,132,900,900.0,900,900,122,122.0,122,122,122,45
1744574402,1998.75,2005,1983,1998.75,1983,2005,1477,1477.0,1477,1477,692,692.0,692,692,692,46
1744574403,2035.25,2042,2019,2035.25,2019,2042,1500,1500.0,1500,1500,728,728.0,728,728,728,53
1744574404,2031.75,2038,2016,2031.75,2016,2038,1500,1500.0,1500,1500,724,724.0,724,724,724,55
1744574405,2032.25,2039,2018,2032.25,2018,2039,1500,1500.0,1500,1500,724,724.0,724,724,724,56
1744574406,2030.5,2037,2015,2030.5,2015,2037,1500,1500.0,1500,1500,734,734.0,734,734,734,57
1744574408,2027.125,2034,2012,2027.125,2012,2034,1500,1500.0,1500,1500,726,726.0,726,726,726,57
1744574409,2028.125,2034,2013,2028.125,2013,2034,1500,1500.0,1500,1500,725,725.0,725,725,725,58
1744574410,2028.0,2034,2014,2028.0,2014,2034,1500,1500.0,1500,1500,729,729.0,729,729,729,58
1744574411,2025.125,2030,2012,2025.125,2012,2030,1500,1500.0,1500,1500,718,718.0,718,718,718,58
1744574412,2026.875,2032,2014,2026.875,2014,2032,1500,1500.0,1500,1500,732,732.0,732,732,732,59
1744574414,2023.625,2029,2011,2023.625,2011,2029,1500,1500.0,1500,1500,720,720.0,720,720,720,59
1744574415,2028.5,2034,2015,2028.5,2015,2034,1499,1499.0,1499,1499,729,729.0,729,729,729,60
1744574416,2028.875,2034,2015,2028.875,2015,2034,1500,1500.0,1500,1500,726,726.0,726,726,726,60
1744574417,2024.625,2031,2011,2024.625,2011,2031,1500,1500.0,1500,1500,727,727.0,727,727,727,61
1744574418,2030.625,2036,2017,2030.625,2017,2036,1500,1500.0,1500,1500,742,742.0,742,742,742,61
1744574419,2021.375,2027,2008,2021.375,2008,2027,1500,1500.0,1500,1500,728,728.0,728,728,728,61
1744574421,2022.875,2029,2009,2022.875,2009,2029,1500,1500.0,1500,1500,734,734.0,734,734,734,62
1744574422,2023.25,2029,2010,2023.25,2010,2029,1500,1500.0,1500,1500,734,734.0,734,734,734,62
1744574423,2019.625,2025,2007,2019.625,2007,2025,1500,1500.0,1500,1500,727,727.0,727,727,727,62
1744574424,2020.875,2026,2008,2020.875,2008,2026,1500,1500.0,1500,1500,733,733.0,733,733,733,62
1744574425,2027.5,2033,2014,2027.5,2014,2033,1500,1500.0,1500,1500,737,737.0,737,737,737,63
1744574426,2028.75,2035,2015,2028.75,2015,2035,1500,1500.0,1500,1500,741,741.0,741,741,741,63
1744574428,2021.25,2027,2008,2021.25,2008,2027,1500,1500.0,1500,1500,731,731.0,731,731,731,63
1744574429,2016.75,2023,2003,2016.75,2003,2023,1500,1500.0,1500,1500,728,728.0,728,728,728,63
1744574430,2021.625,2028,2008,2021.625,2008,2028,1500,1500.0,1500,1500,732,732.0,732,732,732,63
1744574431,2018.875,2025,2006,2018.875,2006,2025,1500,1500.0,1500,1500,728,728.0,728,728,728,63
1744574432,2029.75,2036,2016,2029.75,2016,2036,1500,1500.0,1500,1500,746,746.0,746,746,746,63
1744574434,2027.875,2034,2015,2027.875,2015,2034,1500,1500.0,1500,1500,740,740.0,740,740,740,64
1744574435,2025.875,2032,2012,2025.875,2012,2032,1500,1500.0,1500,1500,737,737.0,737,737,737,64
1744574436,2029.625,2036,2017,2029.625,2017,2036,1500,1500.0,1500,1500,739,739.0,739,739,739,64
1744574437,2022.25,2029,2009,2022.25,2009,2029,1500,1500.0,1500,1500,735,735.0,735,735,735,64
1744574438,2016.125,2022,2003,2016.125,2003,2022,1500,1500.0,1500,1500,724,724.0,724,724,724,64
1744574439,2018.125,2023,2005,2018.125,2005,2023,1500,1500.0,1500,1500,725,725.0,725,725,725,64
1744574441,2016.625,2022,2003,2016.625,2003,2022,1498,1498.0,1498,1498,739,739.0,739,739,739,64
1744574442,2028.0,2035,2014,2028.0,2014,2035,1500,1500.0,1500,1500,738,738.0,738,738,738,64
1744574443,2016.75,2022,2004,2016.75,2004,2022,1500,1500.0,1500,1500,729,729.0,729,729,729,64
1744574444,2018.5,2025,2006,2018.5,2006,2025,1500,1500.0,1500,1500,732,732.0,732,732,732,64
1744574445,2024.375,2031,2011,2024.375,2011,2031,1500,1500.0,1500,1500,744,744.0,744,744,744,64
1744574446,2014.75,2021,2001,2014.75,2001,2021,1500,1500.0,1500,1500,730,730.0,730,730,730,64
1744574448,2022.375,2029,2009,2022.375,2009,2029,1500,1500.0,1500,1500,733,733.0,733,733,733,64
1744574449,2022.25,2028,2010,2022.25,2010,2028,1500,1500.0,1500,1500,741,741.0,741,741,741,64
1744574450,2013.75,2020,2001,2013.75,2001,2020,1500,1500.0,1500,1500,722,722.0,722,722,722,64
