Timestamp,gpu0_sclk_avg,gpu0_sclk_max,gpu0_sclk_min,all_gpu_sclk_avg,all_gpu_sclk_min,all_gpu_sclk_max,gpu0_mclk,all_gpu_mclk_avg,all_gpu_mclk_min,all_gpu_mclk_max,gpu0_power,all_gpu_power_avg,all_gpu_power_min,all_gpu_power_max,all_gpu_power_total,gpu0_temp
1744578357,132.875,142,131,132.875,131,142,900,900.0,900,900,121,121.0,121,121,121,44
1744578358,131.75,133,131,131.75,131,133,900,900.0,900,900,120,120.0,120,120,120,44
1744578359,131.75,133,131,131.75,131,133,900,900.0,900,900,121,121.0,121,121,121,44
1744578360,131.625,132,131,131.625,131,132,900,900.0,900,900,120,120.0,120,120,120,44
1744578361,131.625,132,131,131.625,131,132,900,900.0,900,900,120,120.0,120,120,120,43
1744578363,131.625,132,131,131.625,131,132,900,900.0,900,900,120,120.0,120,120,120,43
1744578364,131.625,132,131,131.625,131,132,900,900.0,900,900,121,121.0,121,121,121,43
1744578365,131.625,132,131,131.625,131,132,900,900.0,900,900,120,120.0,120,120,120,43
1744578366,131.625,132,131,131.625,131,132,900,900.0,900,900,120,120.0,120,120,120,43
1744578367,131.625,132,131,131.625,131,132,900,900.0,900,900,120,120.0,120,120,120,43
1744578369,2035.5,2044,2022,2035.5,2022,2044,1469,1469.0,1469,1469,604,604.0,604,604,604,44
1744578370,2076.125,2086,2060,2076.125,2060,2086,1500,1500.0,1500,1500,632,632.0,632,632,632,51
1744578371,2076.0,2086,2061,2076.0,2061,2086,1500,1500.0,1500,1500,633,633.0,633,633,633,53
1744578372,2076.125,2086,2060,2076.125,2060,2086,1500,1500.0,1500,1500,631,631.0,631,631,631,54
1744578373,2076.0,2086,2060,2076.0,2060,2086,1500,1500.0,1500,1500,633,633.0,633,633,633,55
1744578374,2076.25,2087,2060,2076.25,2060,2087,1500,1500.0,1500,1500,635,635.0,635,635,635,55
1744578376,2071.625,2082,2056,2071.625,2056,2082,1499,1499.0,1499,1499,636,636.0,636,636,636,56
1744578377,2076.25,2086,2060,2076.25,2060,2086,1500,1500.0,1500,1500,636,636.0,636,636,636,56
1744578378,2076.625,2087,2060,2076.625,2060,2087,1500,1500.0,1500,1500,636,636.0,636,636,636,57
1744578379,2076.375,2086,2061,2076.375,2061,2086,1500,1500.0,1500,1500,637,637.0,637,637,637,57
1744578380,2076.5,2086,2060,2076.5,2060,2086,1500,1500.0,1500,1500,639,639.0,639,639,639,57
1744578382,2076.25,2086,2060,2076.25,2060,2086,1500,1500.0,1500,1500,639,639.0,639,639,639,58
1744578383,2076.375,2086,2060,2076.375,2060,2086,1500,1500.0,1500,1500,638,638.0,638,638,638,58
1744578384,2076.25,2086,2060,2076.25,2060,2086,1500,1500.0,1500,1500,641,641.0,641,641,641,58
1744578385,2076.125,2085,2060,2076.125,2060,2085,1500,1500.0,1500,1500,639,639.0,639,639,639,59
1744578386,2075.625,2086,2059,2075.625,2059,2086,1500,1500.0,1500,1500,640,640.0,640,640,640,59
1744578387,2076.125,2086,2059,2076.125,2059,2086,1500,1500.0,1500,1500,640,640.0,640,640,640,59
1744578389,2076.125,2086,2060,2076.125,2060,2086,1500,1500.0,1500,1500,642,642.0,642,642,642,60
1744578390,2075.875,2086,2059,2075.875,2059,2086,1500,1500.0,1500,1500,642,642.0,642,642,642,60
1744578391,2075.875,2086,2059,2075.875,2059,2086,1500,1500.0,1500,1500,641,641.0,641,641,641,60
1744578392,2076.25,2086,2060,2076.25,2060,2086,1500,1500.0,1500,1500,642,642.0,642,642,642,60
1744578393,2076.0,2086,2060,2076.0,2060,2086,1500,1500.0,1500,1500,641,641.0,641,641,641,60
1744578394,2076.25,2086,2060,2076.25,2060,2086,1500,1500.0,1500,1500,643,643.0,643,643,643,61
1744578396,2076.0,2086,2060,2076.0,2060,2086,1500,1500.0,1500,1500,644,644.0,644,644,644,61
1744578397,2076.125,2086,2060,2076.125,2060,2086,1500,1500.0,1500,1500,644,644.0,644,644,644,61
1744578398,2076.25,2086,2060,2076.25,2060,2086,1500,1500.0,1500,1500,642,642.0,642,642,642,61
1744578399,2076.375,2086,2060,2076.375,2060,2086,1500,1500.0,1500,1500,644,644.0,644,644,644,61
1744578400,2076.25,2086,2060,2076.25,2060,2086,1500,1500.0,1500,1500,644,644.0,644,644,644,61
1744578402,2070.75,2081,2055,2070.75,2055,2081,1499,1499.0,1499,1499,645,645.0,645,645,645,61
1744578403,2076.125,2086,2060,2076.125,2060,2086,1500,1500.0,1500,1500,644,644.0,644,644,644,61
1744578404,2076.0,2086,2060,2076.0,2060,2086,1500,1500.0,1500,1500,645,645.0,645,645,645,62
1744578405,2075.75,2086,2060,2075.75,2060,2086,1500,1500.0,1500,1500,649,649.0,649,649,649,62
1744578406,2075.75,2086,2060,2075.75,2060,2086,1500,1500.0,1500,1500,647,647.0,647,647,647,62
1744578407,2075.875,2086,2060,2075.875,2060,2086,1500,1500.0,1500,1500,646,646.0,646,646,646,62
1744578409,2075.625,2086,2059,2075.625,2059,2086,1500,1500.0,1500,1500,643,643.0,643,643,643,62
1744578410,2075.75,2086,2059,2075.75,2059,2086,1500,1500.0,1500,1500,646,646.0,646,646,646,62
1744578411,2076.25,2086,2059,2076.25,2059,2086,1500,1500.0,1500,1500,648,648.0,648,648,648,62
1744578412,2075.25,2086,2058,2075.25,2058,2086,1500,1500.0,1500,1500,646,646.0,646,646,646,62
1744578413,2075.625,2086,2059,2075.625,2059,2086,1500,1500.0,1500,1500,647,647.0,647,647,647,62
1744578414,2075.75,2086,2059,2075.75,2059,2086,1500,1500.0,1500,1500,645,645.0,645,645,645,62
1744578416,2076.0,2086,2060,2076.0,2060,2086,1500,1500.0,1500,1500,645,645.0,645,645,645,62
1744578417,2051.0,2059,2033,2051.0,2033,2059,1494,1494.0,1494,1494,641,641.0,641,641,641,62
1744578418,2075.625,2086,2059,2075.625,2059,2086,1500,1500.0,1500,1500,644,644.0,644,644,644,62
1744578419,2075.875,2086,2059,2075.875,2059,2086,1500,1500.0,1500,1500,646,646.0,646,646,646,62
1744578420,2075.75,2086,2059,2075.75,2059,2086,1500,1500.0,1500,1500,647,647.0,647,647,647,62
1744578422,2075.875,2086,2059,2075.875,2059,2086,1500,1500.0,1500,1500,647,647.0,647,647,647,62
1744578423,2075.875,2086,2059,2075.875,2059,2086,1500,1500.0,1500,1500,646,646.0,646,646,646,62
1744578424,2075.625,2085,2059,2075.625,2059,2085,1500,1500.0,1500,1500,644,644.0,644,644,644,62
1744578425,2075.75,2085,2059,2075.75,2059,2085,1500,1500.0,1500,1500,647,647.0,647,647,647,62
1744578426,2075.625,2085,2059,2075.625,2059,2085,1500,1500.0,1500,1500,646,646.0,646,646,646,62
1744578427,2072.75,2083,2056,2072.75,2056,2083,1499,1499.0,1499,1499,645,645.0,645,645,645,62
1744578429,2075.875,2086,2059,2075.875,2059,2086,1500,1500.0,1500,1500,647,647.0,647,647,647,62
1744578430,2075.625,2086,2058,2075.625,2058,2086,1500,1500.0,1500,1500,646,646.0,646,646,646,62
1744578431,2075.875,2086,2059,2075.875,2059,2086,1500,1500.0,1500,1500,646,646.0,646,646,646,62
