Timestamp,GPU
1744619998,2382162021
1744619999,2382162021
1744620000,2382162021
1744620001,2382162021
1744620002,2382162021
1744620003,2382162021
1744620004,2382162021
1744620005,2382162021
1744620007,2382162021
1744620008,2382162021
1744620009,2382162021
1744620010,2382162023
1744620011,2382162029
1744620012,2382162034
1744620013,2382162039
1744620014,2382162045
1744620015,2382162050
1744620016,2382162055
1744620017,2382162061
1744620019,2382162066
1744620020,2382162071
1744620021,2382162076
1744620022,2382162082
1744620023,2382162087
1744620024,2382162092
1744620025,2382162098
1744620026,2382162103
1744620027,2382162108
1744620028,2382162114
1744620029,2382162119
1744620031,2382162124
1744620032,2382162130
1744620033,2382162135
1744620034,2382162140
1744620035,2382162146
1744620036,2382162151
1744620037,2382162156
1744620038,2382162162
1744620039,2382162167
1744620040,2382162172
1744620042,2382162172
1744620043,2382162172
1744620044,2382162172
1744620045,2382162172
1744620046,2382162172
1744620047,2382162172
1744620048,2382162172
1744620049,2382162172
