Timestamp,gpu0_sclk_avg,gpu0_sclk_max,gpu0_sclk_min,all_gpu_sclk_avg,all_gpu_sclk_min,all_gpu_sclk_max,gpu0_mclk,all_gpu_mclk_avg,all_gpu_mclk_min,all_gpu_mclk_max,gpu0_power,all_gpu_power_avg,all_gpu_power_min,all_gpu_power_max,all_gpu_power_total,gpu0_temp
1744613387,132.875,142,131,132.875,131,142,900,900.0,900,900,123,123.0,123,123,123,47
1744613388,131.75,133,131,131.75,131,133,900,900.0,900,900,122,122.0,122,122,122,46
1744613390,131.75,133,131,131.75,131,133,900,900.0,900,900,122,122.0,122,122,122,46
1744613391,131.625,132,131,131.625,131,132,900,900.0,900,900,123,123.0,123,123,123,46
1744613392,131.625,132,131,131.625,131,132,900,900.0,900,900,122,122.0,122,122,122,46
1744613393,131.625,132,131,131.625,131,132,900,900.0,900,900,123,123.0,123,123,123,46
1744613394,131.625,132,131,131.625,131,132,900,900.0,900,900,123,123.0,123,123,123,46
1744613395,131.625,132,131,131.625,131,132,900,900.0,900,900,123,123.0,123,123,123,46
1744613397,131.625,132,131,131.625,131,132,900,900.0,900,900,123,123.0,123,123,123,46
1744613398,131.625,132,131,131.625,131,132,900,900.0,900,900,122,122.0,122,122,122,46
1744613399,2022.5,2029,2008,2022.5,2008,2029,1486,1486.0,1486,1486,652,652.0,652,652,652,48
1744613400,2036.625,2041,2024,2036.625,2024,2041,1500,1500.0,1500,1500,667,667.0,667,667,667,54
1744613401,2034.875,2039,2024,2034.875,2024,2039,1500,1500.0,1500,1500,667,667.0,667,667,667,57
1744613403,2029.75,2034,2018,2029.75,2018,2034,1500,1500.0,1500,1500,664,664.0,664,664,664,58
1744613404,2034.5,2039,2024,2034.5,2024,2039,1500,1500.0,1500,1500,669,669.0,669,669,669,58
1744613405,2036.875,2041,2025,2036.875,2025,2041,1500,1500.0,1500,1500,671,671.0,671,671,671,59
1744613406,2031.875,2037,2020,2031.875,2020,2037,1500,1500.0,1500,1500,671,671.0,671,671,671,59
1744613407,2030.5,2035,2019,2030.5,2019,2035,1500,1500.0,1500,1500,667,667.0,667,667,667,60
1744613408,2032.5,2037,2021,2032.5,2021,2037,1500,1500.0,1500,1500,673,673.0,673,673,673,60
1744613410,2035.625,2040,2024,2035.625,2024,2040,1500,1500.0,1500,1500,674,674.0,674,674,674,60
1744613411,2033.875,2039,2022,2033.875,2022,2039,1500,1500.0,1500,1500,674,674.0,674,674,674,61
1744613412,2032.0,2038,2021,2032.0,2021,2038,1500,1500.0,1500,1500,675,675.0,675,675,675,61
1744613413,2029.25,2034,2018,2029.25,2018,2034,1500,1500.0,1500,1500,674,674.0,674,674,674,61
1744613414,2026.25,2032,2014,2026.25,2014,2032,1500,1500.0,1500,1500,672,672.0,672,672,672,62
1744613416,2027.25,2032,2015,2027.25,2015,2032,1500,1500.0,1500,1500,671,671.0,671,671,671,62
1744613417,2030.375,2036,2017,2030.375,2017,2036,1500,1500.0,1500,1500,677,677.0,677,677,677,62
1744613418,2028.625,2034,2016,2028.625,2016,2034,1500,1500.0,1500,1500,676,676.0,676,676,676,63
1744613419,2024.875,2030,2011,2024.875,2011,2030,1500,1500.0,1500,1500,673,673.0,673,673,673,63
1744613420,2023.25,2029,2011,2023.25,2011,2029,1500,1500.0,1500,1500,671,671.0,671,671,671,63
1744613421,2025.875,2031,2013,2025.875,2013,2031,1500,1500.0,1500,1500,673,673.0,673,673,673,63
1744613423,2028.125,2034,2015,2028.125,2015,2034,1500,1500.0,1500,1500,677,677.0,677,677,677,64
1744613424,2027.0,2033,2014,2027.0,2014,2033,1500,1500.0,1500,1500,680,680.0,680,680,680,64
1744613425,2024.875,2030,2012,2024.875,2012,2030,1500,1500.0,1500,1500,675,675.0,675,675,675,64
1744613426,2022.375,2027,2009,2022.375,2009,2027,1500,1500.0,1500,1500,672,672.0,672,672,672,64
1744613427,2026.625,2032,2013,2026.625,2013,2032,1500,1500.0,1500,1500,677,677.0,677,677,677,64
1744613428,2028.875,2034,2016,2028.875,2016,2034,1500,1500.0,1500,1500,679,679.0,679,679,679,64
