Timestamp,gpu0_sclk_avg,gpu0_sclk_max,gpu0_sclk_min,all_gpu_sclk_avg,all_gpu_sclk_min,all_gpu_sclk_max,gpu0_mclk,all_gpu_mclk_avg,all_gpu_mclk_min,all_gpu_mclk_max,gpu0_power,all_gpu_power_avg,all_gpu_power_min,all_gpu_power_max,all_gpu_power_total,gpu0_temp
1744615311,133.125,144,131,133.125,131,144,900,900.0,900,900,122,122.0,122,122,122,45
1744615312,131.875,134,131,131.875,131,134,900,900.0,900,900,122,122.0,122,122,122,45
1744615313,131.75,133,131,131.75,131,133,900,900.0,900,900,122,122.0,122,122,122,45
1744615314,131.625,132,131,131.625,131,132,900,900.0,900,900,121,121.0,121,121,121,45
1744615315,131.625,132,131,131.625,131,132,900,900.0,900,900,122,122.0,122,122,122,45
1744615316,131.625,132,131,131.625,131,132,900,900.0,900,900,122,122.0,122,122,122,45
1744615318,131.625,132,131,131.625,131,132,900,900.0,900,900,121,121.0,121,121,121,45
1744615319,131.625,132,131,131.625,131,132,900,900.0,900,900,121,121.0,121,121,121,45
1744615320,131.625,132,131,131.625,131,132,900,900.0,900,900,121,121.0,121,121,121,45
1744615321,131.625,132,131,131.625,131,132,900,900.0,900,900,122,122.0,122,122,122,45
1744615322,2038.25,2047,2022,2038.25,2022,2047,1472,1472.0,1472,1472,604,604.0,604,604,604,46
1744615324,2076.5,2086,2060,2076.5,2060,2086,1500,1500.0,1500,1500,632,632.0,632,632,632,52
1744615325,2076.625,2086,2060,2076.625,2060,2086,1500,1500.0,1500,1500,632,632.0,632,632,632,55
1744615326,2076.875,2087,2060,2076.875,2060,2087,1500,1500.0,1500,1500,634,634.0,634,634,634,56
1744615327,2076.5,2087,2059,2076.5,2059,2087,1500,1500.0,1500,1500,634,634.0,634,634,634,57
1744615328,2077.0,2087,2060,2077.0,2060,2087,1500,1500.0,1500,1500,634,634.0,634,634,634,57
1744615329,2076.625,2086,2059,2076.625,2059,2086,1500,1500.0,1500,1500,638,638.0,638,638,638,58
1744615331,2076.875,2087,2059,2076.875,2059,2087,1500,1500.0,1500,1500,636,636.0,636,636,636,58
1744615332,2076.875,2086,2060,2076.875,2060,2086,1500,1500.0,1500,1500,638,638.0,638,638,638,58
1744615333,2076.875,2087,2060,2076.875,2060,2087,1500,1500.0,1500,1500,636,636.0,636,636,636,59
1744615334,2076.625,2087,2060,2076.625,2060,2087,1500,1500.0,1500,1500,639,639.0,639,639,639,59
1744615335,2076.5,2087,2060,2076.5,2060,2087,1500,1500.0,1500,1500,641,641.0,641,641,641,59
1744615336,2076.75,2087,2060,2076.75,2060,2087,1500,1500.0,1500,1500,640,640.0,640,640,640,60
1744615338,2076.75,2087,2060,2076.75,2060,2087,1500,1500.0,1500,1500,640,640.0,640,640,640,60
1744615339,2076.625,2087,2059,2076.625,2059,2087,1500,1500.0,1500,1500,642,642.0,642,642,642,60
1744615340,2076.875,2087,2059,2076.875,2059,2087,1500,1500.0,1500,1500,640,640.0,640,640,640,61
1744615341,2076.875,2087,2059,2076.875,2059,2087,1500,1500.0,1500,1500,643,643.0,643,643,643,61
1744615342,2076.5,2086,2059,2076.5,2059,2086,1500,1500.0,1500,1500,641,641.0,641,641,641,61
1744615344,2076.875,2087,2060,2076.875,2060,2087,1500,1500.0,1500,1500,643,643.0,643,643,643,61
1744615345,2076.375,2087,2059,2076.375,2059,2087,1500,1500.0,1500,1500,643,643.0,643,643,643,62
1744615346,2076.875,2087,2060,2076.875,2060,2087,1500,1500.0,1500,1500,644,644.0,644,644,644,62
1744615347,2076.625,2087,2059,2076.625,2059,2087,1500,1500.0,1500,1500,644,644.0,644,644,644,62
1744615348,2076.5,2087,2058,2076.5,2058,2087,1500,1500.0,1500,1500,645,645.0,645,645,645,62
1744615349,2076.5,2086,2059,2076.5,2059,2086,1500,1500.0,1500,1500,645,645.0,645,645,645,62
1744615351,2076.625,2087,2059,2076.625,2059,2087,1500,1500.0,1500,1500,645,645.0,645,645,645,63
1744615352,2076.5,2086,2059,2076.5,2059,2086,1500,1500.0,1500,1500,647,647.0,647,647,647,63
1744615353,2076.375,2086,2059,2076.375,2059,2086,1500,1500.0,1500,1500,644,644.0,644,644,644,63
1744615354,2076.375,2087,2059,2076.375,2059,2087,1500,1500.0,1500,1500,645,645.0,645,645,645,63
1744615355,2076.75,2087,2059,2076.75,2059,2087,1500,1500.0,1500,1500,647,647.0,647,647,647,63
1744615356,2076.625,2087,2059,2076.625,2059,2087,1500,1500.0,1500,1500,645,645.0,645,645,645,63
1744615358,2076.5,2086,2059,2076.5,2059,2086,1500,1500.0,1500,1500,646,646.0,646,646,646,63
1744615359,2076.5,2086,2059,2076.5,2059,2086,1500,1500.0,1500,1500,646,646.0,646,646,646,63
1744615360,2076.25,2086,2058,2076.25,2058,2086,1500,1500.0,1500,1500,648,648.0,648,648,648,63
1744615361,2076.25,2086,2059,2076.25,2059,2086,1500,1500.0,1500,1500,648,648.0,648,648,648,63
1744615362,2076.0,2086,2058,2076.0,2058,2086,1500,1500.0,1500,1500,647,647.0,647,647,647,63
1744615364,2075.875,2086,2058,2075.875,2058,2086,1500,1500.0,1500,1500,650,650.0,650,650,650,64
1744615365,2076.375,2086,2059,2076.375,2059,2086,1500,1500.0,1500,1500,645,645.0,645,645,645,64
1744615366,2076.5,2086,2059,2076.5,2059,2086,1500,1500.0,1500,1500,647,647.0,647,647,647,64
1744615367,2076.125,2086,2059,2076.125,2059,2086,1500,1500.0,1500,1500,646,646.0,646,646,646,64
1744615368,2076.25,2086,2059,2076.25,2059,2086,1500,1500.0,1500,1500,647,647.0,647,647,647,64
1744615369,2076.5,2086,2059,2076.5,2059,2086,1500,1500.0,1500,1500,645,645.0,645,645,645,64
1744615371,2076.625,2086,2059,2076.625,2059,2086,1500,1500.0,1500,1500,649,649.0,649,649,649,64
1744615372,2076.25,2086,2059,2076.25,2059,2086,1500,1500.0,1500,1500,647,647.0,647,647,647,64
1744615373,2076.25,2087,2059,2076.25,2059,2087,1500,1500.0,1500,1500,647,647.0,647,647,647,64
1744615374,2076.375,2087,2059,2076.375,2059,2087,1500,1500.0,1500,1500,647,647.0,647,647,647,64
1744615375,2076.0,2086,2058,2076.0,2058,2086,1500,1500.0,1500,1500,648,648.0,648,648,648,64
1744615376,2075.625,2086,2058,2075.625,2058,2086,1500,1500.0,1500,1500,648,648.0,648,648,648,64
1744615378,2076.0,2087,2058,2076.0,2058,2087,1500,1500.0,1500,1500,647,647.0,647,647,647,64
1744615379,2076.125,2087,2058,2076.125,2058,2087,1500,1500.0,1500,1500,649,649.0,649,649,649,64
1744615380,2076.375,2087,2059,2076.375,2059,2087,1500,1500.0,1500,1500,649,649.0,649,649,649,64
1744615381,2076.25,2087,2058,2076.25,2058,2087,1500,1500.0,1500,1500,649,649.0,649,649,649,64
1744615382,2076.125,2086,2058,2076.125,2058,2086,1500,1500.0,1500,1500,648,648.0,648,648,648,64
1744615383,2076.25,2087,2058,2076.25,2058,2087,1500,1500.0,1500,1500,648,648.0,648,648,648,64
1744615385,2076.25,2087,2058,2076.25,2058,2087,1500,1500.0,1500,1500,648,648.0,648,648,648,64
1744615386,2076.0,2086,2058,2076.0,2058,2086,1500,1500.0,1500,1500,649,649.0,649,649,649,64
1744615387,2076.0,2086,2058,2076.0,2058,2086,1500,1500.0,1500,1500,651,651.0,651,651,651,64
1744615388,2076.375,2087,2058,2076.375,2058,2087,1500,1500.0,1500,1500,650,650.0,650,650,650,65
1744615389,2075.625,2085,2058,2075.625,2058,2085,1500,1500.0,1500,1500,649,649.0,649,649,649,65
1744615391,2076.125,2086,2059,2076.125,2059,2086,1500,1500.0,1500,1500,652,652.0,652,652,652,65
1744615392,2076.25,2087,2058,2076.25,2058,2087,1500,1500.0,1500,1500,650,650.0,650,650,650,65
1744615393,2076.125,2087,2058,2076.125,2058,2087,1500,1500.0,1500,1500,649,649.0,649,649,649,65
1744615394,2076.0,2087,2058,2076.0,2058,2087,1500,1500.0,1500,1500,649,649.0,649,649,649,65
1744615395,2075.125,2084,2058,2075.125,2058,2084,1500,1500.0,1500,1500,651,651.0,651,651,651,65
1744615396,2075.25,2084,2058,2075.25,2058,2084,1500,1500.0,1500,1500,650,650.0,650,650,650,65
1744615398,2075.125,2084,2058,2075.125,2058,2084,1500,1500.0,1500,1500,650,650.0,650,650,650,66
1744615399,2075.25,2085,2058,2075.25,2058,2085,1500,1500.0,1500,1500,653,653.0,653,653,653,66
1744615400,2075.25,2085,2059,2075.25,2059,2085,1500,1500.0,1500,1500,651,651.0,651,651,651,66
1744615401,2075.375,2085,2058,2075.375,2058,2085,1500,1500.0,1500,1500,653,653.0,653,653,653,66
1744615402,2075.125,2085,2058,2075.125,2058,2085,1500,1500.0,1500,1500,652,652.0,652,652,652,66
1744615403,2075.125,2085,2058,2075.125,2058,2085,1500,1500.0,1500,1500,651,651.0,651,651,651,66
1744615405,2075.25,2085,2058,2075.25,2058,2085,1500,1500.0,1500,1500,653,653.0,653,653,653,66
1744615406,2075.25,2085,2058,2075.25,2058,2085,1500,1500.0,1500,1500,654,654.0,654,654,654,66
1744615407,2075.25,2085,2058,2075.25,2058,2085,1500,1500.0,1500,1500,654,654.0,654,654,654,67
1744615408,2075.0,2085,2058,2075.0,2058,2085,1500,1500.0,1500,1500,653,653.0,653,653,653,67
1744615409,2075.0,2085,2058,2075.0,2058,2085,1500,1500.0,1500,1500,655,655.0,655,655,655,67
1744615410,2075.0,2085,2058,2075.0,2058,2085,1500,1500.0,1500,1500,655,655.0,655,655,655,67
1744615412,2074.5,2085,2057,2074.5,2057,2085,1500,1500.0,1500,1500,655,655.0,655,655,655,67
1744615413,2075.0,2085,2057,2075.0,2057,2085,1500,1500.0,1500,1500,654,654.0,654,654,654,67
1744615414,2075.0,2085,2058,2075.0,2058,2085,1500,1500.0,1500,1500,656,656.0,656,656,656,67
1744615415,2075.0,2085,2057,2075.0,2057,2085,1500,1500.0,1500,1500,655,655.0,655,655,655,67
1744615416,2074.875,2084,2057,2074.875,2057,2084,1500,1500.0,1500,1500,656,656.0,656,656,656,68
1744615418,2075.125,2085,2058,2075.125,2058,2085,1500,1500.0,1500,1500,655,655.0,655,655,655,68
1744615419,2074.75,2085,2058,2074.75,2058,2085,1500,1500.0,1500,1500,658,658.0,658,658,658,68
1744615420,2074.625,2085,2057,2074.625,2057,2085,1500,1500.0,1500,1500,656,656.0,656,656,656,68
1744615421,2074.75,2085,2057,2074.75,2057,2085,1500,1500.0,1500,1500,657,657.0,657,657,657,68
1744615422,2074.625,2084,2057,2074.625,2057,2084,1500,1500.0,1500,1500,656,656.0,656,656,656,68
1744615423,2074.625,2085,2057,2074.625,2057,2085,1500,1500.0,1500,1500,658,658.0,658,658,658,68
1744615425,2080.125,2088,2065,2080.125,2065,2088,1500,1500.0,1500,1500,558,558.0,558,558,558,68
1744615426,131.625,132,131,131.625,131,132,900,900.0,900,900,135,135.0,135,135,135,61
1744615427,131.625,132,131,131.625,131,132,900,900.0,900,900,133,133.0,133,133,133,58
1744615428,131.625,132,131,131.625,131,132,900,900.0,900,900,133,133.0,133,133,133,56
1744615429,131.625,132,131,131.625,131,132,900,900.0,900,900,133,133.0,133,133,133,56
1744615430,131.625,132,131,131.625,131,132,900,900.0,900,900,132,132.0,132,132,132,55
1744615432,131.625,132,131,131.625,131,132,900,900.0,900,900,132,132.0,132,132,132,55
