Timestamp,gpu0_sclk_avg,gpu0_sclk_max,gpu0_sclk_min,all_gpu_sclk_avg,all_gpu_sclk_min,all_gpu_sclk_max,gpu0_mclk,all_gpu_mclk_avg,all_gpu_mclk_min,all_gpu_mclk_max,gpu0_power,all_gpu_power_avg,all_gpu_power_min,all_gpu_power_max,all_gpu_power_total,gpu0_temp
1744619320,133.0,143,131,133.0,131,143,900,900.0,900,900,120,120.0,120,120,120,43
1744619321,131.875,134,131,131.875,131,134,900,900.0,900,900,120,120.0,120,120,120,43
1744619323,131.75,133,131,131.75,131,133,900,900.0,900,900,120,120.0,120,120,120,43
1744619324,131.625,132,131,131.625,131,132,900,900.0,900,900,120,120.0,120,120,120,43
1744619325,131.625,132,131,131.625,131,132,900,900.0,900,900,119,119.0,119,119,119,43
1744619326,131.625,132,131,131.625,131,132,900,900.0,900,900,120,120.0,120,120,120,43
1744619327,131.625,132,131,131.625,131,132,900,900.0,900,900,120,120.0,120,120,120,43
1744619328,131.625,132,131,131.625,131,132,900,900.0,900,900,119,119.0,119,119,119,43
1744619330,131.625,132,131,131.625,131,132,900,900.0,900,900,119,119.0,119,119,119,42
1744619331,131.625,132,131,131.625,131,132,900,900.0,900,900,119,119.0,119,119,119,42
1744619332,2034.0,2042,2024,2034.0,2024,2042,1461,1461.0,1461,1461,324,324.0,324,324,324,43
1744619333,2084.875,2094,2074,2084.875,2074,2094,1500,1500.0,1500,1500,338,338.0,338,338,338,44
1744619334,2085.0,2094,2074,2085.0,2074,2094,1500,1500.0,1500,1500,340,340.0,340,340,340,45
1744619336,2085.125,2094,2075,2085.125,2075,2094,1500,1500.0,1500,1500,336,336.0,336,336,336,46
1744619337,2085.125,2094,2075,2085.125,2075,2094,1500,1500.0,1500,1500,340,340.0,340,340,340,46
1744619338,2085.25,2093,2075,2085.25,2075,2093,1500,1500.0,1500,1500,337,337.0,337,337,337,46
1744619339,2085.25,2094,2075,2085.25,2075,2094,1500,1500.0,1500,1500,339,339.0,339,339,339,46
1744619340,2085.125,2093,2075,2085.125,2075,2093,1500,1500.0,1500,1500,340,340.0,340,340,340,46
1744619341,2085.0,2093,2074,2085.0,2074,2093,1500,1500.0,1500,1500,341,341.0,341,341,341,47
1744619343,2085.125,2093,2074,2085.125,2074,2093,1500,1500.0,1500,1500,339,339.0,339,339,339,47
1744619344,2085.125,2094,2074,2085.125,2074,2094,1500,1500.0,1500,1500,339,339.0,339,339,339,47
1744619345,2085.25,2094,2075,2085.25,2075,2094,1500,1500.0,1500,1500,341,341.0,341,341,341,47
1744619346,2085.625,2094,2075,2085.625,2075,2094,1500,1500.0,1500,1500,341,341.0,341,341,341,47
1744619347,2085.375,2094,2074,2085.375,2074,2094,1500,1500.0,1500,1500,340,340.0,340,340,340,47
1744619348,2085.75,2093,2075,2085.75,2075,2093,1500,1500.0,1500,1500,341,341.0,341,341,341,47
1744619350,2085.375,2093,2074,2085.375,2074,2093,1500,1500.0,1500,1500,342,342.0,342,342,342,47
1744619351,2085.875,2094,2074,2085.875,2074,2094,1500,1500.0,1500,1500,340,340.0,340,340,340,48
1744619352,2085.75,2093,2075,2085.75,2075,2093,1500,1500.0,1500,1500,342,342.0,342,342,342,48
1744619353,2085.625,2093,2074,2085.625,2074,2093,1500,1500.0,1500,1500,341,341.0,341,341,341,48
1744619354,2085.625,2093,2075,2085.625,2075,2093,1500,1500.0,1500,1500,342,342.0,342,342,342,48
1744619356,2085.75,2092,2075,2085.75,2075,2092,1500,1500.0,1500,1500,343,343.0,343,343,343,48
1744619357,2085.625,2093,2074,2085.625,2074,2093,1500,1500.0,1500,1500,343,343.0,343,343,343,48
1744619358,2085.5,2093,2074,2085.5,2074,2093,1500,1500.0,1500,1500,339,339.0,339,339,339,48
1744619359,2085.875,2093,2074,2085.875,2074,2093,1500,1500.0,1500,1500,344,344.0,344,344,344,48
1744619360,2085.625,2093,2074,2085.625,2074,2093,1500,1500.0,1500,1500,343,343.0,343,343,343,48
1744619361,2085.5,2093,2074,2085.5,2074,2093,1500,1500.0,1500,1500,343,343.0,343,343,343,49
1744619363,2085.75,2093,2074,2085.75,2074,2093,1500,1500.0,1500,1500,342,342.0,342,342,342,49
1744619364,2086.0,2094,2075,2086.0,2075,2094,1500,1500.0,1500,1500,341,341.0,341,341,341,49
1744619365,2085.625,2093,2074,2085.625,2074,2093,1500,1500.0,1500,1500,344,344.0,344,344,344,49
1744619366,2085.875,2093,2075,2085.875,2075,2093,1500,1500.0,1500,1500,343,343.0,343,343,343,49
1744619367,2085.75,2093,2074,2085.75,2074,2093,1500,1500.0,1500,1500,343,343.0,343,343,343,49
1744619369,2085.75,2093,2074,2085.75,2074,2093,1500,1500.0,1500,1500,342,342.0,342,342,342,49
1744619370,2085.5,2092,2074,2085.5,2074,2092,1500,1500.0,1500,1500,343,343.0,343,343,343,49
1744619371,2085.875,2092,2075,2085.875,2075,2092,1500,1500.0,1500,1500,343,343.0,343,343,343,49
1744619372,2086.125,2093,2075,2086.125,2075,2093,1500,1500.0,1500,1500,343,343.0,343,343,343,49
1744619373,2085.75,2092,2075,2085.75,2075,2092,1500,1500.0,1500,1500,343,343.0,343,343,343,49
