Timestamp,GPU
1744681064,2938851326
1744681065,2938851326
1744681066,2938851326
1744681067,2938851326
1744681069,2938851326
1744681070,2938851326
1744681071,2938851326
1744681072,2938851326
1744681073,2938851326
1744681074,2938851326
1744681075,2938851326
1744681076,2938851329
1744681077,2938851335
1744681078,2938851340
1744681079,2938851346
1744681081,2938851351
1744681082,2938851357
1744681083,2938851362
1744681084,2938851368
1744681085,2938851373
1744681086,2938851379
1744681087,2938851384
1744681088,2938851389
1744681089,2938851395
1744681090,2938851400
1744681091,2938851406
1744681093,2938851411
1744681094,2938851417
1744681095,2938851422
1744681096,2938851428
1744681097,2938851433
1744681098,2938851439
1744681099,2938851444
1744681100,2938851450
1744681101,2938851455
1744681102,2938851461
1744681104,2938851466
1744681105,2938851472
1744681106,2938851477
1744681107,2938851483
1744681108,2938851488
1744681109,2938851494
1744681110,2938851499
1744681111,2938851505
1744681112,2938851510
1744681113,2938851516
1744681114,2938851521
1744681116,2938851527
1744681117,2938851532
1744681118,2938851538
1744681119,2938851543
1744681120,2938851549
1744681121,2938851554
1744681122,2938851560
1744681123,2938851565
1744681124,2938851570
1744681125,2938851576
1744681126,2938851581
1744681128,2938851587
1744681129,2938851592
1744681130,2938851598
1744681131,2938851603
1744681132,2938851610
1744681133,2938851612
1744681134,2938851612
1744681135,2938851612
1744681136,2938851612
1744681137,2938851612
1744681138,2938851612
1744681140,2938851612
1744681141,2938851612
1744681142,2938851612
