Timestamp,GPU
1744682043,2938852717
1744682044,2938852717
1744682045,2938852717
1744682047,2938852717
1744682048,2938852717
1744682049,2938852717
1744682050,2938852717
1744682051,2938852717
1744682052,2938852717
1744682053,2938852717
1744682054,2938852717
1744682055,2938852719
1744682056,2938852723
1744682057,2938852728
1744682059,2938852732
1744682060,2938852736
1744682061,2938852740
1744682062,2938852745
1744682063,2938852749
1744682064,2938852753
1744682065,2938852757
1744682066,2938852762
1744682067,2938852766
1744682068,2938852770
1744682070,2938852774
1744682071,2938852779
1744682072,2938852783
1744682073,2938852787
1744682074,2938852791
1744682075,2938852796
1744682076,2938852800
1744682077,2938852804
1744682078,2938852808
1744682079,2938852813
1744682080,2938852817
1744682082,2938852821
1744682083,2938852825
1744682084,2938852830
1744682085,2938852834
1744682086,2938852838
1744682087,2938852842
1744682088,2938852847
1744682089,2938852851
1744682090,2938852855
1744682091,2938852859
1744682092,2938852865
1744682094,2938852865
1744682095,2938852865
1744682096,2938852865
1744682097,2938852865
1744682098,2938852865
1744682099,2938852865
1744682100,2938852865
1744682101,2938852865
