Timestamp,gpu0_sclk_avg,gpu0_sclk_max,gpu0_sclk_min,all_gpu_sclk_avg,all_gpu_sclk_min,all_gpu_sclk_max,gpu0_mclk,all_gpu_mclk_avg,all_gpu_mclk_min,all_gpu_mclk_max,gpu0_power,all_gpu_power_avg,all_gpu_power_min,all_gpu_power_max,all_gpu_power_total,gpu0_temp
1744673412,88.875,97,87,88.875,87,97,900,900.0,900,900,105,105.0,105,105,105,33
1744673413,88.0,90,87,88.0,87,90,900,900.0,900,900,106,106.0,106,106,106,33
1744673414,87.875,89,87,87.875,87,89,900,900.0,900,900,106,106.0,106,106,106,33
1744673415,88.125,89,87,88.125,87,89,900,900.0,900,900,105,105.0,105,105,105,33
1744673416,87.875,89,87,87.875,87,89,900,900.0,900,900,105,105.0,105,105,105,33
1744673418,87.875,89,87,87.875,87,89,900,900.0,900,900,105,105.0,105,105,105,33
1744673419,87.875,89,87,87.875,87,89,900,900.0,900,900,105,105.0,105,105,105,33
1744673420,87.875,89,87,87.875,87,89,900,900.0,900,900,105,105.0,105,105,105,33
1744673421,87.875,89,87,87.875,87,89,900,900.0,900,900,105,105.0,105,105,105,33
1744673422,87.875,89,87,87.875,87,89,900,900.0,900,900,105,105.0,105,105,105,33
1744673424,1353.625,1367,1341,1353.625,1341,1367,1461,1461.0,1461,1461,499,499.0,499,499,499,34
1744673425,1388.25,1402,1376,1388.25,1376,1402,1500,1500.0,1500,1500,529,529.0,529,529,529,40
1744673426,1388.375,1402,1376,1388.375,1376,1402,1500,1500.0,1500,1500,532,532.0,532,532,532,43
1744673427,1387.75,1402,1375,1387.75,1375,1402,1500,1500.0,1500,1500,527,527.0,527,527,527,44
1744673428,1388.375,1402,1375,1388.375,1375,1402,1500,1500.0,1500,1500,528,528.0,528,528,528,44
1744673429,1388.75,1402,1375,1388.75,1375,1402,1500,1500.0,1500,1500,525,525.0,525,525,525,45
1744673431,1388.25,1402,1375,1388.25,1375,1402,1500,1500.0,1500,1500,528,528.0,528,528,528,45
1744673432,1387.625,1402,1374,1387.625,1374,1402,1500,1500.0,1500,1500,529,529.0,529,529,529,45
1744673433,1388.125,1402,1376,1388.125,1376,1402,1500,1500.0,1500,1500,528,528.0,528,528,528,45
1744673434,1387.5,1401,1374,1387.5,1374,1401,1500,1500.0,1500,1500,532,532.0,532,532,532,45
1744673435,1388.125,1401,1375,1388.125,1375,1401,1500,1500.0,1500,1500,531,531.0,531,531,531,46
1744673436,1388.0,1401,1374,1388.0,1374,1401,1500,1500.0,1500,1500,532,532.0,532,532,532,46
1744673438,1387.875,1401,1376,1387.875,1376,1401,1500,1500.0,1500,1500,530,530.0,530,530,530,46
1744673439,1387.875,1402,1375,1387.875,1375,1402,1500,1500.0,1500,1500,534,534.0,534,534,534,46
1744673440,1387.625,1402,1374,1387.625,1374,1402,1500,1500.0,1500,1500,528,528.0,528,528,528,46
1744673441,1387.875,1402,1375,1387.875,1375,1402,1500,1500.0,1500,1500,534,534.0,534,534,534,46
1744673442,1387.875,1401,1375,1387.875,1375,1401,1500,1500.0,1500,1500,532,532.0,532,532,532,46
1744673444,1387.375,1400,1375,1387.375,1375,1400,1500,1500.0,1500,1500,532,532.0,532,532,532,47
1744673445,1387.875,1401,1375,1387.875,1375,1401,1500,1500.0,1500,1500,528,528.0,528,528,528,47
1744673446,1387.75,1401,1375,1387.75,1375,1401,1500,1500.0,1500,1500,531,531.0,531,531,531,47
1744673447,1387.5,1402,1373,1387.5,1373,1402,1500,1500.0,1500,1500,532,532.0,532,532,532,47
1744673448,1388.125,1401,1374,1388.125,1374,1401,1500,1500.0,1500,1500,531,531.0,531,531,531,47
1744673449,1387.5,1401,1374,1387.5,1374,1401,1500,1500.0,1500,1500,535,535.0,535,535,535,47
1744673451,1388.0,1401,1375,1388.0,1375,1401,1500,1500.0,1500,1500,529,529.0,529,529,529,47
1744673452,1388.125,1401,1375,1388.125,1375,1401,1500,1500.0,1500,1500,532,532.0,532,532,532,47
1744673453,1387.875,1402,1375,1387.875,1375,1402,1500,1500.0,1500,1500,531,531.0,531,531,531,47
1744673454,1387.875,1401,1375,1387.875,1375,1401,1500,1500.0,1500,1500,530,530.0,530,530,530,47
1744673455,1387.75,1401,1376,1387.75,1376,1401,1500,1500.0,1500,1500,533,533.0,533,533,533,47
1744673456,1388.125,1401,1375,1388.125,1375,1401,1500,1500.0,1500,1500,533,533.0,533,533,533,47
1744673458,1387.75,1401,1375,1387.75,1375,1401,1500,1500.0,1500,1500,533,533.0,533,533,533,47
1744673459,1388.25,1402,1374,1388.25,1374,1402,1500,1500.0,1500,1500,534,534.0,534,534,534,47
1744673460,1388.125,1402,1375,1388.125,1375,1402,1500,1500.0,1500,1500,529,529.0,529,529,529,47
1744673461,1388.5,1402,1374,1388.5,1374,1402,1500,1500.0,1500,1500,531,531.0,531,531,531,47
1744673462,1388.25,1402,1374,1388.25,1374,1402,1500,1500.0,1500,1500,532,532.0,532,532,532,47
1744673464,1388.0,1402,1374,1388.0,1374,1402,1500,1500.0,1500,1500,532,532.0,532,532,532,47
1744673465,1388.25,1402,1374,1388.25,1374,1402,1500,1500.0,1500,1500,536,536.0,536,536,536,48
1744673466,1388.375,1403,1374,1388.375,1374,1403,1500,1500.0,1500,1500,533,533.0,533,533,533,48
1744673467,1388.25,1402,1375,1388.25,1375,1402,1500,1500.0,1500,1500,536,536.0,536,536,536,48
1744673468,1388.0,1402,1374,1388.0,1374,1402,1500,1500.0,1500,1500,532,532.0,532,532,532,48
1744673469,1388.0,1401,1375,1388.0,1375,1401,1500,1500.0,1500,1500,529,529.0,529,529,529,48
1744673471,1387.875,1402,1374,1387.875,1374,1402,1500,1500.0,1500,1500,536,536.0,536,536,536,48
1744673472,1388.25,1402,1375,1388.25,1375,1402,1500,1500.0,1500,1500,534,534.0,534,534,534,48
1744673473,1388.0,1402,1374,1388.0,1374,1402,1500,1500.0,1500,1500,532,532.0,532,532,532,48
1744673474,1387.875,1401,1374,1387.875,1374,1401,1500,1500.0,1500,1500,531,531.0,531,531,531,48
1744673475,1388.0,1402,1374,1388.0,1374,1402,1500,1500.0,1500,1500,533,533.0,533,533,533,48
1744673476,1388.625,1402,1376,1388.625,1376,1402,1500,1500.0,1500,1500,532,532.0,532,532,532,48
1744673478,1388.5,1402,1376,1388.5,1376,1402,1500,1500.0,1500,1500,532,532.0,532,532,532,48
1744673479,1388.625,1402,1375,1388.625,1375,1402,1500,1500.0,1500,1500,531,531.0,531,531,531,48
1744673480,1387.875,1403,1375,1387.875,1375,1403,1500,1500.0,1500,1500,534,534.0,534,534,534,48
1744673481,1388.375,1402,1377,1388.375,1377,1402,1500,1500.0,1500,1500,531,531.0,531,531,531,48
1744673482,1387.5,1402,1374,1387.5,1374,1402,1500,1500.0,1500,1500,535,535.0,535,535,535,48
1744673483,1388.25,1403,1375,1388.25,1375,1403,1500,1500.0,1500,1500,533,533.0,533,533,533,48
1744673485,1388.0,1403,1375,1388.0,1375,1403,1500,1500.0,1500,1500,531,531.0,531,531,531,48
1744673486,1388.5,1403,1375,1388.5,1375,1403,1500,1500.0,1500,1500,533,533.0,533,533,533,48
1744673487,1388.625,1403,1376,1388.625,1376,1403,1500,1500.0,1500,1500,531,531.0,531,531,531,48
1744673488,1388.5,1402,1376,1388.5,1376,1402,1500,1500.0,1500,1500,533,533.0,533,533,533,48
1744673489,1387.875,1402,1375,1387.875,1375,1402,1500,1500.0,1500,1500,533,533.0,533,533,533,48
1744673491,1388.25,1401,1376,1388.25,1376,1401,1500,1500.0,1500,1500,532,532.0,532,532,532,48
1744673492,1387.75,1402,1375,1387.75,1375,1402,1500,1500.0,1500,1500,535,535.0,535,535,535,48
1744673493,1388.125,1401,1375,1388.125,1375,1401,1500,1500.0,1500,1500,532,532.0,532,532,532,48
1744673494,1388.0,1402,1374,1388.0,1374,1402,1500,1500.0,1500,1500,531,531.0,531,531,531,48
1744673495,1388.375,1402,1375,1388.375,1375,1402,1500,1500.0,1500,1500,534,534.0,534,534,534,48
1744673496,1388.25,1403,1375,1388.25,1375,1403,1500,1500.0,1500,1500,535,535.0,535,535,535,48
1744673498,1388.375,1403,1375,1388.375,1375,1403,1500,1500.0,1500,1500,533,533.0,533,533,533,48
