Timestamp,gpu0_sclk_avg,gpu0_sclk_max,gpu0_sclk_min,all_gpu_sclk_avg,all_gpu_sclk_min,all_gpu_sclk_max,gpu0_mclk,all_gpu_mclk_avg,all_gpu_mclk_min,all_gpu_mclk_max,gpu0_power,all_gpu_power_avg,all_gpu_power_min,all_gpu_power_max,all_gpu_power_total,gpu0_temp
1744679107,88.75,96,87,88.75,87,96,900,900.0,900,900,105,105.0,105,105,105,33
1744679108,88.0,90,87,88.0,87,90,900,900.0,900,900,104,104.0,104,104,104,33
1744679110,87.875,89,87,87.875,87,89,900,900.0,900,900,105,105.0,105,105,105,33
1744679111,87.875,89,87,87.875,87,89,900,900.0,900,900,104,104.0,104,104,104,33
1744679112,87.875,89,87,87.875,87,89,900,900.0,900,900,104,104.0,104,104,104,33
1744679113,87.875,89,87,87.875,87,89,900,900.0,900,900,105,105.0,105,105,105,33
1744679114,87.875,89,87,87.875,87,89,900,900.0,900,900,104,104.0,104,104,104,33
1744679115,87.875,89,87,87.875,87,89,900,900.0,900,900,105,105.0,105,105,105,33
1744679117,88.0,89,87,88.0,87,89,900,900.0,900,900,105,105.0,105,105,105,33
1744679118,88.0,89,87,88.0,87,89,900,900.0,900,900,105,105.0,105,105,105,33
1744679119,1368.125,1376,1355,1368.125,1355,1376,1461,1461.0,1461,1461,187,187.0,187,187,187,33
1744679120,1401.5,1410,1388,1401.5,1388,1410,1500,1500.0,1500,1500,191,191.0,191,191,191,33
1744679121,1401.5,1410,1388,1401.5,1388,1410,1500,1500.0,1500,1500,191,191.0,191,191,191,33
1744679122,1401.5,1410,1388,1401.5,1388,1410,1500,1500.0,1500,1500,191,191.0,191,191,191,34
1744679124,1401.5,1410,1388,1401.5,1388,1410,1500,1500.0,1500,1500,191,191.0,191,191,191,34
1744679125,1401.375,1410,1388,1401.375,1388,1410,1500,1500.0,1500,1500,192,192.0,192,192,192,34
1744679126,1401.875,1410,1388,1401.875,1388,1410,1500,1500.0,1500,1500,192,192.0,192,192,192,34
1744679127,1401.875,1410,1388,1401.875,1388,1410,1500,1500.0,1500,1500,191,191.0,191,191,191,34
1744679128,1401.5,1410,1388,1401.5,1388,1410,1500,1500.0,1500,1500,191,191.0,191,191,191,34
1744679130,101.0,103,100,101.0,100,103,916,916.0,916,916,107,107.0,107,107,107,34
1744679131,88.75,91,88,88.75,88,91,900,900.0,900,900,105,105.0,105,105,105,34
1744679132,88.125,89,87,88.125,87,89,900,900.0,900,900,105,105.0,105,105,105,33
1744679133,88.0,89,87,88.0,87,89,900,900.0,900,900,105,105.0,105,105,105,33
1744679134,88.5,90,88,88.5,88,90,900,900.0,900,900,105,105.0,105,105,105,33
1744679135,88.25,91,87,88.25,87,91,900,900.0,900,900,105,105.0,105,105,105,33
1744679137,88.0,89,87,88.0,87,89,900,900.0,900,900,105,105.0,105,105,105,33
1744679138,88.0,89,87,88.0,87,89,900,900.0,900,900,105,105.0,105,105,105,33
1744679139,87.875,89,87,87.875,87,89,900,900.0,900,900,105,105.0,105,105,105,33
