Timestamp,gpu0_sclk_avg,gpu0_sclk_max,gpu0_sclk_min,all_gpu_sclk_avg,all_gpu_sclk_min,all_gpu_sclk_max,gpu0_mclk,all_gpu_mclk_avg,all_gpu_mclk_min,all_gpu_mclk_max,gpu0_power,all_gpu_power_avg,all_gpu_power_min,all_gpu_power_max,all_gpu_power_total,gpu0_temp
1744680146,88.75,96,87,88.75,87,96,900,900.0,900,900,105,105.0,105,105,105,33
1744680148,88.0,90,87,88.0,87,90,900,900.0,900,900,105,105.0,105,105,105,33
1744680149,87.875,89,87,87.875,87,89,900,900.0,900,900,105,105.0,105,105,105,33
1744680150,87.875,89,87,87.875,87,89,900,900.0,900,900,105,105.0,105,105,105,33
1744680151,87.875,89,87,87.875,87,89,900,900.0,900,900,105,105.0,105,105,105,32
1744680152,87.875,89,87,87.875,87,89,900,900.0,900,900,105,105.0,105,105,105,33
1744680153,87.875,89,87,87.875,87,89,900,900.0,900,900,105,105.0,105,105,105,33
1744680155,87.875,89,87,87.875,87,89,900,900.0,900,900,105,105.0,105,105,105,32
1744680156,87.875,89,87,87.875,87,89,900,900.0,900,900,105,105.0,105,105,105,32
1744680157,87.875,89,87,87.875,87,89,900,900.0,900,900,104,104.0,104,104,104,32
1744680158,1356.625,1367,1341,1356.625,1341,1367,1467,1467.0,1467,1467,356,356.0,356,356,356,33
1744680159,1385.25,1396,1369,1385.25,1369,1396,1500,1500.0,1500,1500,373,373.0,373,373,373,38
1744680160,1384.875,1395,1369,1384.875,1369,1395,1500,1500.0,1500,1500,374,374.0,374,374,374,40
1744680162,1384.625,1395,1369,1384.625,1369,1395,1500,1500.0,1500,1500,375,375.0,375,375,375,41
1744680163,1385.0,1396,1369,1385.0,1369,1396,1500,1500.0,1500,1500,373,373.0,373,373,373,41
1744680164,1384.875,1396,1370,1384.875,1370,1396,1500,1500.0,1500,1500,374,374.0,374,374,374,41
1744680165,1385.0,1396,1369,1385.0,1369,1396,1500,1500.0,1500,1500,376,376.0,376,376,376,42
1744680166,1385.25,1397,1370,1385.25,1370,1397,1500,1500.0,1500,1500,375,375.0,375,375,375,42
1744680168,1384.875,1396,1369,1384.875,1369,1396,1500,1500.0,1500,1500,376,376.0,376,376,376,42
1744680169,1385.125,1396,1370,1385.125,1370,1396,1500,1500.0,1500,1500,377,377.0,377,377,377,42
1744680170,1385.0,1396,1369,1385.0,1369,1396,1500,1500.0,1500,1500,376,376.0,376,376,376,42
1744680171,1385.125,1396,1369,1385.125,1369,1396,1500,1500.0,1500,1500,373,373.0,373,373,373,42
1744680172,1384.875,1396,1370,1384.875,1370,1396,1500,1500.0,1500,1500,375,375.0,375,375,375,42
1744680173,1385.25,1396,1369,1385.25,1369,1396,1500,1500.0,1500,1500,375,375.0,375,375,375,42
1744680175,1385.125,1396,1369,1385.125,1369,1396,1500,1500.0,1500,1500,376,376.0,376,376,376,42
1744680176,1384.75,1395,1368,1384.75,1368,1395,1500,1500.0,1500,1500,376,376.0,376,376,376,42
1744680177,1384.875,1395,1369,1384.875,1369,1395,1500,1500.0,1500,1500,375,375.0,375,375,375,42
1744680178,1384.625,1396,1368,1384.625,1368,1396,1500,1500.0,1500,1500,376,376.0,376,376,376,42
1744680179,1384.625,1395,1369,1384.625,1369,1395,1500,1500.0,1500,1500,375,375.0,375,375,375,43
1744680180,1384.875,1396,1369,1384.875,1369,1396,1500,1500.0,1500,1500,377,377.0,377,377,377,43
1744680182,1384.75,1396,1369,1384.75,1369,1396,1500,1500.0,1500,1500,374,374.0,374,374,374,43
1744680183,1384.875,1395,1369,1384.875,1369,1395,1500,1500.0,1500,1500,376,376.0,376,376,376,43
1744680184,1384.875,1396,1369,1384.875,1369,1396,1500,1500.0,1500,1500,376,376.0,376,376,376,43
1744680185,1384.875,1395,1369,1384.875,1369,1395,1500,1500.0,1500,1500,374,374.0,374,374,374,43
1744680186,1385.0,1395,1369,1385.0,1369,1395,1500,1500.0,1500,1500,377,377.0,377,377,377,43
1744680188,1384.75,1395,1369,1384.75,1369,1395,1500,1500.0,1500,1500,378,378.0,378,378,378,43
1744680189,1384.5,1395,1368,1384.5,1368,1395,1500,1500.0,1500,1500,376,376.0,376,376,376,43
1744680190,1384.875,1396,1369,1384.875,1369,1396,1500,1500.0,1500,1500,376,376.0,376,376,376,43
1744680191,1384.625,1396,1369,1384.625,1369,1396,1500,1500.0,1500,1500,377,377.0,377,377,377,43
1744680192,1384.5,1396,1369,1384.5,1369,1396,1500,1500.0,1500,1500,376,376.0,376,376,376,43
1744680193,1384.75,1397,1369,1384.75,1369,1397,1500,1500.0,1500,1500,375,375.0,375,375,375,43
1744680195,1385.0,1397,1369,1385.0,1369,1397,1500,1500.0,1500,1500,377,377.0,377,377,377,43
1744680196,1384.75,1396,1369,1384.75,1369,1396,1500,1500.0,1500,1500,377,377.0,377,377,377,43
1744680197,1385.0,1396,1369,1385.0,1369,1396,1500,1500.0,1500,1500,377,377.0,377,377,377,43
1744680198,1384.625,1396,1368,1384.625,1368,1396,1500,1500.0,1500,1500,376,376.0,376,376,376,43
1744680199,1384.75,1396,1368,1384.75,1368,1396,1500,1500.0,1500,1500,377,377.0,377,377,377,43
1744680200,1384.625,1395,1368,1384.625,1368,1395,1500,1500.0,1500,1500,376,376.0,376,376,376,43
1744680202,1384.875,1396,1369,1384.875,1369,1396,1500,1500.0,1500,1500,375,375.0,375,375,375,43
1744680203,1384.5,1396,1368,1384.5,1368,1396,1500,1500.0,1500,1500,376,376.0,376,376,376,43
1744680204,1384.5,1396,1368,1384.5,1368,1396,1500,1500.0,1500,1500,375,375.0,375,375,375,43
1744680205,1384.25,1395,1369,1384.25,1369,1395,1500,1500.0,1500,1500,376,376.0,376,376,376,43
1744680206,1384.5,1396,1369,1384.5,1369,1396,1500,1500.0,1500,1500,376,376.0,376,376,376,43
1744680208,1384.625,1396,1369,1384.625,1369,1396,1500,1500.0,1500,1500,377,377.0,377,377,377,43
1744680209,1384.75,1396,1369,1384.75,1369,1396,1500,1500.0,1500,1500,376,376.0,376,376,376,43
1744680210,1384.875,1396,1369,1384.875,1369,1396,1500,1500.0,1500,1500,377,377.0,377,377,377,43
1744680211,1384.625,1397,1368,1384.625,1368,1397,1500,1500.0,1500,1500,378,378.0,378,378,378,43
1744680212,1384.75,1396,1369,1384.75,1369,1396,1500,1500.0,1500,1500,377,377.0,377,377,377,43
1744680213,1384.625,1396,1369,1384.625,1369,1396,1500,1500.0,1500,1500,375,375.0,375,375,375,43
1744680215,1384.375,1396,1368,1384.375,1368,1396,1500,1500.0,1500,1500,377,377.0,377,377,377,43
1744680216,1384.75,1396,1368,1384.75,1368,1396,1500,1500.0,1500,1500,376,376.0,376,376,376,43
1744680217,1384.875,1395,1369,1384.875,1369,1395,1500,1500.0,1500,1500,377,377.0,377,377,377,43
1744680218,1384.75,1395,1369,1384.75,1369,1395,1500,1500.0,1500,1500,375,375.0,375,375,375,43
1744680219,1385.125,1396,1369,1385.125,1369,1396,1500,1500.0,1500,1500,379,379.0,379,379,379,43
1744680220,1384.5,1396,1368,1384.5,1368,1396,1500,1500.0,1500,1500,375,375.0,375,375,375,43
1744680222,89.125,96,87,89.125,87,96,900,900.0,900,900,107,107.0,107,107,107,39
1744680223,88.25,91,87,88.25,87,91,900,900.0,900,900,106,106.0,106,106,106,37
1744680224,88.125,90,87,88.125,87,90,900,900.0,900,900,106,106.0,106,106,106,36
1744680225,87.875,89,87,87.875,87,89,900,900.0,900,900,106,106.0,106,106,106,35
1744680226,88.0,89,87,88.0,87,89,900,900.0,900,900,106,106.0,106,106,106,35
1744680228,88.0,89,87,88.0,87,89,900,900.0,900,900,106,106.0,106,106,106,35
1744680229,88.0,89,87,88.0,87,89,900,900.0,900,900,106,106.0,106,106,106,35
1744680230,88.0,89,87,88.0,87,89,900,900.0,900,900,106,106.0,106,106,106,34
