Timestamp,GPU
1744564834,1531227964
1744564835,1531227964
1744564836,1531227964
1744564837,1531227964
1744564838,1531227964
1744564839,1531227964
1744564840,1531227964
1744564841,1531227964
1744564842,1531227964
1744564843,1531227964
1744564845,1531227964
1744564846,1531227979
1744564847,1531228014
1744564848,1531228049
1744564849,1531228083
1744564850,1531228118
1744564851,1531228152
1744564852,1531228187
1744564853,1531228221
1744564854,1531228255
1744564855,1531228289
1744564857,1531228324
1744564858,1531228358
1744564859,1531228392
1744564860,1531228425
1744564861,1531228459
1744564862,1531228493
1744564863,1531228527
1744564864,1531228560
1744564865,1531228594
1744564866,1531228627
1744564868,1531228661
1744564869,1531228694
1744564870,1531228727
1744564871,1531228759
1744564872,1531228792
1744564873,1531228825
1744564874,1531228858
1744564875,1531228891
1744564876,1531228924
1744564877,1531228956
1744564878,1531228989
1744564880,1531229022
1744564881,1531229055
1744564882,1531229087
1744564883,1531229120
1744564884,1531229153
1744564885,1531229185
1744564886,1531229218
1744564887,1531229251
1744564888,1531229284
1744564889,1531229317
1744564890,1531229349
1744564892,1531229382
1744564893,1531229415
1744564894,1531229448
1744564895,1531229481
1744564896,1531229514
1744564897,1531229546
1744564898,1531229579
1744564899,1531229612
1744564900,1531229645
1744564901,1531229677
1744564903,1531229710
1744564904,1531229743
1744564905,1531229776
1744564906,1531229808
1744564907,1531229841
1744564908,1531229873
1744564909,1531229906
1744564910,1531229938
1744564911,1531229971
1744564912,1531230003
1744564913,1531230036
1744564915,1531230068
1744564916,1531230100
1744564917,1531230133
1744564918,1531230165
1744564919,1531230198
1744564920,1531230230
1744564921,1531230263
1744564922,1531230295
1744564923,1531230328
1744564924,1531230360
1744564925,1531230393
1744564927,1531230425
1744564928,1531230458
1744564929,1531230490
1744564930,1531230523
1744564931,1531230555
1744564932,1531230587
1744564933,1531230620
1744564934,1531230652
1744564935,1531230685
1744564936,1531230717
1744564937,1531230750
1744564939,1531230782
1744564940,1531230815
1744564941,1531230848
1744564942,1531230880
1744564943,1531230912
1744564944,1531230945
1744564945,1531230977
1744564946,1531231010
1744564947,1531231042
1744564948,1531231074
1744564950,1531231107
1744564951,1531231139
1744564952,1531231172
1744564953,1531231204
1744564954,1531231236
1744564955,1531231269
1744564956,1531231301
1744564957,1531231334
1744564958,1531231366
1744564959,1531231398
1744564960,1531231431
1744564962,1531231463
1744564963,1531231496
1744564964,1531231528
1744564965,1531231560
1744564966,1531231593
1744564967,1531231625
1744564968,1531231657
1744564969,1531231689
1744564970,1531231722
1744564971,1531231754
1744564972,1531231786
1744564974,1531231818
1744564975,1531231851
1744564976,1531231883
1744564977,1531231915
1744564978,1531231947
1744564979,1531231979
1744564980,1531232012
1744564981,1531232044
1744564982,1531232076
1744564983,1531232108
1744564984,1531232140
1744564986,1531232173
1744564987,1531232205
1744564988,1531232237
1744564989,1531232269
1744564990,1531232302
1744564991,1531232334
1744564992,1531232366
1744564993,1531232398
1744564994,1531232430
1744564995,1531232463
1744564996,1531232495
1744564998,1531232527
1744564999,1531232559
1744565000,1531232591
1744565001,1531232624
1744565002,1531232656
1744565003,1531232688
1744565004,1531232720
1744565005,1531232753
1744565006,1531232785
1744565007,1531232817
1744565009,1531232849
1744565010,1531232881
1744565011,1531232913
1744565012,1531232946
1744565013,1531232978
1744565014,1531233010
1744565015,1531233042
1744565016,1531233074
1744565017,1531233107
1744565018,1531233139
1744565019,1531233171
1744565021,1531233203
1744565022,1531233235
1744565023,1531233268
1744565024,1531233300
1744565025,1531233332
1744565026,1531233364
1744565027,1531233396
1744565028,1531233428
1744565029,1531233460
1744565030,1531233493
1744565031,1531233525
1744565033,1531233557
1744565034,1531233589
1744565035,1531233621
1744565036,1531233654
1744565037,1531233686
1744565038,1531233718
1744565039,1531233750
1744565040,1531233782
1744565041,1531233814
1744565042,1531233847
1744565043,1531233879
1744565045,1531233911
1744565046,1531233943
1744565047,1531233975
1744565048,1531234008
1744565049,1531234040
1744565050,1531234072
1744565051,1531234105
1744565052,1531234137
1744565053,1531234169
1744565054,1531234201
1744565055,1531234233
1744565057,1531234266
1744565058,1531234298
1744565059,1531234330
1744565060,1531234362
1744565061,1531234395
1744565062,1531234427
1744565063,1531234459
1744565064,1531234491
1744565065,1531234523
1744565066,1531234556
1744565068,1531234588
1744565069,1531234620
1744565070,1531234652
1744565071,1531234684
1744565072,1531234717
1744565073,1531234749
1744565074,1531234781
1744565075,1531234813
1744565076,1531234845
1744565077,1531234877
1744565078,1531234909
1744565080,1531234942
1744565081,1531234974
1744565082,1531235006
1744565083,1531235038
1744565084,1531235071
1744565085,1531235103
1744565086,1531235135
1744565087,1531235167
1744565088,1531235199
1744565089,1531235232
1744565090,1531235264
1744565092,1531235296
1744565093,1531235328
1744565094,1531235360
1744565095,1531235392
1744565096,1531235425
1744565097,1531235457
1744565098,1531235489
1744565099,1531235521
1744565100,1531235554
1744565101,1531235586
1744565103,1531235618
1744565104,1531235650
1744565105,1531235682
1744565106,1531235714
1744565107,1531235747
1744565108,1531235779
1744565109,1531235811
1744565110,1531235843
1744565111,1531235875
1744565112,1531235907
1744565113,1531235940
1744565115,1531235972
1744565116,1531236004
1744565117,1531236036
1744565118,1531236068
1744565119,1531236100
1744565120,1531236133
1744565121,1531236165
1744565122,1531236197
1744565123,1531236229
1744565124,1531236262
1744565125,1531236294
1744565127,1531236326
1744565128,1531236358
1744565129,1531236391
1744565130,1531236423
1744565131,1531236423
1744565132,1531236423
1744565133,1531236423
1744565134,1531236423
1744565135,1531236423
1744565136,1531236423
1744565138,1531236423
1744565139,1531236423
