Timestamp,gpu0_sclk_avg,gpu0_sclk_max,gpu0_sclk_min,all_gpu_sclk_avg,all_gpu_sclk_min,all_gpu_sclk_max,gpu0_mclk,all_gpu_mclk_avg,all_gpu_mclk_min,all_gpu_mclk_max,gpu0_power,all_gpu_power_avg,all_gpu_power_min,all_gpu_power_max,all_gpu_power_total,gpu0_temp
1744596173,133.0,143,131,133.0,131,143,900,900.0,900,900,123,123.0,123,123,123,46
1744596174,131.875,134,131,131.875,131,134,900,900.0,900,900,123,123.0,123,123,123,46
1744596175,131.75,133,131,131.75,131,133,900,900.0,900,900,122,122.0,122,122,122,46
1744596176,131.625,132,131,131.625,131,132,900,900.0,900,900,123,123.0,123,123,123,46
1744596178,131.625,132,131,131.625,131,132,900,900.0,900,900,122,122.0,122,122,122,46
1744596179,131.625,132,131,131.625,131,132,900,900.0,900,900,122,122.0,122,122,122,46
1744596180,131.625,132,131,131.625,131,132,900,900.0,900,900,123,123.0,123,123,123,46
1744596181,131.625,132,131,131.625,131,132,900,900.0,900,900,122,122.0,122,122,122,46
1744596182,131.625,132,131,131.625,131,132,900,900.0,900,900,122,122.0,122,122,122,46
1744596183,131.625,132,131,131.625,131,132,900,900.0,900,900,122,122.0,122,122,122,46
1744596185,1541.75,1565,1510,1541.75,1510,1565,1293,1293.0,1293,1293,740,740.0,740,740,740,48
1744596186,1530.75,1553,1497,1530.75,1497,1553,1300,1300.0,1300,1300,750,750.0,750,750,750,54
1744596187,1527.25,1550,1493,1527.25,1493,1550,1300,1300.0,1300,1300,750,750.0,750,750,750,57
1744596188,1523.75,1546,1491,1523.75,1491,1546,1300,1300.0,1300,1300,750,750.0,750,750,750,58
1744596189,1525.625,1549,1491,1525.625,1491,1549,1300,1300.0,1300,1300,750,750.0,750,750,750,58
1744596191,1523.5,1547,1490,1523.5,1490,1547,1300,1300.0,1300,1300,750,750.0,750,750,750,59
1744596192,1525.625,1552,1491,1525.625,1491,1552,1300,1300.0,1300,1300,750,750.0,750,750,750,59
1744596193,1524.625,1550,1490,1524.625,1490,1550,1300,1300.0,1300,1300,750,750.0,750,750,750,59
1744596194,1520.875,1547,1487,1520.875,1487,1547,1300,1300.0,1300,1300,750,750.0,750,750,750,60
1744596195,1519.625,1545,1485,1519.625,1485,1545,1300,1300.0,1300,1300,750,750.0,750,750,750,60
1744596196,1519.625,1546,1485,1519.625,1485,1546,1300,1300.0,1300,1300,750,750.0,750,750,750,61
1744596198,1518.25,1544,1483,1518.25,1483,1544,1300,1300.0,1300,1300,750,750.0,750,750,750,61
1744596199,1516.5,1544,1481,1516.5,1481,1544,1300,1300.0,1300,1300,750,750.0,750,750,750,61
1744596200,1515.125,1544,1479,1515.125,1479,1544,1300,1300.0,1300,1300,750,750.0,750,750,750,62
1744596201,1512.375,1540,1477,1512.375,1477,1540,1300,1300.0,1300,1300,750,750.0,750,750,750,62
1744596202,1511.75,1540,1477,1511.75,1477,1540,1300,1300.0,1300,1300,750,750.0,750,750,750,62
1744596204,1512.375,1541,1476,1512.375,1476,1541,1300,1300.0,1300,1300,750,750.0,750,750,750,62
1744596205,1511.375,1541,1476,1511.375,1476,1541,1300,1300.0,1300,1300,750,750.0,750,750,750,62
1744596206,1510.625,1539,1475,1510.625,1475,1539,1300,1300.0,1300,1300,750,750.0,750,750,750,63
1744596207,1511.375,1541,1475,1511.375,1475,1541,1300,1300.0,1300,1300,750,750.0,750,750,750,63
1744596208,1510.5,1541,1475,1510.5,1475,1541,1300,1300.0,1300,1300,750,750.0,750,750,750,63
1744596209,1512.875,1543,1478,1512.875,1478,1543,1300,1300.0,1300,1300,750,750.0,750,750,750,63
1744596211,1510.75,1541,1476,1510.75,1476,1541,1300,1300.0,1300,1300,750,750.0,750,750,750,63
1744596212,1509.375,1539,1474,1509.375,1474,1539,1300,1300.0,1300,1300,750,750.0,750,750,750,63
1744596213,1506.125,1536,1471,1506.125,1471,1536,1300,1300.0,1300,1300,750,750.0,750,750,750,64
1744596214,1506.5,1536,1471,1506.5,1471,1536,1300,1300.0,1300,1300,750,750.0,750,750,750,64
1744596215,1508.25,1537,1473,1508.25,1473,1537,1300,1300.0,1300,1300,750,750.0,750,750,750,64
1744596216,1505.75,1534,1471,1505.75,1471,1534,1300,1300.0,1300,1300,750,750.0,750,750,750,64
1744596218,1505.125,1533,1470,1505.125,1470,1533,1300,1300.0,1300,1300,750,750.0,750,750,750,64
1744596219,1506.875,1537,1472,1506.875,1472,1537,1300,1300.0,1300,1300,750,750.0,750,750,750,64
1744596220,1507.125,1536,1472,1507.125,1472,1536,1300,1300.0,1300,1300,750,750.0,750,750,750,64
1744596221,1508.875,1539,1474,1508.875,1474,1539,1300,1300.0,1300,1300,750,750.0,750,750,750,64
1744596222,1505.0,1535,1469,1505.0,1469,1535,1300,1300.0,1300,1300,750,750.0,750,750,750,64
1744596224,1506.125,1536,1470,1506.125,1470,1536,1300,1300.0,1300,1300,750,750.0,750,750,750,64
1744596225,1505.75,1536,1470,1505.75,1470,1536,1300,1300.0,1300,1300,750,750.0,750,750,750,64
1744596226,1507.375,1538,1472,1507.375,1472,1538,1300,1300.0,1300,1300,750,750.0,750,750,750,64
1744596227,1504.25,1534,1470,1504.25,1470,1534,1300,1300.0,1300,1300,750,750.0,750,750,750,64
1744596228,1503.0,1533,1469,1503.0,1469,1533,1300,1300.0,1300,1300,750,750.0,750,750,750,64
1744596229,1501.375,1530,1468,1501.375,1468,1530,1300,1300.0,1300,1300,750,750.0,750,750,750,64
1744596231,1505.875,1536,1472,1505.875,1472,1536,1300,1300.0,1300,1300,751,751.0,751,751,751,64
1744596232,1500.25,1531,1465,1500.25,1465,1531,1300,1300.0,1300,1300,750,750.0,750,750,750,64
1744596233,1503.125,1533,1468,1503.125,1468,1533,1300,1300.0,1300,1300,750,750.0,750,750,750,64
1744596234,1502.5,1532,1468,1502.5,1468,1532,1300,1300.0,1300,1300,750,750.0,750,750,750,64
1744596235,1504.625,1534,1471,1504.625,1471,1534,1300,1300.0,1300,1300,750,750.0,750,750,750,64
1744596236,1504.5,1535,1470,1504.5,1470,1535,1300,1300.0,1300,1300,750,750.0,750,750,750,64
1744596238,1503.375,1534,1469,1503.375,1469,1534,1300,1300.0,1300,1300,750,750.0,750,750,750,64
1744596239,1503.125,1534,1468,1503.125,1468,1534,1300,1300.0,1300,1300,750,750.0,750,750,750,64
1744596240,1501.875,1532,1467,1501.875,1467,1532,1300,1300.0,1300,1300,750,750.0,750,750,750,64
1744596241,1504.25,1534,1469,1504.25,1469,1534,1300,1300.0,1300,1300,750,750.0,750,750,750,64
1744596242,1501.75,1532,1467,1501.75,1467,1532,1300,1300.0,1300,1300,750,750.0,750,750,750,64
1744596244,1504.25,1534,1470,1504.25,1470,1534,1300,1300.0,1300,1300,750,750.0,750,750,750,64
1744596245,1502.5,1533,1468,1502.5,1468,1533,1300,1300.0,1300,1300,750,750.0,750,750,750,65
1744596246,1499.75,1530,1465,1499.75,1465,1530,1300,1300.0,1300,1300,750,750.0,750,750,750,65
1744596247,1501.125,1532,1466,1501.125,1466,1532,1300,1300.0,1300,1300,750,750.0,750,750,750,65
1744596248,1498.875,1530,1464,1498.875,1464,1530,1300,1300.0,1300,1300,750,750.0,750,750,750,65
1744596249,1499.625,1530,1465,1499.625,1465,1530,1300,1300.0,1300,1300,750,750.0,750,750,750,65
1744596251,1497.875,1529,1463,1497.875,1463,1529,1300,1300.0,1300,1300,750,750.0,750,750,750,65
1744596252,1498.625,1529,1464,1498.625,1464,1529,1300,1300.0,1300,1300,750,750.0,750,750,750,65
1744596253,1498.125,1529,1464,1498.125,1464,1529,1300,1300.0,1300,1300,750,750.0,750,750,750,65
1744596254,1497.625,1528,1463,1497.625,1463,1528,1300,1300.0,1300,1300,750,750.0,750,750,750,66
1744596255,1497.375,1528,1462,1497.375,1462,1528,1300,1300.0,1300,1300,750,750.0,750,750,750,66
1744596256,1494.875,1526,1460,1494.875,1460,1526,1300,1300.0,1300,1300,750,750.0,750,750,750,66
1744596258,1498.375,1529,1464,1498.375,1464,1529,1300,1300.0,1300,1300,750,750.0,750,750,750,66
1744596259,1497.375,1528,1463,1497.375,1463,1528,1300,1300.0,1300,1300,750,750.0,750,750,750,66
1744596260,1500.5,1531,1465,1500.5,1465,1531,1300,1300.0,1300,1300,750,750.0,750,750,750,66
1744596261,1493.625,1523,1459,1493.625,1459,1523,1300,1300.0,1300,1300,750,750.0,750,750,750,66
1744596262,1494.375,1525,1459,1494.375,1459,1525,1300,1300.0,1300,1300,750,750.0,750,750,750,67
1744596263,1490.5,1522,1457,1490.5,1457,1522,1300,1300.0,1300,1300,750,750.0,750,750,750,67
1744596265,1494.375,1527,1460,1494.375,1460,1527,1300,1300.0,1300,1300,750,750.0,750,750,750,67
1744596266,1493.125,1525,1459,1493.125,1459,1525,1300,1300.0,1300,1300,750,750.0,750,750,750,67
1744596267,1494.0,1526,1460,1494.0,1460,1526,1300,1300.0,1300,1300,750,750.0,750,750,750,67
1744596268,1492.625,1523,1458,1492.625,1458,1523,1300,1300.0,1300,1300,750,750.0,750,750,750,67
1744596269,1489.0,1519,1455,1489.0,1455,1519,1300,1300.0,1300,1300,750,750.0,750,750,750,68
1744596271,1491.125,1521,1457,1491.125,1457,1521,1300,1300.0,1300,1300,750,750.0,750,750,750,68
1744596272,1487.5,1518,1453,1487.5,1453,1518,1300,1300.0,1300,1300,750,750.0,750,750,750,68
1744596273,1488.625,1520,1454,1488.625,1454,1520,1300,1300.0,1300,1300,751,751.0,751,751,751,68
1744596274,1489.375,1519,1456,1489.375,1456,1519,1300,1300.0,1300,1300,750,750.0,750,750,750,68
1744596275,1487.25,1520,1453,1487.25,1453,1520,1300,1300.0,1300,1300,750,750.0,750,750,750,68
1744596276,1488.375,1520,1455,1488.375,1455,1520,1300,1300.0,1300,1300,750,750.0,750,750,750,68
1744596278,1483.375,1515,1450,1483.375,1450,1515,1300,1300.0,1300,1300,750,750.0,750,750,750,69
1744596279,1485.375,1517,1452,1485.375,1452,1517,1300,1300.0,1300,1300,750,750.0,750,750,750,69
1744596280,1486.375,1518,1452,1486.375,1452,1518,1300,1300.0,1300,1300,750,750.0,750,750,750,69
1744596281,1485.375,1516,1452,1485.375,1452,1516,1300,1300.0,1300,1300,750,750.0,750,750,750,69
1744596282,1482.625,1514,1449,1482.625,1449,1514,1300,1300.0,1300,1300,750,750.0,750,750,750,69
1744596283,1484.5,1515,1451,1484.5,1451,1515,1300,1300.0,1300,1300,750,750.0,750,750,750,69
1744596285,1486.5,1518,1452,1486.5,1452,1518,1300,1300.0,1300,1300,749,749.0,749,749,749,69
1744596286,1483.875,1515,1451,1483.875,1451,1515,1300,1300.0,1300,1300,750,750.0,750,750,750,69
1744596287,1483.375,1513,1450,1483.375,1450,1513,1300,1300.0,1300,1300,750,750.0,750,750,750,69
1744596288,1480.875,1511,1448,1480.875,1448,1511,1300,1300.0,1300,1300,750,750.0,750,750,750,69
1744596289,133.25,134,133,133.25,133,134,917,917.0,917,917,142,142.0,142,142,142,65
1744596291,131.625,132,131,131.625,131,132,900,900.0,900,900,138,138.0,138,138,138,61
1744596292,131.625,132,131,131.625,131,132,900,900.0,900,900,137,137.0,137,137,137,59
1744596293,131.625,132,131,131.625,131,132,900,900.0,900,900,138,138.0,138,138,138,58
1744596294,132.0,135,131,132.0,131,135,900,900.0,900,900,135,135.0,135,135,135,57
1744596295,131.75,133,131,131.75,131,133,900,900.0,900,900,135,135.0,135,135,135,57
1744596296,131.75,133,131,131.75,131,133,900,900.0,900,900,134,134.0,134,134,134,57
1744596298,131.5,132,131,131.5,131,132,900,900.0,900,900,134,134.0,134,134,134,56
