Timestamp,GPU
1744660799,2633506324
1744660800,2633506324
1744660801,2633506324
1744660802,2633506324
1744660803,2633506324
1744660804,2633506324
1744660805,2633506324
1744660806,2633506324
1744660808,2633506324
1744660809,2633506324
1744660810,2633506324
1744660811,2633506337
1744660812,2633506361
1744660813,2633506384
1744660814,2633506408
1744660815,2633506432
1744660816,2633506455
1744660817,2633506479
1744660819,2633506503
1744660820,2633506527
1744660821,2633506550
1744660822,2633506574
1744660823,2633506598
1744660824,2633506621
1744660825,2633506645
1744660826,2633506669
1744660827,2633506693
1744660828,2633506716
1744660829,2633506740
1744660831,2633506764
1744660832,2633506787
1744660833,2633506811
1744660834,2633506835
1744660835,2633506859
1744660836,2633506882
1744660837,2633506906
1744660838,2633506930
1744660839,2633506953
1744660840,2633506977
1744660841,2633507001
1744660843,2633507025
1744660844,2633507049
1744660845,2633507072
1744660846,2633507096
1744660847,2633507120
1744660848,2633507143
1744660849,2633507167
1744660850,2633507190
1744660851,2633507214
1744660852,2633507238
1744660854,2633507262
1744660855,2633507285
1744660856,2633507309
1744660857,2633507333
1744660858,2633507356
1744660859,2633507380
1744660860,2633507404
1744660861,2633507428
1744660862,2633507451
1744660863,2633507475
1744660864,2633507499
1744660866,2633507522
1744660867,2633507546
1744660868,2633507570
1744660869,2633507593
1744660870,2633507617
1744660871,2633507641
1744660872,2633507664
1744660873,2633507688
1744660874,2633507712
1744660875,2633507735
1744660876,2633507759
1744660878,2633507783
1744660879,2633507806
1744660880,2633507830
1744660881,2633507854
1744660882,2633507878
1744660883,2633507901
1744660884,2633507925
1744660885,2633507949
1744660886,2633507972
1744660887,2633507996
1744660888,2633508020
1744660890,2633508043
1744660891,2633508067
1744660892,2633508091
1744660893,2633508114
1744660894,2633508138
1744660895,2633508162
1744660896,2633508185
1744660897,2633508209
1744660898,2633508233
1744660899,2633508256
1744660901,2633508280
1744660902,2633508304
1744660903,2633508327
1744660904,2633508351
1744660905,2633508375
1744660906,2633508399
1744660907,2633508422
1744660908,2633508446
1744660909,2633508470
1744660910,2633508493
1744660911,2633508517
1744660913,2633508541
1744660914,2633508565
1744660915,2633508588
1744660916,2633508612
1744660917,2633508636
1744660918,2633508659
1744660919,2633508683
1744660920,2633508707
1744660921,2633508730
1744660922,2633508754
1744660923,2633508778
1744660925,2633508801
1744660926,2633508825
1744660927,2633508849
1744660928,2633508873
1744660929,2633508896
1744660930,2633508920
1744660931,2633508943
1744660932,2633508967
1744660933,2633508991
1744660934,2633509014
1744660935,2633509038
1744660937,2633509062
1744660938,2633509086
1744660939,2633509109
1744660940,2633509133
1744660941,2633509157
1744660942,2633509180
1744660943,2633509204
1744660944,2633509228
1744660945,2633509251
1744660946,2633509275
1744660948,2633509299
1744660949,2633509322
1744660950,2633509346
1744660951,2633509370
1744660952,2633509393
1744660953,2633509417
1744660954,2633509441
1744660955,2633509465
1744660956,2633509489
1744660957,2633509512
