Timestamp,gpu0_sclk_avg,gpu0_sclk_max,gpu0_sclk_min,all_gpu_sclk_avg,all_gpu_sclk_min,all_gpu_sclk_max,gpu0_mclk,all_gpu_mclk_avg,all_gpu_mclk_min,all_gpu_mclk_max,gpu0_power,all_gpu_power_avg,all_gpu_power_min,all_gpu_power_max,all_gpu_power_total,gpu0_temp
1744655911,88.875,96,87,88.875,87,96,900,900.0,900,900,105,105.0,105,105,105,33
1744655912,88.0,90,87,88.0,87,90,900,900.0,900,900,105,105.0,105,105,105,33
1744655913,88.125,89,87,88.125,87,89,900,900.0,900,900,105,105.0,105,105,105,33
1744655914,87.875,89,87,87.875,87,89,900,900.0,900,900,105,105.0,105,105,105,33
1744655916,87.875,89,87,87.875,87,89,900,900.0,900,900,105,105.0,105,105,105,33
1744655917,87.875,89,87,87.875,87,89,900,900.0,900,900,105,105.0,105,105,105,33
1744655918,87.875,89,87,87.875,87,89,900,900.0,900,900,105,105.0,105,105,105,33
1744655919,87.875,89,87,87.875,87,89,900,900.0,900,900,105,105.0,105,105,105,33
1744655920,87.875,89,87,87.875,87,89,900,900.0,900,900,105,105.0,105,105,105,33
1744655921,87.875,89,87,87.875,87,89,900,900.0,900,900,105,105.0,105,105,105,33
1744655923,1358.5,1379,1340,1358.5,1340,1379,1492,1492.0,1492,1492,511,511.0,511,511,511,34
1744655924,1360.375,1380,1341,1360.375,1341,1380,1500,1500.0,1500,1500,517,517.0,517,517,517,38
1744655925,1359.875,1380,1340,1359.875,1340,1380,1500,1500.0,1500,1500,520,520.0,520,520,520,40
1744655926,1361.25,1381,1341,1361.25,1341,1381,1500,1500.0,1500,1500,518,518.0,518,518,518,41
1744655927,1360.75,1381,1340,1360.75,1340,1381,1500,1500.0,1500,1500,518,518.0,518,518,518,41
1744655929,1360.625,1381,1341,1360.625,1341,1381,1500,1500.0,1500,1500,521,521.0,521,521,521,41
1744655930,1360.75,1381,1341,1360.75,1341,1381,1500,1500.0,1500,1500,522,522.0,522,522,522,42
1744655931,1360.5,1381,1341,1360.5,1341,1381,1500,1500.0,1500,1500,522,522.0,522,522,522,42
1744655932,1360.125,1380,1341,1360.125,1341,1380,1500,1500.0,1500,1500,520,520.0,520,520,520,42
1744655933,1360.625,1381,1341,1360.625,1341,1381,1500,1500.0,1500,1500,522,522.0,522,522,522,42
1744655934,1360.25,1381,1342,1360.25,1342,1381,1500,1500.0,1500,1500,519,519.0,519,519,519,42
1744655936,1360.5,1380,1341,1360.5,1341,1380,1500,1500.0,1500,1500,522,522.0,522,522,522,42
1744655937,1360.5,1380,1342,1360.5,1342,1380,1500,1500.0,1500,1500,522,522.0,522,522,522,43
1744655938,1361.0,1381,1342,1361.0,1342,1381,1500,1500.0,1500,1500,522,522.0,522,522,522,43
1744655939,1360.75,1381,1341,1360.75,1341,1381,1500,1500.0,1500,1500,523,523.0,523,523,523,43
1744655940,1360.625,1381,1342,1360.625,1342,1381,1500,1500.0,1500,1500,522,522.0,522,522,522,43
1744655941,1360.375,1379,1341,1360.375,1341,1379,1500,1500.0,1500,1500,524,524.0,524,524,524,43
1744655943,1360.375,1379,1341,1360.375,1341,1379,1500,1500.0,1500,1500,523,523.0,523,523,523,43
1744655944,1360.75,1380,1341,1360.75,1341,1380,1500,1500.0,1500,1500,523,523.0,523,523,523,43
1744655945,1360.75,1380,1342,1360.75,1342,1380,1500,1500.0,1500,1500,523,523.0,523,523,523,43
1744655946,1360.125,1380,1341,1360.125,1341,1380,1500,1500.0,1500,1500,524,524.0,524,524,524,43
1744655947,1360.875,1381,1341,1360.875,1341,1381,1500,1500.0,1500,1500,523,523.0,523,523,523,43
1744655948,1360.375,1380,1341,1360.375,1341,1380,1500,1500.0,1500,1500,521,521.0,521,521,521,43
1744655950,1360.875,1380,1342,1360.875,1342,1380,1500,1500.0,1500,1500,521,521.0,521,521,521,44
1744655951,1360.125,1379,1341,1360.125,1341,1379,1500,1500.0,1500,1500,523,523.0,523,523,523,44
1744655952,1360.375,1380,1341,1360.375,1341,1380,1500,1500.0,1500,1500,518,518.0,518,518,518,44
1744655953,1360.625,1380,1342,1360.625,1342,1380,1500,1500.0,1500,1500,522,522.0,522,522,522,44
1744655954,1360.125,1380,1341,1360.125,1341,1380,1500,1500.0,1500,1500,523,523.0,523,523,523,44
1744655956,1361.0,1382,1341,1361.0,1341,1382,1500,1500.0,1500,1500,521,521.0,521,521,521,44
1744655957,1360.625,1381,1342,1360.625,1342,1381,1500,1500.0,1500,1500,524,524.0,524,524,524,44
1744655958,1360.5,1380,1342,1360.5,1342,1380,1500,1500.0,1500,1500,521,521.0,521,521,521,44
1744655959,1361.0,1381,1343,1361.0,1343,1381,1500,1500.0,1500,1500,522,522.0,522,522,522,44
1744655960,1360.625,1380,1342,1360.625,1342,1380,1500,1500.0,1500,1500,524,524.0,524,524,524,44
1744655961,1361.0,1381,1342,1361.0,1342,1381,1500,1500.0,1500,1500,523,523.0,523,523,523,44
1744655963,1361.375,1380,1343,1361.375,1343,1380,1500,1500.0,1500,1500,525,525.0,525,525,525,44
1744655964,1360.875,1381,1342,1360.875,1342,1381,1500,1500.0,1500,1500,522,522.0,522,522,522,44
1744655965,1360.75,1380,1342,1360.75,1342,1380,1500,1500.0,1500,1500,520,520.0,520,520,520,44
1744655966,1361.125,1380,1343,1361.125,1343,1380,1500,1500.0,1500,1500,521,521.0,521,521,521,44
1744655967,1360.875,1380,1342,1360.875,1342,1380,1500,1500.0,1500,1500,524,524.0,524,524,524,44
1744655969,1361.0,1381,1342,1361.0,1342,1381,1500,1500.0,1500,1500,525,525.0,525,525,525,44
1744655970,1361.125,1380,1342,1361.125,1342,1380,1500,1500.0,1500,1500,519,519.0,519,519,519,44
1744655971,1361.25,1381,1342,1361.25,1342,1381,1500,1500.0,1500,1500,521,521.0,521,521,521,44
1744655972,1361.5,1381,1342,1361.5,1342,1381,1500,1500.0,1500,1500,522,522.0,522,522,522,44
1744655973,1360.75,1380,1341,1360.75,1341,1380,1500,1500.0,1500,1500,521,521.0,521,521,521,44
1744655974,1361.5,1381,1342,1361.5,1342,1381,1500,1500.0,1500,1500,520,520.0,520,520,520,44
1744655976,1361.5,1381,1342,1361.5,1342,1381,1500,1500.0,1500,1500,524,524.0,524,524,524,44
1744655977,1361.5,1381,1342,1361.5,1342,1381,1500,1500.0,1500,1500,523,523.0,523,523,523,44
