Timestamp,gpu0_sclk_avg,gpu0_sclk_max,gpu0_sclk_min,all_gpu_sclk_avg,all_gpu_sclk_min,all_gpu_sclk_max,gpu0_mclk,all_gpu_mclk_avg,all_gpu_mclk_min,all_gpu_mclk_max,gpu0_power,all_gpu_power_avg,all_gpu_power_min,all_gpu_power_max,all_gpu_power_total,gpu0_temp
1744659932,88.875,97,87,88.875,87,97,900,900.0,900,900,105,105.0,105,105,105,32
1744659934,88.0,90,87,88.0,87,90,900,900.0,900,900,104,104.0,104,104,104,32
1744659935,87.875,89,87,87.875,87,89,900,900.0,900,900,105,105.0,105,105,105,32
1744659936,87.875,89,87,87.875,87,89,900,900.0,900,900,105,105.0,105,105,105,32
1744659937,87.875,89,87,87.875,87,89,900,900.0,900,900,105,105.0,105,105,105,32
1744659938,87.875,89,87,87.875,87,89,900,900.0,900,900,105,105.0,105,105,105,32
1744659940,87.875,89,87,87.875,87,89,900,900.0,900,900,105,105.0,105,105,105,33
1744659941,87.875,89,87,87.875,87,89,900,900.0,900,900,105,105.0,105,105,105,32
1744659942,87.875,89,87,87.875,87,89,900,900.0,900,900,105,105.0,105,105,105,32
1744659943,87.875,89,87,87.875,87,89,900,900.0,900,900,105,105.0,105,105,105,32
1744659944,1387.125,1397,1372,1387.125,1372,1397,1491,1491.0,1491,1491,352,352.0,352,352,352,33
1744659945,1389.375,1399,1373,1389.375,1373,1399,1500,1500.0,1500,1500,357,357.0,357,357,357,35
1744659947,1389.375,1399,1373,1389.375,1373,1399,1500,1500.0,1500,1500,358,358.0,358,358,358,35
1744659948,1389.5,1399,1374,1389.5,1374,1399,1500,1500.0,1500,1500,357,357.0,357,357,357,36
1744659949,1389.375,1399,1373,1389.375,1373,1399,1500,1500.0,1500,1500,357,357.0,357,357,357,36
1744659950,1389.625,1399,1374,1389.625,1374,1399,1500,1500.0,1500,1500,359,359.0,359,359,359,36
1744659951,1389.5,1399,1374,1389.5,1374,1399,1500,1500.0,1500,1500,357,357.0,357,357,357,37
1744659952,1389.75,1399,1373,1389.75,1373,1399,1500,1500.0,1500,1500,359,359.0,359,359,359,37
1744659954,1389.75,1399,1374,1389.75,1374,1399,1500,1500.0,1500,1500,357,357.0,357,357,357,37
1744659955,1390.125,1400,1373,1390.125,1373,1400,1500,1500.0,1500,1500,359,359.0,359,359,359,37
1744659956,1389.625,1399,1373,1389.625,1373,1399,1500,1500.0,1500,1500,358,358.0,358,358,358,37
1744659957,1390.0,1399,1374,1390.0,1374,1399,1500,1500.0,1500,1500,358,358.0,358,358,358,37
1744659958,1389.625,1399,1373,1389.625,1373,1399,1500,1500.0,1500,1500,358,358.0,358,358,358,37
1744659960,1389.75,1399,1373,1389.75,1373,1399,1500,1500.0,1500,1500,359,359.0,359,359,359,37
1744659961,1389.75,1399,1373,1389.75,1373,1399,1500,1500.0,1500,1500,359,359.0,359,359,359,37
1744659962,1390.0,1400,1374,1390.0,1374,1400,1500,1500.0,1500,1500,358,358.0,358,358,358,37
1744659963,1389.625,1400,1373,1389.625,1373,1400,1500,1500.0,1500,1500,360,360.0,360,360,360,37
1744659964,1389.625,1400,1373,1389.625,1373,1400,1500,1500.0,1500,1500,359,359.0,359,359,359,37
1744659965,1389.875,1400,1373,1389.875,1373,1400,1500,1500.0,1500,1500,360,360.0,360,360,360,38
1744659967,1389.625,1400,1373,1389.625,1373,1400,1500,1500.0,1500,1500,359,359.0,359,359,359,38
1744659968,1389.5,1400,1374,1389.5,1374,1400,1500,1500.0,1500,1500,359,359.0,359,359,359,38
1744659969,1389.625,1400,1374,1389.625,1374,1400,1500,1500.0,1500,1500,358,358.0,358,358,358,38
1744659970,1389.875,1400,1374,1389.875,1374,1400,1500,1500.0,1500,1500,359,359.0,359,359,359,38
1744659971,1390.125,1400,1375,1390.125,1375,1400,1500,1500.0,1500,1500,359,359.0,359,359,359,38
1744659972,1389.75,1399,1374,1389.75,1374,1399,1500,1500.0,1500,1500,360,360.0,360,360,360,38
1744659974,1389.75,1399,1373,1389.75,1373,1399,1500,1500.0,1500,1500,358,358.0,358,358,358,38
1744659975,1389.75,1399,1374,1389.75,1374,1399,1500,1500.0,1500,1500,360,360.0,360,360,360,38
1744659976,1390.0,1400,1374,1390.0,1374,1400,1500,1500.0,1500,1500,360,360.0,360,360,360,38
1744659977,1389.5,1399,1373,1389.5,1373,1399,1500,1500.0,1500,1500,359,359.0,359,359,359,38
1744659978,1389.625,1399,1374,1389.625,1374,1399,1500,1500.0,1500,1500,358,358.0,358,358,358,38
1744659980,1389.25,1400,1373,1389.25,1373,1400,1500,1500.0,1500,1500,358,358.0,358,358,358,38
1744659981,1389.75,1400,1373,1389.75,1373,1400,1500,1500.0,1500,1500,359,359.0,359,359,359,38
1744659982,1389.625,1400,1373,1389.625,1373,1400,1500,1500.0,1500,1500,359,359.0,359,359,359,38
1744659983,1389.625,1399,1373,1389.625,1373,1399,1500,1500.0,1500,1500,358,358.0,358,358,358,38
1744659984,1389.875,1399,1374,1389.875,1374,1399,1500,1500.0,1500,1500,359,359.0,359,359,359,38
1744659985,1389.625,1399,1374,1389.625,1374,1399,1500,1500.0,1500,1500,358,358.0,358,358,358,38
1744659987,1389.625,1399,1373,1389.625,1373,1399,1500,1500.0,1500,1500,359,359.0,359,359,359,38
1744659988,1389.5,1399,1373,1389.5,1373,1399,1500,1500.0,1500,1500,359,359.0,359,359,359,38
1744659989,1389.75,1400,1374,1389.75,1374,1400,1500,1500.0,1500,1500,359,359.0,359,359,359,38
1744659990,1389.625,1400,1373,1389.625,1373,1400,1500,1500.0,1500,1500,359,359.0,359,359,359,38
1744659991,1389.375,1400,1373,1389.375,1373,1400,1500,1500.0,1500,1500,358,358.0,358,358,358,38
1744659992,1389.625,1400,1374,1389.625,1374,1400,1500,1500.0,1500,1500,359,359.0,359,359,359,38
1744659994,1389.25,1398,1373,1389.25,1373,1398,1500,1500.0,1500,1500,359,359.0,359,359,359,38
1744659995,1389.125,1399,1374,1389.125,1374,1399,1500,1500.0,1500,1500,359,359.0,359,359,359,38
1744659996,1389.375,1399,1373,1389.375,1373,1399,1500,1500.0,1500,1500,357,357.0,357,357,357,38
1744659997,1388.875,1399,1372,1388.875,1372,1399,1500,1500.0,1500,1500,359,359.0,359,359,359,38
1744659998,1389.625,1399,1374,1389.625,1374,1399,1500,1500.0,1500,1500,359,359.0,359,359,359,38
1744659999,1389.625,1399,1374,1389.625,1374,1399,1500,1500.0,1500,1500,360,360.0,360,360,360,38
1744660001,1389.875,1399,1374,1389.875,1374,1399,1500,1500.0,1500,1500,359,359.0,359,359,359,38
1744660002,1389.625,1399,1374,1389.625,1374,1399,1500,1500.0,1500,1500,359,359.0,359,359,359,38
1744660003,1389.75,1399,1374,1389.75,1374,1399,1500,1500.0,1500,1500,360,360.0,360,360,360,38
1744660004,1389.625,1399,1374,1389.625,1374,1399,1500,1500.0,1500,1500,359,359.0,359,359,359,38
1744660005,1389.625,1398,1374,1389.625,1374,1398,1500,1500.0,1500,1500,359,359.0,359,359,359,38
1744660007,1389.75,1399,1374,1389.75,1374,1399,1500,1500.0,1500,1500,360,360.0,360,360,360,38
1744660008,1389.75,1399,1375,1389.75,1375,1399,1500,1500.0,1500,1500,360,360.0,360,360,360,38
1744660009,1389.875,1399,1374,1389.875,1374,1399,1500,1500.0,1500,1500,360,360.0,360,360,360,38
1744660010,1389.875,1399,1375,1389.875,1375,1399,1500,1500.0,1500,1500,360,360.0,360,360,360,38
1744660011,1390.0,1399,1375,1390.0,1375,1399,1500,1500.0,1500,1500,359,359.0,359,359,359,38
1744660012,1389.625,1399,1375,1389.625,1375,1399,1500,1500.0,1500,1500,360,360.0,360,360,360,38
1744660014,1389.875,1399,1375,1389.875,1375,1399,1500,1500.0,1500,1500,360,360.0,360,360,360,38
1744660015,1390.125,1399,1375,1390.125,1375,1399,1500,1500.0,1500,1500,358,358.0,358,358,358,38
1744660016,1390.125,1400,1375,1390.125,1375,1400,1500,1500.0,1500,1500,359,359.0,359,359,359,38
1744660017,1389.75,1399,1374,1389.75,1374,1399,1500,1500.0,1500,1500,359,359.0,359,359,359,38
1744660018,1390.0,1400,1375,1390.0,1375,1400,1500,1500.0,1500,1500,360,360.0,360,360,360,38
1744660019,1389.75,1400,1374,1389.75,1374,1400,1500,1500.0,1500,1500,359,359.0,359,359,359,38
1744660021,1390.0,1400,1375,1390.0,1375,1400,1500,1500.0,1500,1500,359,359.0,359,359,359,38
1744660022,1390.0,1400,1374,1390.0,1374,1400,1500,1500.0,1500,1500,359,359.0,359,359,359,38
1744660023,1390.125,1400,1374,1390.125,1374,1400,1500,1500.0,1500,1500,358,358.0,358,358,358,38
1744660024,1389.875,1399,1375,1389.875,1375,1399,1500,1500.0,1500,1500,359,359.0,359,359,359,38
1744660025,1389.75,1399,1375,1389.75,1375,1399,1500,1500.0,1500,1500,358,358.0,358,358,358,38
1744660026,1389.875,1399,1375,1389.875,1375,1399,1500,1500.0,1500,1500,361,361.0,361,361,361,38
1744660028,1389.5,1399,1374,1389.5,1374,1399,1500,1500.0,1500,1500,359,359.0,359,359,359,38
1744660029,1389.5,1399,1375,1389.5,1375,1399,1500,1500.0,1500,1500,359,359.0,359,359,359,38
1744660030,1389.625,1399,1375,1389.625,1375,1399,1500,1500.0,1500,1500,359,359.0,359,359,359,38
1744660031,1389.625,1399,1374,1389.625,1374,1399,1500,1500.0,1500,1500,359,359.0,359,359,359,38
1744660032,1389.5,1400,1374,1389.5,1374,1400,1500,1500.0,1500,1500,360,360.0,360,360,360,38
1744660034,1389.625,1399,1375,1389.625,1375,1399,1500,1500.0,1500,1500,360,360.0,360,360,360,38
1744660035,1389.875,1400,1375,1389.875,1375,1400,1500,1500.0,1500,1500,360,360.0,360,360,360,38
1744660036,1390.0,1399,1374,1390.0,1374,1399,1500,1500.0,1500,1500,357,357.0,357,357,357,38
1744660037,1390.0,1399,1374,1390.0,1374,1399,1500,1500.0,1500,1500,358,358.0,358,358,358,38
1744660038,1390.0,1400,1374,1390.0,1374,1400,1500,1500.0,1500,1500,360,360.0,360,360,360,38
1744660039,1390.0,1400,1375,1390.0,1375,1400,1500,1500.0,1500,1500,361,361.0,361,361,361,38
1744660041,1390.0,1400,1375,1390.0,1375,1400,1500,1500.0,1500,1500,358,358.0,358,358,358,38
1744660042,1389.5,1399,1374,1389.5,1374,1399,1500,1500.0,1500,1500,359,359.0,359,359,359,38
1744660043,1389.625,1399,1375,1389.625,1375,1399,1500,1500.0,1500,1500,360,360.0,360,360,360,38
1744660044,1390.0,1400,1374,1390.0,1374,1400,1500,1500.0,1500,1500,359,359.0,359,359,359,38
1744660045,1389.875,1399,1375,1389.875,1375,1399,1500,1500.0,1500,1500,360,360.0,360,360,360,38
1744660046,1389.75,1399,1375,1389.75,1375,1399,1500,1500.0,1500,1500,360,360.0,360,360,360,38
1744660048,1389.875,1399,1375,1389.875,1375,1399,1500,1500.0,1500,1500,359,359.0,359,359,359,38
1744660049,1389.75,1398,1375,1389.75,1375,1398,1500,1500.0,1500,1500,359,359.0,359,359,359,38
1744660050,1389.625,1398,1374,1389.625,1374,1398,1500,1500.0,1500,1500,359,359.0,359,359,359,38
1744660051,1389.5,1399,1374,1389.5,1374,1399,1500,1500.0,1500,1500,360,360.0,360,360,360,38
1744660052,1389.375,1399,1374,1389.375,1374,1399,1500,1500.0,1500,1500,360,360.0,360,360,360,38
1744660054,1389.75,1399,1374,1389.75,1374,1399,1500,1500.0,1500,1500,360,360.0,360,360,360,38
1744660055,1389.75,1400,1374,1389.75,1374,1400,1500,1500.0,1500,1500,355,355.0,355,355,355,38
1744660056,170.125,172,169,170.125,169,172,1011,1011.0,1011,1011,126,126.0,126,126,126,38
1744660057,88.0,89,87,88.0,87,89,900,900.0,900,900,106,106.0,106,106,106,37
1744660058,87.875,89,87,87.875,87,89,900,900.0,900,900,106,106.0,106,106,106,36
1744660059,87.875,89,87,87.875,87,89,900,900.0,900,900,106,106.0,106,106,106,35
1744660061,87.875,89,87,87.875,87,89,900,900.0,900,900,105,105.0,105,105,105,35
1744660062,87.875,89,87,87.875,87,89,900,900.0,900,900,106,106.0,106,106,106,35
1744660063,87.875,89,87,87.875,87,89,900,900.0,900,900,106,106.0,106,106,106,35
1744660064,87.875,89,87,87.875,87,89,900,900.0,900,900,106,106.0,106,106,106,34
1744660065,87.875,89,87,87.875,87,89,900,900.0,900,900,105,105.0,105,105,105,34
